啊酱,a'jiang
阿鲁巴,a'lu'ba
阿妹你看上帝压狗,a'mei'ni'kan'shang'di'ya'gou
阿婆主,a'po'zhu
阿三,a'san
阿姨洗铁路,a'yi'xi'tie'lu
爱川,ai'chuan
矮矬穷,ai'cuo'qiong
爱的战士,ai'de'zhan'shi
爱情上甘岭,ai'qing'shang'gan'ling
俺妹,an'mei
奥观海,ao'guan'hai
傲娇,ao'jiao
凹凸曼,ao'tu'man
百合子,bai'he'zi
白金,bai'jin
版聊,ban'liao
搬运,ban'yun
棒子,bang'zi
爆表,bao'biao
贝爷,bei'ye
笨蛋,ben'dan
比利,bi'li
必须死,bi'xu'si
鼻血姬,bi'xue'ji
便当,bian'dang
标题党,biao'ti'dang
标准结局,biao'zhun'jie'ju
不幸福,bu'xing'fu
操帝,cao'di
草泥马,cao'ni'ma
曹爷爷,cao'ye'ye
查水表,cha'shui'biao
颤抖吧,chan'dou'ba
长江骑士,chang'jiang'qi'shi
炒饭小号,chao'fan'xiao'hao
超神,chao'shen
成飞秋山澪,cheng'fei'qiu'shan'ling
诚哥,cheng'ge
触手,chu'shou
初音,chu'yin
葱娘,cong'niang
存活确认,cun'huo'que'ren
打卡,da'ka
打码君,da'ma'jun
大腿时代,da'tui'shi'dai
大丈夫萌大奶,da'zhang'fu'meng'da'nai
蛋腚,dan'ding
弹幕,dan'mu
单手打字,dan'shou'da'zi
蛋疼,dan'teng
当妈,dang'ma
荡漾,dang'yang
导师,dao'shi
德玛西亚,de'ma'xi'ya
第三年的见异思迁,di'san'nian'de'jian'yi'si'qian
点点爽么点点,dian'dian'shuang'me'dian'dian
碉堡了,diao'bao'le
顶上去害人,ding'shang'qu'hai'ren
东方,dong'fang
東方餡掛炒飯,dong'fang'xian'gua'chao'fan
東京奧,dong'jing'ao
动态视力,dong'tai'shi'li
都是时臣的错,dou'shi'shi'chen'de'cuo
多大仇,duo'da'chou
恶搞,e'gao
摁住了,en'zhu'le
儿女多奇志,er'nv'duo'qi'zhi
发来贺电,fa'lai'he'dian
肥音,fei'yin
分割线,fen'ge'xian
抚额,fu'e
福利,fu'li
嘎嘣脆,ga'beng'cui
干大木,gan'da'mu
感觉很厉害的样子,gan'jue'hen'li'hai'de'yang'zi
敢做敢当,gan'zuo'gan'dang
鋼兵,gang'bing
刚大木,gang'da'mu
搞比利,gao'bi'li
睾画质,gao'hua'zhi
高帅富,gao'shuai'fu
葛炮,ge'pao
各种,ge'zhong
工口,gong'kou
狗耳,gou'er
狗眼,gou'yan
官方逼死同人,guan'fang'bi'si'tong'ren
鹳狸猿,guan'li'yuan
鬼畜,gui'chu
跪求,gui'qiu
贵圈真乱,gui'quan'zhen'luan
果断,guo'duan
合体,he'ti
黑长直,hei'chang'zhi
黑木耳,hei'mu'er
嘿喂狗,hei'wei'gou
黑子,hei'zi
红军,hong'jun
猴姬,hou'ji
猴子,hou'zi
猴子请来的救兵,hou'zi'qing'lai'de'jiu'bing
互撸娃,hu'lu'wa
画质,hua'zhi
坏苹果,huai'ping'guo
欢乐,huan'le
回复可见,hui'fu'ke'jian
毁三观,hui'san'guan
毁童年,hui'tong'nian
毁眼物,hui'yan'wu
回忆杀,hui'yi'sha
火狐,huo'hu
疾风小战,ji'feng'xiao'zhan
计划通,ji'hua'tong
基佬,ji'lao
基佬分割线,ji'lao'fen'ge'xian
基情,ji'qing
鸡肉味,ji'rou'wei
技术宅,ji'shu'zhai
基友,ji'you
交往,jiao'wang
交尾,jiao'wei
教主,jiao'zhu
进度条,jin'du'tiao
金馆长,jin'guan'zhang
金剑,jin'jian
金坷垃,jin'ke'la
京阿尼,jing'a'ni
镜音,jing'yin
就是神作了,jiu'shi'shen'zuo'le
菊花掉了,ju'hua'diao'le
剧透,ju'tou
绝对领域,jue'dui'ling'yu
卡多卡哇手电筒,ka'duo'ka'wa'shou'dian'tong
开挂,kai'gua
可耳止,ke'er'zhi
氪金,ke'jin
可循环,ke'xun'huan
坑爹,keng'die
空白帝,kong'bai'di
恐怖,kong'bu
空耳,kong'er
口罩姬,kou'zhao'ji
苦逼,ku'bi
快乐合成器,kuai'le'he'cheng'qi
坤哥,kun'ge
蓝蓝路,lan'lan'lu
老中医,lao'zhong'yi
里区,li'qu
猎奇,lie'qi
六分钟诅咒,liu'fen'zhong'zu'zhou
撸点,lu'dian
撸管,lu'guan
撸过,lu'guo
路西法,lu'xi'fa
略鬼畜,lue'gui'chu
洛天依,luo'tian'yi
绿娘,lv'niang
马猴烧酒,ma'hou'shao'jiu
马琴,ma'qin
马赛克,ma'sai'ke
卖萌,mai'meng
毛家腊肉,mao'jia'la'rou
猫片,mao'pian
妹汁,mei'zhi
米国,mi'guo
喵片,miao'pian
民工漫,min'gong'man
目测,mu'ce
南哥,nan'ge
脑残,nao'can
脑残海报,nao'can'hai'bao
内燃机,nei'ran'ji
泥轰,ni'hong
尼玛死,ni'ma'si
捏他,nie'ta
女孩为何穿短裙,nv'hai'wei'he'chuan'duan'qun
啪啪啪,pa'pa'pa
炮姐,pao'jie
喷粪,pen'fen
喷子,pen'zi
千本樱,qian'ben'ying
前方高能量反应,qian'fang'gao'neng'liang'fan'ying
钱烈宪,qian'lie'xian
枪剑,qiang'jian
亲妹妹不如干妹妹,qin'mei'mei'bu'ru'gan'mei'mei
让专业的来,rang'zhuan'ye'de'lai
人参,ren'shen
人参淫家,ren'shen'yin'jia
认真你就输了,ren'zhen'ni'jiu'shu'le
日常,ri'chang
日和,ri'he
日暮里,ri'mu'li
软妹,ruan'mei
软妹币,ruan'mei'bi
弱爆了,ruo'bao'le
三个叼,san'ge'diao
骚年,sao'nian
杀必死,sha'bi'si
山歌教,shan'ge'jiao
上升气流君,shang'sheng'qi'liu'jun
神马都不知道,shen'ma'dou'bu'zhi'dao
慎入,shen'ru
伸手党,shen'shou'dang
神字幕,shen'zi'mu
生存战略,sheng'cun'zhan'lue
圣光,sheng'guang
石更,shi'geng
十一区,shi'yi'qu
双马尾,shuang'ma'wei
水深火热,shui'shen'huo're
四百大妈,si'bai'da'ma
斯大林,si'da'lin
谭警官,tan'jing'guan
湯毛,tang'mao
躺着也中枪,tang'zhe'ye'zhong'qiang
天然呆,tian'ran'dai
天下基友是一家,tian'xia'ji'you'shi'yi'jia
同步,tong'bu
头顶青天,tou'ding'qing'tian
土狼,tu'lang
荼荼丸,tu'tu'wan
妥妥的,tuo'tuo'de
玩坏了,wan'huai'le
玩泥巴,wan'ni'ba
玩脱了,wan'tuo'le
晚香玉,wan'xiang'yu
伪饭,wei'fan
违和感,wei'he'gan
伪娘,wei'niang
危険,wei'xian
我爸刚弄死他,wo'ba'gang'nong'si'ta
我到河北省来,wo'dao'he'bei'sheng'lai
我裤子都脱了,wo'ku'zi'dou'tuo'le
我来组成头部,wo'lai'zu'cheng'tou'bu
我累个去,wo'lei'ge'qu
我练功发自真心,wo'lian'gong'fa'zi'zhen'xin
我忍不住了,wo'ren'bu'zhu'le
我手贱,wo'shou'jian
我有姿势我自豪,wo'you'zi'shi'wo'zi'hao
我整个人都,wo'zheng'ge'ren'dou
无法直视,wu'fa'zhi'shi
吴克,wu'ke
捂脸,wu'lian
吾王,wu'wang
无限兼容,wu'xian'jian'rong
无限菊花,wu'xian'ju'hua
喜闻乐见,xi'wen'le'jian
下限,xia'xian
下限帝,xia'xian'di
先辈全裸,xian'bei'quan'luo
现充,xian'chong
相逢一炮泯恩仇,xiang'feng'yi'pao'min'en'chou
