挨餐打,ai'can'da
矮婆灯几,ai'po'deng'ji
岸力,an'li
岸里,an'li
敖天鬼叫,ao'tian'gui'jiao
八急,ba'ji
摆摸,bai'mo
百四百,bai'si'bai
百思百,bai'si'bai
扮细银唧,ban'xi'yin'ji
被破,bei'po
比好笑,bi'hao'xiao
比算啥几,bi'suan'sha'ji
比挖斯你,bi'wa'si'ni
扁井,bian'jing
擦板,ca'ban
菜,cai
菜鸡子,cai'ji'zi
吵架,chao'jia
扯卵弹,che'luan'dan
撤魔其,che'mo'qi
扯绍,che'shao
车死,che'si
车在,che'zai
车赞,che'zan
吃了怪痢疾,chi'le'guai'li'ji
吃牙王,chi'ya'wang
吃冤枉,chi'yuan'wang
出世,chu'shi
触水,chu'shui
绰气,chuo'qi
绰笑,chuo'xiao
错打不娘,cuo'da'bu'niang
错骂,cuo'ma
错切哩,cuo'qie'li
打摆子,da'bai'zi
打甭,da'beng
打短命,da'duan'ming
打构,da'gou
打讲,da'jiang
打空手,da'kong'shou
打雷公,da'lei'gong
打乱妈,da'luan'ma
打乱挖,da'luan'wa
打懵高,da'meng'gao
搭什,da'shen
打一餐,da'yi'can
打转身,da'zhuan'shen
单起脑壳来,dan'qi'nao'ke'lai
担子,dan'zi
到,dao
得了个,de'le'ge
德兴,de'xing
颠狗,dian'gou
颠婆力,dian'po'li
懂婆力,dong'po'li
东山角里,dong'shan'jiao'li
兜一脚,dou'yi'jiao
敦起来,dun'qi'lai
饿伤了,e'shang'le
而今,er'jin
发风,fa'feng
发姓,fa'xing
翻牙别齿,fan'ya'bie'chi
翻牙列齿,fan'ya'lie'chi
放贼屁,fang'zei'pi
飞叶老鼠,fei'ye'lao'shu
妇娘家,fu'niang'jia
嘎嘎,ga'ga
杆栏,gan'lan
赶佬,gan'lao
杠起来,gang'qi'lai
篙,gao
搞不赢,gao'bu'ying
高椅,gao'yi
个还得了,ge'hai'de'liao
割伙,ge'huo
个老子,ge'lao'zi
个么暗里,ge'me'an'li
个摸,ge'mo
个乃个晓得,ge'nai'ge'xiao'de
柜绿,gui'lv
柜青,gui'qing
还是,hai'shi
好三,hao'san
好三下挤,hao'san'xia'ji
好耍,hao'shua
河石下里,he'shi'xia'li
猴得流口水,hou'de'liu'kou'shui
猴人,hou'ren
急,ji
记,ji
几多,ji'duo
架立,jia'li
架子,jia'zi
角得,jiao'de
揭银,jie'yin
今家,jin'jia
今呀,jin'ya
今牙切乃里,jin'ya'qie'nai'li
精痛,jing'tong
旧酸,jiu'suan
均里,jun'li
开浪,kai'lang
开水,kai'shui
揩死,kai'si
客担子,ke'dan'zi
口前,kou'qian
口水皮,kou'shui'pi
快吧,kuai'ba
快拨,kuai'bo
困告,kun'gao
赖必得,lai'bi'de
睐到一唾屎,lai'dao'yi'tuo'shi
赖记,lai'ji
赖家剥,lai'jia'bo
赖铃,lai'ling
赖蛮,lai'man
来日,lai'ri
