岸本铃吾,an'ben'ling'wu
拔刀,ba'dao
八田美咲,ba'tian'mei'xiao
八咫乌,ba'zhi'wu
白银氏族,bai'yin'shi'zu
白银之王,bai'yin'zhi'wang
背叛者,bei'pan'zhe
北原千夜,bei'yuan'qian'ye
壁井有可子,bi'jing'you'ke'zi
比水流,bi'shui'liu
弁财酉次郎,bian'cai'you'ci'lang
冰晶假面,bing'jing'jia'mian
冰雪女王,bing'xue'nv'wang
布施大辉,bu'shi'da'hui
草薙出云,cao'ti'chu'yun
超能力者,chao'neng'li'zhe
赤之氏族,chi'zhi'shi'zu
赤之王,chi'zhi'wang
大久保宏,da'jiu'bao'hong
达摩克利斯之剑,da'mo'ke'li'si'zhi'jian
大冢芳忠,da'zhong'fang'zhong
丹彩子,dan'cai'zi
淡岛世理,dan'dao'shi'li
道明寺,dao'ming'si
道明寺安迪,dao'ming'si'an'di
德累斯顿,de'lei'si'dun
第二王权者,di'er'wang'quan'zhe
第六王权者,di'liu'wang'quan'zhe
第三王权者,di'san'wang'quan'zhe
第四王权者,di'si'wang'quan'zhe
第五王权者,di'wu'wang'quan'zhe
第一王权者,di'yi'wang'quan'zhe
钉宫理惠,ding'gong'li'hui
东京法务局户籍科第四分室,dong'jing'fa'wu'ju'hu'ji'ke'di'si'fen'shi
断指玛利亚,duan'zhi'ma'li'ya
饭冢昭三,fan'zhong'zhao'san
非时院,fei'shi'yuan
吠舞罗,fei'wu'luo
凤圣悟,feng'sheng'wu
伏八,fu'ba
伏见仁希,fu'jian'ren'xi
伏见猿比古,fu'jian'yuan'bi'gu
福山润,fu'shan'run
伏西米,fu'xi'mi
冈田直树,gang'tian'zhi'shu
高桥弥七郎,gao'qiao'mi'qi'lang
高桥孝治,gao'qiao'xiao'zhi
高天院香织,gao'tian'yuan'xiang'zhi
工藤进,gong'teng'jin
宫野真守,gong'ye'zhen'shou
宫沢龙生,gong'ze'long'sheng
狗哥,gou'ge
古桥秀之,gu'qiao'xiu'zhi
古田诚,gu'tian'cheng
国常路大觉,guo'chang'lu'da'jiao
户泽雄一朗,hu'ze'xiong'yi'lang
黄金氏族,huang'jin'shi'zu
黄金之王,huang'jin'zhi'wang
灰之王,hui'zhi'wang
榎本竜哉,jia'ben'long'zai
迦具都巨坑事件,jia'ju'dou'ju'keng'shi'jian
迦具都陨坑,jia'ju'dou'yun'keng
加茂刘芳,jia'mao'liu'fang
桔梗,jie'geng
津田健次郎,jin'tian'jian'ci'lang
金泽洪充,jin'ze'hong'chong
克劳迪娅,ke'lao'di'ya
堀江由衣,ku'jiang'you'yi
来乐零,lai'le'ling
浪川大辅,lang'chuan'da'fu
雷光之术,lei'guang'zhi'shu
濂本力夫,lian'ben'li'fu
铃木铃,ling'mu'ling
铃木信吾,ling'mu'xin'wu
绿之氏族,lv'zhi'shi'zu
绿之王,lv'zhi'wang
马刺身,ma'ci'shen
名冢佳织,ming'zhong'jia'zhi
内藤健,nei'teng'jian
内田孝行,nei'tian'xiao'xing
磐先生,pan'xian'sheng
磐舟天鸡,pan'zhou'tian'ji
平坂道反,ping'ban'dao'fan
七色王族,qi'se'wang'zu
齐藤友子,qi'teng'you'zi
千岁洋,qian'sui'yang
琴坂,qin'ban
青之王,qing'zhi'wang
秋山氷杜,qiu'shan'bing'du
权外者,quan'wai'zhe
日高晓,ri'gao'xiao
三轮一言,san'lun'yi'yan
森田成一,sen'tian'cheng'yi
杉田智和,shan'tian'zhi'he
十束多多良,shi'shu'duo'duo'liang
柿原彻也,shi'yuan'che'ye
天狼星,tian'lang'xing
田中洋司,tian'zhong'yang'si
梶裕贵,wei'yu'gui
苇中学园,wei'zhong'xue'yuan
威兹曼临界值,wei'zi'man'lin'jie'zhi
威兹曼偏差值,wei'zi'man'pian'cha'zhi
吾辈,wu'bei
五岛莲,wu'dao'lian
无色之王,wu'se'zhi'wang
五条少,wu'tiao'shao
五条须久那,wu'tiao'xu'jiu'na
无主的能力者,wu'zhu'de'neng'li'zhe
下野纮,xia'ye'hong
小白,xiao'bai
小流,xiao'liu
小松未可子,xiao'song'wei'ke'zi
小野大辅,xiao'ye'da'fu
邪恶之王,xie'e'zhi'wang
兴津和幸,xing'jin'he'xing
雪染菊理,xue'ran'ju'li
学园岛,xue'yuan'dao
野村正信,ye'cun'zheng'xin
夜刀神狗朗,ye'dao'shen'gou'lang
以剑制剑吾等大义无霾,yi'jian'zhi'jian'wu'deng'da'yi'wu'mai
伊佐那社,yi'zuo'na'she
樱井孝宏,ying'jing'xiao'hong
雨乃雅日,yu'nai'ya'ri
御芍神紫,yu'shao'shen'zi
羽张迅,yu'zhang'xun
御柱塔系统,yu'zhu'ta'xi'tong
远藤干雄,yuan'teng'gan'xiong
泽城美雪,ze'cheng'mei'xue
栉名安娜,zhi'ming'an'na
栉名穗波,zhi'ming'sui'bo
中村悠一,zhong'cun'you'yi
周防尊,zhou'fang'zun
字野耕平,zi'ye'geng'ping
宗像礼司,zong'xiang'li'si
佐藤聪美,zuo'teng'cong'mei
