爱染锦,ai'ran'jin
爱之蔓,ai'zhi'man
八宝景天,ba'bao'jing'tian
八千代,ba'qian'dai
白斑玉露,bai'ban'yu'lu
白凤,bai'feng
白凤菊,bai'feng'ju
白花小松,bai'hua'xiao'song
百惠,bai'hui
白鹭,bai'lu
白牡丹,bai'mu'dan
白雪姬,bai'xue'ji
棒叶万年草,bang'ye'wan'nian'cao
宝草,bao'cao
宝草玉露,bao'cao'yu'lu
宝石莲缀化,bao'shi'lian'zhui'hua
宝珠冠,bao'zhu'guan
奔龙,ben'long
碧光环,bi'guang'huan
碧桃,bi'tao
碧玉莲,bi'yu'lian
变色龙,bian'se'long
薄化妆,bo'hua'zhuang
玻璃莲,bo'li'lian
波路,bo'lu
薄雪万年草,bo'xue'wan'nian'cao
不夜城芦荟,bu'ye'cheng'lu'hui
灿烂缀化,can'lan'zhui'hua
草玉露,cao'yu'lu
茶丽,cha'li
蝉翼玉露,chan'yi'yu'lu
赤鬼城,chi'gui'cheng
赤霉病,chi'mei'bing
初恋,chu'lian
串钱藤,chuan'qian'teng
垂盆草,chui'pen'cao
吹雪之松锦,chui'xue'zhi'song'jin
春之奇迹,chun'zhi'qi'ji
大薄雪,da'bo'xue
大和锦,da'he'jin
大红卷绢,da'hong'juan'juan
大姬星,da'ji'xing
大姬星美人,da'ji'xing'mei'ren
达利,da'li
达摩宝草,da'mo'bao'cao
大卫,da'wei
大型玉露,da'xing'yu'lu
大叶落地生根,da'ye'luo'di'sheng'gen
黛比,dai'bi
德州景天,de'zhou'jing'tian
蒂亚,di'ya
东美人,dong'mei'ren
冬美人,dong'mei'ren
方鳞绿塔,fang'lin'lv'ta
芳香波,fang'xiang'bo
粉蚧,fen'jie
粉虱,fen'shi
粉台阁,fen'tai'ge
佛甲草,fo'jia'cao
佛甲草锦,fo'jia'cao'jin
佛珠,fo'zhu
福娘,fu'niang
芙蓉雪莲,fu'rong'xue'lian
高加索景天,gao'jia'suo'jing'tian
高砂之翁,gao'sha'zhi'weng
根粉蚧,gen'fen'jie
观音莲,guan'yin'lian
黑法师,hei'fa'shi
黑法师原始种,hei'fa'shi'yuan'shi'zhong
黑兔耳,hei'tu'er
黑王子,hei'wang'zi
红粉台阁,hong'fen'tai'ge
红辉艳,hong'hui'yan
红美人,hong'mei'ren
红爪,hong'zhao
红稚儿,hong'zhi'er
红稚莲,hong'zhi'lian
虹之玉,hong'zhi'yu
虹之玉锦,hong'zhi'yu'jin
厚叶花月夜,hou'ye'hua'yue'ye
花叶寒月夜,hua'ye'han'yue'ye
花月夜,hua'yue'ye
黄花照波,huang'hua'zhao'bo
