变频器,bian'pin'qi
操作面板,cao'zuo'mian'ban
侧壁,ce'bi
导轨,dao'gui
导向轮,dao'xiang'lun
地板,di'ban
底坑,di'keng
吊顶,diao'ding
对重,dui'zhong
反向轮,fan'xiang'lun
钢带,gang'dai
钢绳,gang'sheng
后壁,hou'bi
缓冲器,huan'chong'qi
机房,ji'fang
轿顶,jiao'ding
轿厢,jiao'xiang
轿厢净高,jiao'xiang'jing'gao
控制系统,kong'zhi'xi'tong
门锁,men'suo
门系统,men'xi'tong
前壁,qian'bi
限速器,xian'su'qi
曳引机,ye'yin'ji
曳引轮,ye'yin'lun
召唤面板,zhao'huan'mian'ban
重锤,zhong'chui
