从业资格,cong'ye'zi'ge
大型客车,da'xing'ke'che
道路危险货物运输,dao'lu'wei'xian'huo'wu'yun'shu
道路运输,dao'lu'yun'shu
道路运输从业人员,dao'lu'yun'shu'cong'ye'ren'yuan
道路运输经理人,dao'lu'yun'shu'jing'li'ren
机动车驾驶培训教练员,ji'dong'che'jia'shi'pei'xun'jiao'lian'yuan
机动车驾驶员,ji'dong'che'jia'shi'yuan
机动车维修技术人员,ji'dong'che'wei'xiu'ji'shu'ren'yuan
教练员,jiao'lian'yuan
教学设施,jiao'xue'she'shi
经理人,jing'li'ren
经营性道路货物运输,jing'ying'xing'dao'lu'huo'wu'yun'shu
经营性道路旅客运输,jing'ying'xing'dao'lu'lv'ke'yun'shu
理论教练员,li'lun'jiao'lian'yuan
培训机构资格,pei'xun'ji'gou'zi'ge
三轮汽车,san'lun'qi'che
无轨电车,wu'gui'dian'che
小型汽车,xiao'xing'qi'che
有轨电车,you'gui'dian'che
载货汽车,zai'huo'qi'che
中型客车,zhong'xing'ke'che
自行机械车,zi'xing'ji'xie'che
