矮胖型,ai'pang'xing
嗳气,ai'qi
鞍背,an'bei
鞍结节,an'jie'jie
鞍上池,an'shang'chi
鞍状关节,an'zhuang'guan'jie
凹侧,ao'ce
凹向后下方,ao'xiang'hou'xia'fang
八段,ba'duan
摆动运动,bai'dong'yun'dong
白膜,bai'mo
白细胞,bai'xi'bao
白线,bai'xian
白质,bai'zhi
白质前连合,bai'zhi'qian'lian'he
半关节面,ban'guan'jie'mian
半环线,ban'huan'xian
半腱肌,ban'jian'ji
半膜肌,ban'mo'ji
板内核,ban'nei'he
半奇静脉,ban'qi'jing'mai
瓣胃,ban'wei
伴行,ban'xing
半羽肌,ban'yu'ji
半月板,ban'yue'ban
半月瓣,ban'yue'ban
半月瓣关闭,ban'yue'ban'guan'bi
半月裂孔,ban'yue'lie'kong
半月线,ban'yue'xian
板障,ban'zhang
板状肌,ban'zhuang'ji
保护腹腔脏器,bao'hu'fu'qiang'zang'qi
背部,bei'bu
背侧,bei'ce
背侧丘脑,bei'ce'qiu'nao
背侧丘脑腹后内侧核,bei'ce'qiu'nao'fu'hou'nei'ce'he
背侧丘脑腹后外侧核,bei'ce'qiu'nao'fu'hou'wai'ce'he
被覆上皮,bei'fu'shang'pi
背阔肌,bei'kuo'ji
背内侧核,bei'nei'ce'he
背屈,bei'qu
背外侧核,bei'wai'ce'he
背外侧束,bei'wai'ce'shu
背最长肌,bei'zui'chang'ji
贲门,ben'men
贲门部,ben'men'bu
贲门切迹,ben'men'qie'ji
本体感受器,ben'ti'gan'shou'qi
壁层,bi'ceng
鼻唇沟,bi'chun'gou
鼻唇镜,bi'chun'jing
臂丛,bi'cong
臂丛内侧束,bi'cong'nei'ce'shu
臂丛通,bi'cong'tong
壁腹膜,bi'fu'mo
鼻骨,bi'gu
鼻后孔,bi'hou'kong
鼻棘,bi'ji
鼻甲嵴,bi'jia'ji
鼻尖,bi'jian
鼻镜,bi'jing
闭孔,bi'kong
鼻孔,bi'kong
闭孔动脉,bi'kong'dong'mai
闭孔沟,bi'kong'gou
闭孔膜,bi'kong'mo
闭孔内肌,bi'kong'nei'ji
闭孔神经,bi'kong'shen'jing
闭孔外肌,bi'kong'wai'ji
鼻泪管,bi'lei'guan
闭膜管,bi'mo'guan
比目鱼肌,bi'mu'yu'ji
比目鱼肌线,bi'mu'yu'ji'xian
壁内部,bi'nei'bu
鼻旁窦,bi'pang'dou
鼻前庭,bi'qian'ting
鼻腔,bi'qiang
壁细胞,bi'xi'bao
壁胸膜,bi'xiong'mo
必需脂肪酸,bi'xu'zhi'fang'suan
鼻咽,bi'yan
鼻咽癌,bi'yan'ai
鼻咽部,bi'yan'bu
鼻烟壶,bi'yan'hu
鼻翼,bi'yi
鼻阈,bi'yu
鼻中隔,bi'zhong'ge
鼻中隔软骨,bi'zhong'ge'ruan'gu
扁骨,bian'gu
扁平,bian'ping
扁平足,bian'ping'zu
变态反应性,bian'tai'fan'ying'xing
扁桃体,bian'tao'ti
变异,bian'yi
变移上皮,bian'yi'shang'pi
边缘动脉,bian'yuan'dong'mai
边缘系统,bian'yuan'xi'tong
边缘叶,bian'yuan'ye
杓横肌,biao'heng'ji
杓会厌襞,biao'hui'yan'bi
杓间切迹,biao'jian'qie'ji
表面较光滑,biao'mian'jiao'guang'hua
表皮,biao'pi
杓斜肌,biao'xie'ji
标音,biao'yin
标志位置,biao'zhi'wei'zhi
标志性结构,biao'zhi'xing'jie'gou
杓状会厌壁,biao'zhuang'hui'yan'bi
杓状软骨,biao'zhuang'ruan'gu
杓状软骨上缘,biao'zhuang'ruan'gu'shang'yuan
髌底,bin'di
髌骨,bin'gu
髌尖,bin'jian
髌面,bin'mian
髌韧带,bin'ren'dai
髌上囊,bin'shang'nang
髌外侧支持带,bin'wai'ce'zhi'chi'dai
玻璃体,bo'li'ti
薄弱,bo'ruo
薄束,bo'shu
薄束核,bo'shu'he
薄束和楔束,bo'shu'he'xie'shu
薄束结节,bo'shu'jie'jie
不包括,bu'bao'kuo
不成对的器官,bu'cheng'dui'de'qi'guan
不成对脏器,bu'cheng'dui'zang'qi
不规则骨,bu'gui'ze'gu
部位,bu'wei
不与外界相通,bu'yu'wai'jie'xiang'tong
苍白球,cang'bai'qiu
草食,cao'shi
侧副管,ce'fu'guan
侧副韧带,ce'fu'ren'dai
侧副三角,ce'fu'san'jiao
侧副循环,ce'fu'xun'huan
侧角,ce'jiao
侧块,ce'kuai
侧脑室,ce'nao'shi
侧脑室后角,ce'nao'shi'hou'jiao
侧脑室脉络组织,ce'nao'shi'mai'luo'zu'zhi
侧脑室前角,ce'nao'shi'qian'jiao
侧脑室下角,ce'nao'shi'xia'jiao
侧屈,ce'qu
侧矢状面,ce'shi'zhuang'mian
侧缘,ce'yuan
产生卵子,chan'sheng'luan'zi
长而扁的椭圆形,chang'er'bian'de'tuo'yuan'xing
肠干,chang'gan
长骨,chang'gu
