安福,an'fu
安义,an'yi
安远,an'yuan
安源,an'yuan
鳌溪,ao'xi
敖阳,ao'yang
巴山,ba'shan
冰溪,bing'xi
岑阳,cen'yang
昌江,chang'jiang
长堎,chang'leng
长宁,chang'ning
陈营,chen'ying
澄江镇,cheng'jiang'zhen
城厢,cheng'xiang
崇仁,chong'ren
崇义,chong'yi
大余,da'yu
德安,de'an
德兴,de'xing
邓埠,deng'bu
定南,ding'nan
东湖,dong'hu
东山,dong'shan
东乡,dong'xiang
都昌,du'chang
敦厚,dun'hou
恩江,en'jiang
分宜,fen'yi
丰城,feng'cheng
冯川,feng'chuan
凤冈,feng'gang
奉新,feng'xin
浮梁,fu'liang
芙蓉,fu'rong
抚州,fu'zhou
赣,gan
赣州,gan'zhou
高安,gao'an
贡江,gong'jiang
广昌,guang'chang
广丰,guang'feng
贵溪,gui'xi
鹤城,he'cheng
禾川,he'chuan
河东,he'dong
河口,he'kou
横峰,heng'feng
横水,heng'shui
湖口,hu'kou
会昌,hui'chang
吉安,ji'an
吉水,ji'shui
洎阳,ji'yang
吉州,ji'zhou
嘉定,jia'ding
建昌,jian'chang
金川,jin'chuan
金溪,jin'xi
进贤,jin'xian
靖安,jing'an
景德镇,jing'de'zhen
井冈山,jing'gang'shan
九江,jiu'jiang
筠阳,jun'yang
康乐,kang'le
乐安,le'an
乐平,le'ping
黎川,li'chuan
历市,li'shi
莲花,lian'hua
潋江,lian'jiang
莲塘,lian'tang
临川,lin'chuan
龙城,long'cheng
龙津镇,long'jin'zhen
龙南,long'nan
庐山,lu'shan
芦溪,lu'xi
梅江,mei'jiang
梅林,mei'lin
民和,min'he
南安,nan'an
南昌,nan'chang
南城,nan'cheng
南丰,nan'feng
南康,nan'kang
宁都,ning'du
湓城,pen'cheng
彭泽,peng'ze
平都,ping'dou
萍乡,ping'xiang
鄱阳,po'yang
蒲亭,pu'ting
铅山,qian'shan
琴城,qin'cheng
琴江,qin'jiang
琴亭,qin'ting
青山湖,qing'shan'hu
青原,qing'yuan
青云谱,qing'yun'pu
泉江,quan'jiang
全南,quan'nan
日峰,ri'feng
蓉江,rong'jiang
瑞昌,rui'chang
瑞金,rui'jin
沙河,sha'he
上高,shang'gao
上栗,shang'li
上饶,shang'rao
上犹,shang'you
石城,shi'cheng
双溪,shuang'xi
双钟,shuang'zhong
水边,shui'bian
遂川,sui'chuan
泰和,tai'he
铜鼓,tong'gu
涂埠,tu'bu
万安,wan'an
湾里,wan'li
万年,wan'nian
万载,wan'zai
文峰,wen'feng
文武坝,wen'wu'ba
武宁,wu'ning
婺源,wu'yuan
西湖,xi'hu
峡江,xia'jiang
厦坪,xia'ping
湘东,xiang'dong
湘东区,xiang'dong'qu
象湖,xiang'hu
孝岗,xiao'gang
新昌,xin'chang
信丰,xin'feng
新干,xin'gan
新建,xin'jian
新宁,xin'ning
欣山,xin'shan
新余,xin'yu
信州,xin'zhou
兴国,xing'guo
星子,xing'zi
秀谷,xiu'gu
修水,xiu'shui
旴江,xu'jiang
旭日,xu'ri
寻乌,xun'wu
浔阳,xun'yang
宜春,yi'chun
宜丰,yi'feng
宜黄,yi'huang
弋江,yi'jiang
义宁,yi'ning
弋阳,yi'yang
银城,yin'cheng
鹰潭,ying'tan
永丰,yong'feng
永宁,yong'ning
永新,yong'xin
永修,yong'xiu
于都,yu'du
余干,yu'gan
余江,yu'jiang
玉山,yu'shan
渝水,yu'shui
玉亭,yu'ting
袁州,yuan'zhou
月湖,yue'hu
章贡,zhang'gong
樟树,zhang'shu
招贤镇,zhao'xian'zhen
珠山,zhu'shan
资溪,zi'xi
紫阳,zi'yang
