扒谱,ba'pu
变频,bian'pin
播放控制窗口,bo'fang'kong'zhi'chuang'kou
参数编辑视窗,can'shu'bian'ji'shi'chuang
参数标签,can'shu'biao'qian
测速器,ce'su'qi
插件视窗,cha'jian'shi'chuang
插件效果开关,cha'jian'xiao'guo'kai'guan
颤音百分比,chan'yin'bai'fen'bi
颤音类型转换,chan'yin'lei'xing'zhuan'huan
颤音种类,chan'yin'zhong'lei
导入音轨,dao'ru'yin'gui
电平,dian'ping
叠底显示,die'di'xian'shi
动态范围,dong'tai'fan'wei
断奏,duan'zou
发音规则,fa'yin'gui'ze
泛音,fan'yin
高斯曲线式,gao'si'qu'xian'shi
工作插件,gong'zuo'cha'jian
横轴缩波形,heng'zhou'suo'bo'xing
滑音,hua'yin
混合轨,hun'he'gui
混响,hun'xiang
混响器,hun'xiang'qi
节奏标记,jie'zou'biao'ji
控制盘,kong'zhi'pan
蓝线,lan'xian
连接音符,lian'jie'yin'fu
默认唱歌风格,mo'ren'chang'ge'feng'ge
清声,qing'sheng
区段,qu'duan
趋近杂音,qu'jin'za'yin
曲速标记,qu'su'biao'ji
锐化,rui'hua
上下行现状补充滑音,shang'xia'xing'xian'zhuang'bu'chong'hua'yin
声像比特率增减控制,sheng'xiang'bi'te'lv'zeng'jian'kong'zhi
声像极限阀值,sheng'xiang'ji'xian'fa'zhi
数值输入,shu'zhi'shu'ru
速率,su'lv
缩距插入,suo'ju'cha'ru
完全硬度,wan'quan'ying'du
弯音,wan'yin
弯音敏感,wan'yin'min'gan
微观操作,wei'guan'cao'zuo
无参,wu'can
无硬度,wu'ying'du
压限,ya'xian
压限器,ya'xian'qi
音符深度,yin'fu'shen'du
音符属性,yin'fu'shu'xing
音高弯曲灵敏度,yin'gao'wan'qu'ling'min'du
音轨区间数,yin'gui'qu'jian'shu
应用于当前选择音符,ying'yong'yu'dang'qian'xuan'ze'yin'fu
增益,zeng'yi
整体操作,zheng'ti'cao'zuo
主控轨,zhu'kong'gui
自动生成颤音,zi'dong'sheng'cheng'chan'yin
总线栏,zong'xian'lan
