巴蜀酒家,ba'shu'jiu'jia
北大门,bei'da'men
北苑,bei'yuan
北苑路,bei'yuan'lu
北苑食堂,bei'yuan'shi'tang
材料成形及控制工程,cai'liao'cheng'xing'ji'kong'zhi'gong'cheng
草业科学,cao'ye'ke'xue
长发拖鞋,chang'fa'tuo'xie
成教院,cheng'jiao'yuan
大活,da'huo
电子商务,dian'zi'shang'wu
电子信息科学与技术,dian'zi'xin'xi'ke'xue'yu'ji'shu
动科院,dong'ke'yuan
动物科学,dong'wu'ke'xue
动物药学,dong'wu'yao'xue
动物医学,dong'wu'yi'xue
动医院,dong'yi'yuan
二号门,er'hao'men
二食堂,er'shi'tang
法学,fa'xue
刚哥,gang'ge
工程管理,gong'cheng'guan'li
公共事业管理,gong'gong'shi'ye'guan'li
公管院,gong'guan'yuan
工商管理,gong'shang'guan'li
工学院,gong'xue'yuan
工业工程,gong'ye'gong'cheng
工业设计交通运输,gong'ye'she'ji'jiao'tong'yun'shu
管恒禄,guan'heng'lu
国际经济与贸易,guo'ji'jing'ji'yu'mao'yi
后勤集团,hou'qin'ji'tuan
胡记,hu'ji
环境工程,huan'jing'gong'cheng
环境科学,huan'jing'ke'xue
计算机科学与技术,ji'suan'ji'ke'xue'yu'ji'shu
机械设计制造及其自动化,ji'xie'she'ji'zhi'zao'ji'qi'zi'dong'hua
兼友,jian'you
教四楼,jiao'si'lou
教学楼,jiao'xue'lou
金陵路,jin'ling'lu
金陵研究院,jin'ling'yan'jiu'yuan
金融学,jin'rong'xue
经管院,jing'guan'yuan
科技楼,ke'ji'lou
会计学,kuai'ji'xue
劳动与社会保障,lao'dong'yu'she'hui'bao'zhang
老伙,lao'huo
老团委,lao'tuan'wei
理工大,li'gong'da
理学院,li'xue'yuan
楼管,lou'guan
路边摊,lu'bian'tan
旅游管理,lv'you'guan'li
美创源,mei'chuang'yuan
南大门,nan'da'men
南京理工大学,nan'jing'li'gong'da'xue
南京农业大学,nan'jing'nong'ye'da'xue
南理工,nan'li'gong
南农,nan'nong
南农大,nan'nong'da
南农烧鸡,nan'nong'shao'ji
南农试验田,nan'nong'shi'yan'tian
南苑,nan'yuan
南苑路,nan'yuan'lu
农博馆,nong'bo'guan
农村区域发展,nong'cun'qu'yu'fa'zhan
农林经济管理,nong'lin'jing'ji'guan'li
农学,nong'xue
农学院,nong'xue'yuan
农业电气化与自动化,nong'ye'dian'qi'hua'yu'zi'dong'hua
农业机械化及自动化,nong'ye'ji'xie'hua'ji'zi'dong'hua
农业资源与环境,nong'ye'zi'yuan'yu'huan'jing
牌坊,pai'fang
浦口校区,pu'kou'xiao'qu
情人坡,qing'ren'po
人力资源管理,ren'li'zi'yuan'guan'li
人文院,ren'wen'yuan
日语,ri'yu
三号门,san'hao'men
三食堂,san'shi'tang
社会学,she'hui'xue
设施农业与科学,she'shi'nong'ye'yu'ke'xue
生科楼,sheng'ke'lou
生科院,sheng'ke'yuan
生态学,sheng'tai'xue
生物工程,sheng'wu'gong'cheng
生物技术,sheng'wu'ji'shu
生物科学,sheng'wu'ke'xue
生物学基地班,sheng'wu'xue'ji'di'ban
圣雅地戈,sheng'ya'di'ge
市场营销,shi'chang'ying'xiao
十二舍广场,shi'er'she'guang'chang
十佳歌手,shi'jia'ge'shou
食品科学与工程,shi'pin'ke'xue'yu'gong'cheng
食品楼,shi'pin'lou
食品院,shi'pin'yuan
食品质量与安全,shi'pin'zhi'liang'yu'an'quan
实验楼,shi'yan'lou
蜀香,shu'xiang
水产养殖学,shui'chan'yang'zhi'xue
水榭,shui'xie
苏果,su'guo
桃李廊,tao'li'lang
提增,ti'zeng
童卫路,tong'wei'lu
土地资源管理,tu'di'zi'yuan'guan'li
图书馆,tu'shu'guan
团委绿岛,tuan'wei'lv'dao
外语院,wai'yu'yuan
网络工程,wang'luo'gong'cheng
卫岗,wei'gang
文化广场,wen'hua'guang'chang
文化艺术节,wen'hua'yi'shu'jie
武林,wu'lin
物流工程专业,wu'liu'gong'cheng'zhuan'ye
西部面馆,xi'bu'mian'guan
孝陵卫,xiao'ling'wei
小树林,xiao'shu'lin
小卫街,xiao'wei'jie
校医院,xiao'yi'yuan
校友山,xiao'you'shan
信息管理与信息系统,xin'xi'guan'li'yu'xin'xi'xi'tong
信息与计算科学,xin'xi'yu'ji'suan'ke'xue
信息院,xin'xi'yuan
行政管理,xing'zheng'guan'li
行政楼,xing'zheng'lou
学生之家,xue'sheng'zhi'jia
研究生院,yan'jiu'sheng'yuan
逸夫楼,yi'fu'lou
一食堂,yi'shi'tang
应用化学,ying'yong'hua'xue
英语,ying'yu
裕光楼,yu'guang'lou
玉兰路,yu'lan'lu
园林,yuan'lin
院系杯,yuan'xi'bei
园艺,yuan'yi
园艺院,yuan'yi'yuan
源源水饺,yuan'yuan'shui'jiao
赵哥,zhao'ge
郑小波,zheng'xiao'bo
植保楼,zhi'bao'lou
植保院,zhi'bao'yuan
植物保护,zhi'wu'bao'hu
钟山花园城,zhong'shan'hua'yuan'cheng
钟山路,zhong'shan'lu
中央路,zhong'yang'lu
中药学,zhong'yao'xue
种子科学与工程,zhong'zi'ke'xue'yu'gong'cheng
主楼,zhu'lou
自动化,zi'dong'hua
资环院,zi'huan'yuan
资源环境与城乡规划,zi'yuan'huan'jing'yu'cheng'xiang'gui'hua
紫竹路,zi'zhu'lu
综合楼,zong'he'lou
