爱的翅膀,ai'de'chi'bang
百搭,bai'da
宝蓝阁,bao'lan'ge
不良家族,bu'liang'jia'zu
彩虹罗曼史,cai'hong'luo'man'shi
曺圭贤,cao'gui'xian
澈特,che'te
承焕,cheng'huan
春天的华尔兹,chun'tian'de'hua'er'zi
崔始源,cui'shi'yuan
崔油桶,cui'you'tong
大头,da'tou
大云哥,da'yun'ge
地主,di'zhu
东海,dong'hai
范海,fan'hai
腹黑,fu'hei
服务员,fu'wu'yuan
庚吧,geng'ba
庚宝,geng'bao
庚澈,geng'che
庚花,geng'hua
公主殿,gong'zhu'dian
官配,guan'pei
圭贤,gui'xian
海宝,hai'bao
韩庚,han'geng
浩澈,hao'che
浩海,hao'hai
赫澈,he'che
赫海,he'hai
赫敏,he'min
赫秀,he'xiu
黑车,hei'che
花美男连锁恐怖事件,hua'mei'nan'lian'suo'kong'bu'shi'jian
黄金新娘,huang'jin'xin'niang
鸡饭,ji'fan
金丽旭,jin'li'xu
金起范,jin'qi'fan
金希澈,jin'xi'che
金英云,jin'ying'yun
金钟云,jin'zhong'yun
来过倒,lai'guo'dao
老基范,lao'ji'fan
李东海,li'dong'hai
李赫在,li'he'zai
李赫宰,li'he'zai
李猴子,li'hou'zi
李晟敏,li'sheng'min
李兔子,li'tu'zi
李小抽,li'xiao'chou
丽旭,li'xu
领导,ling'dao
没有像我这样的人,mei'you'xiang'wo'zhe'yang'de'ren
墨攻,mo'gong
爬墙,pa'qiang
票子,piao'zi
朴美丽,pu'mei'li
朴性感,pu'xing'gan
朴妖孽,pu'yao'nie
朴正洙,pu'zheng'zhu
起范,qi'fan
强澈,qiang'che
强仁,qiang'ren
强特,qiang'te
强兔,qiang'tu
青苹果,qing'ping'guo
人气歌谣,ren'qi'ge'yao
茸茸,rong'rong
肉肉,rou'rou
赛我,sai'wo
申东熙,shen'dong'xi
神童,shen'tong
神兔,shen'tu
神五,shen'wu
晟敏,sheng'min
十元,shi'yuan
始源,shi'yuan
首班车,shou'ban'che
双云,shuang'yun
四月之吻,si'yue'zhi'wen
特澈,te'che
天道,tian'dao
天方地轴,tian'fang'di'zhou
甜南瓜,tian'nan'gua
王道,wang'dao
王爷,wang'ye
五花肉,wu'hua'rou
希澈,xi'che
希大人,xi'da'ren
希范,xi'fan
希庚,xi'geng
希瑞拉,xi'rui'la
贤敏,xian'min
贤兔,xian'tu
贤旭,xian'xu
小队,xiao'dui
小面额,xiao'mian'e
小贤,xiao'xian
小星星,xiao'xing'xing
小旭,xiao'xu
秀赫,xiu'he
旭海,xu'hai
艺声,yi'sheng
艺兔,yi'tu
艺旭,yi'xu
银赫,yin'he
玉琳的成长日记,yu'lin'de'cheng'zhang'ri'ji
宇宙道,yu'zhou'dao
源澈,yuan'che
源范,yuan'fan
源庚,yuan'geng
源海,yuan'hai
赵圭贤,zhao'gui'xian
竹夫人,zhu'fu'ren
壮茄,zhuang'qie
