按钮,an'niu
按下某键,an'xia'mou'jian
按下图片,an'xia'tu'pian
绑定事件,bang'ding'shi'jian
绑定弹出菜单,bang'ding'tan'chu'cai'dan
报毒,bao'du
被按下,bei'an'xia
被长按,bei'chang'an
被单击,bei'dan'ji
背景图片,bei'jing'tu'pian
背景颜色,bei'jing'yan'se
被弹起,bei'tan'qi
被移动,bei'yi'dong
编辑框,bian'ji'kuang
标题,biao'ti
菜单被选择,cai'dan'bei'xuan'ze
程序被重启,cheng'xu'bei'chong'qi
程序被启动,cheng'xu'bei'qi'dong
程序被销毁,cheng'xu'bei'xiao'hui
程序被暂停,cheng'xu'bei'zan'ting
触摸手势,chu'mo'shou'shi
出去文本,chu'qu'wen'ben
创建完毕,chuang'jian'wan'bi
窗口,chuang'kou
粗体,cu'ti
到顶层,dao'ding'ceng
电视机关闭特效,dian'shi'ji'guan'bi'te'xiao
顶边,ding'bian
对齐方式,dui'qi'fang'shi
高度,gao'du
绘制完毕,hui'zhi'wan'bi
获取焦点,huo'qu'jiao'dian
加入文本,jia'ru'wen'ben
加载超文本,jia'zai'chao'wen'ben
监听被单击事件,jian'ting'bei'dan'ji'shi'jian
监听绘制,jian'ting'hui'zhi
开启特效,kai'qi'te'xiao
开启特效完毕,kai'qi'te'xiao'wan'bi
可否活动,ke'fou'huo'dong
可视,ke'shi
可停留焦点,ke'ting'liu'jiao'dian
可用,ke'yong
宽度,kuan'du
屏幕方向被改变,ping'mu'fang'xiang'bei'gai'bian
切换完毕,qie'huan'wan'bi
清楚焦点,qing'chu'jiao'dian
清空菜单,qing'kong'cai'dan
清空弹出菜单,qing'kong'tan'chu'cai'dan
取高度,qu'gao'du
取光标位置,qu'guang'biao'wei'zhi
取宽度,qu'kuan'du
取组建索引,qu'zu'jian'suo'yin
全选,quan'xuan
日期框被选择,ri'qi'kuang'bei'xuan'ze
删除文本,shan'chu'wen'ben
时间框被选择,shi'jian'kuang'bei'xuan'ze
失去焦点,shi'qu'jiao'dian
输入方式,shu'ru'fang'shi
刷新,shua'xin
弹出菜单被选择,tan'chu'cai'dan'bei'xuan'ze
弹起图片,tan'qi'tu'pian
提示信息,ti'shi'xin'xi
添加菜单,tian'jia'cai'dan
添加弹出菜单,tian'jia'tan'chu'cai'dan
透明度,tou'ming'du
图片,tu'pian
显示方式,xian'shi'fang'shi
显示光标,xian'shi'guang'biao
显示输入法,xian'shi'shu'ru'fa
销毁,xiao'hui
斜体,xie'ti
悬浮按钮被长按,xuan'fu'an'niu'bei'chang'an
悬浮按钮被单击,xuan'fu'an'niu'bei'dan'ji
悬浮按钮被弹起,xuan'fu'an'niu'bei'tan'qi
选中文本,xuan'zhong'wen'ben
旋转特效,xuan'zhuan'te'xiao
移动,yi'dong
移动特效,yi'dong'te'xiao
移动特效完毕,yi'dong'te'xiao'wan'bi
隐藏光标,yin'cang'guang'biao
隐藏输入法,yin'cang'shu'ru'fa
置多行模式,zhi'duo'xing'mo'shi
置光标位置,zhi'guang'biao'wei'zhi
置搜索模式,zhi'sou'suo'mo'shi
置特效重复模式,zhi'te'xiao'chong'fu'mo'shi
置提示信息颜色,zhi'ti'shi'xin'xi'yan'se
置组建索引,zhi'zu'jian'suo'yin
置左侧图标,zhi'zuo'ce'tu'biao
自定义字体,zi'ding'yi'zi'ti
字体大小,zi'ti'da'xiao
字体颜色,zi'ti'yan'se
左边,zuo'bian
