巴巴,ba'ba
八里八,ba'li'ba
摆秋,bai'qiu
摆治,bai'zhi
半拉,ban'la
扳了,ban'le
搬托,ban'tuo
半语子,ban'yu'zi
扳直弯,ban'zhi'wan
背锅子,bei'guo'zi
扁嘴子,bian'zui'zi
不得劲,bu'de'jin
不照气,bu'zhao'qi
不照条,bu'zhao'tiao
采精,cai'jing
草驴,cao'lv
草鱼,cao'yu
岔保,cha'bao
挿来,cha'lai
场,chang
成天,cheng'tian
吃虎子,chi'hu'zi
吃烟,chi'yan
臭胰子,chou'yi'zi
出水花,chu'shui'hua
粗坦,cu'tan
大,da
大伯子,da'bai'zi
打岔,da'cha
打打气儿,da'da'qi'er
打尖,da'jian
打脾寒,da'pi'han
大谱的,da'pu'de
打圆壶,da'yuan'hu
大蒸馍,da'zheng'mo
呆,dai
淡,dan
当家的,dang'jia'de
挡呛,dang'qiang
地梨子,di'li'zi
点把,dian'ba
电棒,dian'bang
点尕,dian'ga
吊二郎当,diao'er'lang'dang
刁来,diao'lai
刁晓,diao'xiao
丁丁,ding'ding
丁尕尕,ding'ga'ga
斗,dou
多咱儿,duo'zan'er
恩,en
二巴杆子,er'ba'gan'zi
二半调子,er'ban'diao'zi
二薄豆,er'bo'dou
二不斗,er'bu'dou
二面二,er'mian'er
二细,er'xi
二性求,er'xing'qiu
发嫁,fa'jia
发雾,fa'wu
发呓症,fa'yi'zheng
翻,fan
翻花,fan'hua
房屋,fang'wu
粪箢子,fen'yuan'zi
嘎吧呐儿,ga'ba'na'er
盖物,gai'wu
干巴吊颈,gan'ba'diao'jing
干饭,gan'fan
赶门儿,gan'men'er
高面,gao'mian
胳膊弯子,ge'bo'wan'zi
个去白来,ge'qu'bai'lai
寡夫条子,gua'fu'tiao'zi
拐,guai
拐的慌,guai'de'huang
怪好,guai'hao
管精,guan'jing
鬼采精,gui'cai'jing
鬼灰,gui'hui
过辈,guo'bei
过房,guo'fang
锅上,guo'shang
嗨饭,hai'fan
夯,hang
合是鬼采精,he'shi'gui'cai'jing
黑咧,hei'lie
红芋,hong'yu
后屋里,hou'wu'li
