饱和,bao'he
比重,bi'zhong
边坡,bian'po
变异系数,bian'yi'xi'shu
标高,biao'gao
标贯,biao'guan
标贯击数,biao'guan'ji'shu
标贯深度,biao'guan'shen'du
标准差,biao'zhun'cha
标准值,biao'zhun'zhi
冰积土,bing'ji'tu
不良地质现象,bu'liang'di'zhi'xian'xiang
残积土,can'ji'tu
测斜,ce'xie
测斜孔,ce'xie'kong
层号,ceng'hao
超灌,chao'guan
沉管灌注桩,chen'guan'guan'zhu'zhuang
沉降,chen'jiang
承压地下水,cheng'ya'di'xia'shui
承压水,cheng'ya'shui
承压水突涌,cheng'ya'shui'tu'yong
持力层的选择,chi'li'ceng'de'xuan'ze
冲积土,chong'ji'tu
冲孔桩,chong'kong'zhuang
粗砂,cu'sha
单桥,dan'qiao
单桥静探仪,dan'qiao'jing'tan'yi
挡土,dang'tu
地貌,di'mao
第四系,di'si'xi
地下连续墙,di'xia'lian'xu'qiang
地形,di'xing
动探,dong'tan
多头搅拌,duo'tou'jiao'ban
范围值,fan'wei'zhi
分布范围,fen'bu'fan'wei
粉喷桩,fen'pen'zhuang
粉砂,fen'sha
粉土,fen'tu
粉细砂,fen'xi'sha
粉质黏土,fen'zhi'nian'tu
风积土,feng'ji'tu
辅撑,fu'cheng
复搅,fu'jiao
腐蚀性,fu'shi'xing
辅支撑,fu'zhi'cheng
钢板网,gang'ban'wang
钢筋网,gang'jin'wang
高程,gao'cheng
工程概况,gong'cheng'gai'kuang
挂网喷射混凝土,gua'wang'pen'she'hun'ning'tu
管井,guan'jing
冠梁,guan'liang
灌注桩,guan'zhu'zhuang
褐红色,he'hong'se
褐黄色,he'huang'se
洪积土,hong'ji'tu
厚层状,hou'ceng'zhuang
换撑,huan'cheng
灰岩,hui'yan
混合土,hun'he'tu
基础类型,ji'chu'lei'xing
基坑,ji'keng
基坑工程,ji'keng'gong'cheng
基坑降水,ji'keng'jiang'shui
基坑支护,ji'keng'zhi'hu
击数,ji'shu
建筑抗震设计规范,jian'zhu'kang'zhen'she'ji'gui'fan
浆喷桩,jiang'pen'zhuang
搅拌桩,jiao'ban'zhuang
角砾,jiao'li
揭露,jie'lu
结论与建议,jie'lun'yu'jian'yi
截水,jie'shui
井点,jing'dian
静力触探,jing'li'chu'tan
静探,jing'tan
静探曲线,jing'tan'qu'xian
静压预制管桩,jing'ya'yu'zhi'guan'zhuang
静压预制桩,jing'ya'yu'zhi'zhuang
勘察规范,kan'cha'gui'fan
勘察目的,kan'cha'mu'di
勘探点平面位置图,kan'tan'dian'ping'mian'wei'zhi'tu
抗浮锚杆,kang'fu'mao'gan
抗剪强度,kang'jian'qiang'du
可回收锚杆,ke'hui'shou'mao'gan
可回收锚索,ke'hui'shou'mao'suo
可塑,ke'su
坑底,keng'di
孔隙比,kong'xi'bi
控制性勘探孔,kong'zhi'xing'kan'tan'kong
块石,kuai'shi
块状结构,kuai'zhuang'jie'gou
扩大头,kuo'da'tou
扩大头锚杆,kuo'da'tou'mao'gan
老沉积土,lao'chen'ji'tu
粒径,li'jing
砾砂,li'sha
立柱,li'zhu
立柱桩,li'zhu'zhuang
卵石,luan'shi
锚杆,mao'gan
锚索,mao'suo
摩擦力,mo'ca'li
拟建场地,ni'jian'chang'di
拟建工程,ni'jian'gong'cheng
泥炭,ni'tan
泥炭质土,ni'tan'zhi'tu
泥岩,ni'yan
黏土,nian'tu
黏质粉土,nian'zhi'fen'tu
排桩,pai'zhuang
排桩悬臂,pai'zhuang'xuan'bi
排桩支护,pai'zhuang'zhi'hu
喷锚,pen'mao
喷锚支护,pen'mao'zhi'hu
喷射混凝土,pen'she'hun'ning'tu
漂石,piao'shi
平均值,ping'jun'zhi
坡积土,po'ji'tu
强度指标,qiang'du'zhi'biao
强风化,qiang'feng'hua
轻型井点,qing'xing'jing'dian
全风化,quan'feng'hua
人工填土,ren'gong'tian'tu
人工挖孔灌注桩,ren'gong'wa'kong'guan'zhu'zhuang
人工挖孔桩,ren'gong'wa'kong'zhuang
任务要求,ren'wu'yao'qiu
溶洞,rong'dong
软塑,ruan'su
砂卵石,sha'luan'shi
砂土,sha'tu
砂质粉土,sha'zhi'fen'tu
上层滞水,shang'ceng'zhi'shui
稍有光泽,shao'you'guang'ze
深层搅拌桩,shen'ceng'jiao'ban'zhuang
实测击数,shi'ce'ji'shu
试验编号,shi'yan'bian'hao
石英,shi'ying
数据个数,shu'ju'ge'shu
双排桩,shuang'pai'zhuang
双桥,shuang'qiao
双桥静探仪,shuang'qiao'jing'tan'yi
水泥土,shui'ni'tu
水文地质条件,shui'wen'di'zhi'tiao'jian
水样,shui'yang
素填土,su'tian'tu
塑性指数,su'xing'zhi'shu
碎石,sui'shi
碎石土,sui'shi'tu
锁口梁,suo'kou'liang
碳酸钙炭质,tan'suan'gai'tan'zhi
弹性模量,tan'xing'mo'liang
天然含水量,tian'ran'han'shui'liang
天然密度,tian'ran'mi'du
填土,tian'tu
土洞,tu'dong
土工试验,tu'gong'shi'yan
土类名称,tu'lei'ming'cheng
土壤,tu'rang
土样,tu'yang
网喷,wang'pen
微风化,wei'feng'hua
未完成,wei'wan'cheng
无机土,wu'ji'tu
细砂,xi'sha
新近沉积土,xin'jin'chen'ji'tu
修正击数,xiu'zheng'ji'shu
旋挖桩,xuan'wa'zhuang
压缩模量,ya'suo'mo'liang
压缩模型,ya'suo'mo'xing
压缩系数,ya'suo'xi'shu
岩石质量等级,yan'shi'zhi'liang'deng'ji
岩体,yan'ti
岩土,yan'tu
岩土工程,yan'tu'gong'cheng
岩土工程师,yan'tu'gong'cheng'shi
岩土工程师论坛,yan'tu'gong'cheng'shi'lun'tan
岩土工程条件,yan'tu'gong'cheng'tiao'jian
岩土工作者,yan'tu'gong'zuo'zhe
岩样,yan'yang
摇震无反映,yao'zhen'wu'fan'ying
液性指数,ye'xing'zhi'shu
一般性勘探孔,yi'ban'xing'kan'tan'kong
隐晶质结构,yin'jing'zhi'jie'gou
硬塑,ying'su
有机质土,you'ji'zhi'tu
淤积土,yu'ji'tu
淤泥,yu'ni
淤泥质,yu'ni'zhi
淤泥质粉质黏土,yu'ni'zhi'fen'zhi'nian'tu
淤泥质黏土,yu'ni'zhi'nian'tu
淤泥质土,yu'ni'zhi'tu
预制管桩,yu'zhi'guan'zhuang
预制桩,yu'zhi'zhuang
圆砾,yuan'li
原位测试,yuan'wei'ce'shi
杂填土,za'tian'tu
在建工程,zai'jian'gong'cheng
支撑,zhi'cheng
支撑梁,zhi'cheng'liang
支护桩,zhi'hu'zhuang
止水帷幕,zhi'shui'wei'mu
中风化,zhong'feng'hua
中砂,zhong'sha
