阿是穴,a'shi'xue
艾灸补泻,ai'jiu'bu'xie
嗳气,ai'qi
艾绒,ai'rong
艾条,ai'tiao
艾条灸,ai'tiao'jiu
艾叶,ai'ye
艾柱,ai'zhu
艾柱灸,ai'zhu'jiu
按法,an'fa
按蹻,an'jiao
安眠,an'mian
按摩,an'mo
按神经取穴,an'shen'jing'qu'xue
安邪,an'xie
八冲,ba'chong
八风,ba'feng
八纲,ba'gang
八纲辨证,ba'gang'bian'zheng
八卦,ba'gua
八关,ba'guan
八会穴,ba'hui'xue
拔火罐,ba'huo'guan
八髎,ba'liao
八脉交会穴,ba'mai'jiao'hui'xue
八溪,ba'xi
八邪,ba'xie
八虚,ba'xu
百虫窝,bai'chong'wo
白带,bai'dai
白癜风,bai'dian'feng
白附子,bai'fu'zi
白虎摇头,bai'hu'yao'tou
白环俞,bai'huan'yu
百会,bai'hui
白芥子,bai'jie'zi
白芥子灸,bai'jie'zi'jiu
百劳,bai'lao
百日咳,bai'ri'ke
白肉际,bai'rou'ji
白苔,bai'tai
白屑风,bai'xie'feng
白针,bai'zhen
半刺,ban'ci
瘢痕灸,ban'hen'jiu
半身不遂,ban'shen'bu'sui
半身麻木,ban'shen'ma'mu
斑秃,ban'tu
傍针刺,bang'zhen'ci
暴病者取之太阳,bao'bing'zhe'qu'zhi'tai'yang
报刺,bao'ci
胞肓,bao'huang
保健灸,bao'jian'jiu
报灸,bao'jiu
胞脉,bao'mai
暴盲,bao'mang
胞门子户,bao'men'zi'hu
豹文刺,bao'wen'ci
暴瘖,bao'yin
背第二侧线,bei'di'er'ce'xian
背第一侧线,bei'di'yi'ce'xian
备急千金要方,bei'ji'qian'jin'yao'fang
背俞穴,bei'shu'xue
背痛,bei'tong
背阳关,bei'yang'guan
背正中线,bei'zheng'zhong'xian
本池,ben'chi
本节,ben'jie
本经取穴,ben'jing'qu'xue
贲门,ben'men
本神,ben'shen
崩漏,beng'lou
鼻穿,bi'chuan
臂骨,bi'gu
髀关,bi'guan
闭经,bi'jing
鼻孔,bi'kong
蓖麻子灸,bi'ma'zi'jiu
臂臑,bi'nao
鼻衄,bi'nv
鼻塞,bi'sai
髀枢,bi'shu
鼻通,bi'tong
臂五里,bi'wu'li
鼻渊,bi'yuan
