安徽大学,an'hui'da'xue
北京大学,bei'jing'da'xue
北京工业大学,bei'jing'gong'ye'da'xue
北京航空航天大学,bei'jing'hang'kong'hang'tian'da'xue
北京化工大学,bei'jing'hua'gong'da'xue
北京交通大学,bei'jing'jiao'tong'da'xue
北京科技大学,bei'jing'ke'ji'da'xue
北京理工大学,bei'jing'li'gong'da'xue
北京林业大学,bei'jing'lin'ye'da'xue
北京师范大学,bei'jing'shi'fan'da'xue
北京外国语大学,bei'jing'wai'guo'yu'da'xue
北京邮电大学,bei'jing'you'dian'da'xue
北京中医药大学,bei'jing'zhong'yi'yao'da'xue
长安大学,chang'an'da'xue
重庆大学,chong'qing'da'xue
大连海事大学,da'lian'hai'shi'da'xue
大连理工大学,da'lian'li'gong'da'xue
第二军医大学,di'er'jun'yi'da'xue
第四军医大学,di'si'jun'yi'da'xue
电子科技大学,dian'zi'ke'ji'da'xue
东北大学,dong'bei'da'xue
东北林业大学,dong'bei'lin'ye'da'xue
东北农业大学,dong'bei'nong'ye'da'xue
东北师范大学,dong'bei'shi'fan'da'xue
东华大学,dong'hua'da'xue
东南大学,dong'nan'da'xue
对外经济贸易大学,dui'wai'jing'ji'mao'yi'da'xue
复旦大学,fu'dan'da'xue
福州大学,fu'zhou'da'xue
广西大学,guang'xi'da'xue
广州中医药大学,guang'zhou'zhong'yi'yao'da'xue
贵州大学,gui'zhou'da'xue
国防科技大学,guo'fang'ke'ji'da'xue
哈尔滨工程大学,ha'er'bin'gong'cheng'da'xue
哈尔滨工业大学,ha'er'bin'gong'ye'da'xue
河北工业大学,he'bei'gong'ye'da'xue
合肥工业大学,he'fei'gong'ye'da'xue
河海大学,he'hai'da'xue
湖南大学,hu'nan'da'xue
湖南师范大学,hu'nan'shi'fan'da'xue
华北电力大学,hua'bei'dian'li'da'xue
华东理工大学,hua'dong'li'gong'da'xue
华东师范大学,hua'dong'shi'fan'da'xue
华南理工大学,hua'nan'li'gong'da'xue
华南师范大学,hua'nan'shi'fan'da'xue
华中科技大学,hua'zhong'ke'ji'da'xue
华中农业大学,hua'zhong'nong'ye'da'xue
华中师范大学,hua'zhong'shi'fan'da'xue
吉林大学,ji'lin'da'xue
暨南大学,ji'nan'da'xue
江南大学,jiang'nan'da'xue
兰州大学,lan'zhou'da'xue
辽宁大学,liao'ning'da'xue
南昌大学,nan'chang'da'xue
南京大学,nan'jing'da'xue
南京航空航天大学,nan'jing'hang'kong'hang'tian'da'xue
南京理工大学,nan'jing'li'gong'da'xue
南京农业大学,nan'jing'nong'ye'da'xue
南京师范大学,nan'jing'shi'fan'da'xue
南开大学,nan'kai'da'xue
内蒙古大学,nei'meng'gu'da'xue
清华大学,qing'hua'da'xue
山东大学,shan'dong'da'xue
上海财经大学,shang'hai'cai'jing'da'xue
上海大学,shang'hai'da'xue
上海第二医科大学合并,shang'hai'di'er'yi'ke'da'xue'he'bing
上海交通大学,shang'hai'jiao'tong'da'xue
上海外国语大学,shang'hai'wai'guo'yu'da'xue
四川大学,si'chuan'da'xue
四川农业大学,si'chuan'nong'ye'da'xue
苏州大学,su'zhou'da'xue
太原理工大学,tai'yuan'li'gong'da'xue
天津大学,tian'jin'da'xue
天津医科大学,tian'jin'yi'ke'da'xue
同济大学,tong'ji'da'xue
武汉大学,wu'han'da'xue
武汉理工大学,wu'han'li'gong'da'xue
西安电子科技大学,xi'an'dian'zi'ke'ji'da'xue
西安交通大学,xi'an'jiao'tong'da'xue
西北大学,xi'bei'da'xue
西北工业大学,xi'bei'gong'ye'da'xue
西北农林科技大学,xi'bei'nong'lin'ke'ji'da'xue
西南财经大学,xi'nan'cai'jing'da'xue
西南大学,xi'nan'da'xue
西南交通大学,xi'nan'jiao'tong'da'xue
厦门大学,xia'men'da'xue
新疆大学,xin'jiang'da'xue
延边大学,yan'bian'da'xue
云南大学,yun'nan'da'xue
浙江大学,zhe'jiang'da'xue
郑州大学,zheng'zhou'da'xue
中国传媒大学,zhong'guo'chuan'mei'da'xue
中国地质大学,zhong'guo'di'zhi'da'xue
中国海洋大学,zhong'guo'hai'yang'da'xue
中国科学技术大学,zhong'guo'ke'xue'ji'shu'da'xue
中国矿业大学,zhong'guo'kuang'ye'da'xue
中国农业大学,zhong'guo'nong'ye'da'xue
中国人民大学,zhong'guo'ren'min'da'xue
中国石油大学,zhong'guo'shi'you'da'xue
中国协和医科大学,zhong'guo'xie'he'yi'ke'da'xue
中国药科大学,zhong'guo'yao'ke'da'xue
中国政法大学,zhong'guo'zheng'fa'da'xue
中南财经政法大学,zhong'nan'cai'jing'zheng'fa'da'xue
中南大学,zhong'nan'da'xue
中山大学,zhong'shan'da'xue
中央财经大学,zhong'yang'cai'jing'da'xue
中央民族大学,zhong'yang'min'zu'da'xue
中央音乐学院,zhong'yang'yin'yue'xue'yuan
