黐线,chi'xian
出嚟,chu'li
得啩,de'gua
得闲,de'xian
第次,di'ci
睇电影,di'dian'ying
第日,di'ri
点解,dian'jie
对唔住,dui'wu'zhu
厄人,e'ren
翻归,fan'gui
翻学,fan'xue
翻学未吖,fan'xue'wei'a
瞓觉,fen'jiao
咁噶,gan'ga
咁好,gan'hao
咁样,gan'yang
赶住,gan'zhu
搞掂,gao'dian
隔离,ge'li
挂住,gua'zhu
几多,ji'duo
老豆,lao'dou
冧嘢,lin'ye
拎嘢,lin'ye
攞嘢,luo'ye
米讲咁多废话,mi'jiang'gan'duo'fei'hua
米冧咁多,mi'lin'gan'duo
米嬲啦,mi'niao'la
乜事,mie'shi
乜哇,mie'wa
乜嘢,mie'ye
乜嘢都冇嗮,mie'ye'dou'mao'sai
明知故问,ming'zhi'gu'wen
呢度,ne'du
呢个,ne'ge
你哋,ni'di
你係边度,ni'xi'bian'du
拍拖,pai'tuo
起身,qi'shen
求其啦,qiu'qi'la
佢哋,qu'di
食饭未吖,shi'fan'wei'a
食蕉,shi'jiao
识唔识,shi'wu'shi
收工,shou'gong
喂吖,wei'a
揾人,wen'ren
我哋,wo'di
唔得闲,wu'de'xian
唔关我事,wu'guan'wo'shi
唔理我噶,wu'li'wo'ga
唔係,wu'xi
唔制,wu'zhi
熄电脑,xi'dian'nao
细佬,xi'lao
细路,xi'lu
先算,xian'suan
眼瞓,yan'fen
啱先,yan'xian
啱啱,yan'yan
吔蕉,ye'jiao
早唞,zao'dou
执嘢,zhi'ye
做嘢,zuo'ye
