阿赖山泛蜥,a'lai'shan'fan'xi
阿里山脊蛇,a'li'shan'ji'she
哀鳞趾虎,ai'lin'zhi'hu
凹甲陆龟,ao'jia'lu'gui
凹甲陆龟属,ao'jia'lu'gui'shu
八莫过树蛇,ba'mo'guo'shu'she
巴塘攀蜥,ba'tang'pan'xi
霸王岭睑虎,ba'wang'ling'jian'hu
八线腹链蛇,ba'xian'fu'lian'she
白唇树蜥,bai'chun'shu'xi
白唇竹叶青蛇,bai'chun'zhu'ye'qing'she
百花晨蛇,bai'hua'chen'she
白环链蛇,bai'huan'lian'she
白眶蛇,bai'kuang'she
白眶蛇属,bai'kuang'she'shu
白眉腹链蛇,bai'mei'fu'lian'she
百色闭壳龟,bai'se'bi'ke'gui
白条草蜥,bai'tiao'cao'xi
白条锦蛇,bai'tiao'jin'she
白头钩盲蛇,bai'tou'gou'mang'she
白头蝰,bai'tou'kui
白头蝰属,bai'tou'kui'shu
白尾双足蜥,bai'wei'shuang'zu'xi
斑鳖,ban'bie
斑鳖属,ban'bie'shu
斑飞蜥,ban'fei'xi
半环扁尾海蛇,ban'huan'bian'wei'hai'she
版纳伞虎,ban'na'san'hu
斑蜓蜥,ban'ting'xi
半叶趾虎,ban'ye'zhi'hu
半叶趾虎属,ban'ye'zhi'hu'shu
蚌西拟树蜥,bang'xi'ni'shu'xi
北部湾蜓蜥,bei'bu'wan'ting'xi
北草蜥,bei'cao'xi
北链蛇,bei'lian'she
壁虎科,bi'hu'ke
壁虎属,bi'hu'shu
闭壳龟属,bi'ke'gui'shu
变色沙蜥,bian'se'sha'xi
变色树蜥,bian'se'shu'xi
扁尾海蛇,bian'wei'hai'she
扁尾海蛇属,bian'wei'hai'she'shu
鳖科,bie'ke
鳖属,bie'shu
菜花原矛头蝮,cai'hua'yuan'mao'tou'fu
草腹链蛇,cao'fu'lian'she
草绿攀蜥,cao'lv'pan'xi
草蜥属,cao'xi'shu
草原沙蜥,cao'yuan'sha'xi
草原蜥,cao'yuan'xi
草原蜥属,cao'yuan'xi'shu
侧条后棱蛇,ce'tiao'hou'leng'she
察隅腹链蛇,cha'yu'fu'lian'she
察隅烙铁头蛇,cha'yu'lao'tie'tou'she
长棘蜥,chang'ji'xi
长鬣蜥,chang'lie'xi
长鬣蜥属,chang'lie'xi'shu
昌宁半叶趾虎,chang'ning'ban'ye'zhi'hu
长弯脚虎,chang'wan'jiao'hu
长尾南蜥,chang'wei'nan'xi
长吻海蛇,chang'wen'hai'she
长肢滑蜥,chang'zhi'hua'xi
长肢攀蜥,chang'zhi'pan'xi
晨蛇属,chen'she'shu
赤峰锦蛇,chi'feng'jin'she
赤链华游蛇,chi'lian'hua'you'she
赤链蛇,chi'lian'she
齿缘摄龟,chi'yuan'she'gui
崇安草蜥,chong'an'cao'xi
崇安石龙子,chong'an'shi'long'zi
崇安斜鳞蛇,chong'an'xie'lin'she
虫纹麻蜥,chong'wen'ma'xi
纯绿翠青蛇,chun'lv'cui'qing'she
粗疣壁虎,cu'you'bi'hu
翠斑草蜥,cui'ban'cao'xi
翠青蛇,cui'qing'she
翠青蛇属,cui'qing'she'shu
脆蛇蜥,cui'she'xi
脆蛇蜥属,cui'she'xi'shu
大壁虎,da'bi'hu
大别山原矛头蝮,da'bie'shan'yuan'mao'tou'fu
大渡石龙子,da'du'shi'long'zi
大敦弯脚虎,da'dun'wan'jiao'hu
大耳沙蜥,da'er'sha'xi
大盲蛇,da'mang'she
大眼斜鳞蛇,da'yan'xie'lin'she
玳瑁,dai'mao
玳瑁属,dai'mao'shu
淡灰海蛇,dan'hui'hai'she
岛蜥属,dao'xi'shu
地龟,di'gui
地龟科,di'gui'ke
地龟属,di'gui'shu
滇西蛇,dian'xi'she
滇西蛇属,dian'xi'she'shu
东北鳖,dong'bei'bie
东川链蛇,dong'chuan'lian'she
东方蝰,dong'fang'kui
东方沙蟒,dong'fang'sha'mang
东方蛇属,dong'fang'she'shu
东南亚盲蛇属,dong'nan'ya'mang'she'shu
东亚腹链蛇,dong'ya'fu'lian'she
东亚腹链蛇属,dong'ya'fu'lian'she'shu
独龙江攀蜥,du'long'jiang'pan'xi
短尾蝮,duan'wei'fu
短尾攀蜥,duan'wei'pan'xi
短肢拟树蜥,duan'zhi'ni'shu'xi
短肢攀蜥,duan'zhi'pan'xi
钝头蛇科,dun'tou'she'ke
钝头蛇属,dun'tou'she'shu
钝尾两头蛇,dun'wei'liang'tou'she
多棱南蜥,duo'leng'nan'xi
多线南蜥,duo'xian'nan'xi
多疣壁虎,duo'you'bi'hu
鳄科,e'ke
峨眉草蜥,e'mei'cao'xi
鳄蜥,e'xi
鳄蜥科,e'xi'ke
鳄蜥属,e'xi'shu
鳄形目,e'xing'mu
耳疣壁虎,er'you'bi'hu
帆背攀蜥,fan'bei'pan'xi
繁花林蛇,fan'hua'lin'she
泛蜥属,fan'xi'shu
方斑小头蛇,fang'ban'xiao'tou'she
方额麻蜥,fang'e'ma'xi
方花蛇,fang'hua'she
方花蛇属,fang'hua'she'shu
翡翠攀蜥,fei'cui'pan'xi
飞蜥属,fei'xi'shu
粉链蛇,fen'lian'she
腹斑腹链蛇,fu'ban'fu'lian'she
腹斑蛇,fu'ban'she
腹斑蛇属,fu'ban'she'shu
福建钝头蛇,fu'jian'dun'tou'she
福建后棱蛇,fu'jian'hou'leng'she
福建华珊瑚蛇,fu'jian'hua'shan'hu'she
福建颈斑蛇,fu'jian'jing'ban'she
福建绿蝮,fu'jian'lv'fu
腹链蛇属,fu'lian'she'shu
福清链蛇,fu'qing'lian'she
冈氏绿蝮,gang'shi'lv'fu
高原蝮,gao'yuan'fu
贡山链蛇,gong'shan'lian'she
钩盲蛇,gou'mang'she
股鳞蜓蜥,gu'lin'ting'xi
古氏草蜥,gu'shi'cao'xi
挂墩后棱蛇,gua'dun'hou'leng'she
广东颈槽蛇,guang'dong'jing'cao'she
光蜥,guang'xi
广西后棱蛇,guang'xi'hou'leng'she
广西棱蜥,guang'xi'leng'xi
广西林蛇,guang'xi'lin'she
光蜥属,guang'xi'shu
龟鳖目,gui'bie'mu
贵德沙蜥,gui'de'sha'xi
贵南沙蜥,gui'nan'sha'xi
龟头海蛇,gui'tou'hai'she
龟头海蛇属,gui'tou'hai'she'shu
过树蛇,guo'shu'she
过树蛇属,guo'shu'she'shu
海龟科,hai'gui'ke
海龟属,hai'gui'shu
海蝰,hai'kui
海南壁虎,hai'nan'bi'hu
海南脆蛇蜥,hai'nan'cui'she'xi
海南脊蛇,hai'nan'ji'she
海南睑虎,hai'nan'jian'hu
海南颈槽蛇,hai'nan'jing'cao'she
海南棱蜥,hai'nan'leng'xi
海南闪鳞蛇,hai'nan'shan'lin'she
海蛇属,hai'she'shu
旱地沙蜥,han'di'sha'xi
黑斑沼蛇,hei'ban'zhao'she
黑背链蛇,hei'bei'lian'she
黑带腹链蛇,hei'dai'fu'lian'she
黑带小头蛇,hei'dai'xiao'tou'she
黑顶钝头蛇,hei'ding'dun'tou'she
黑腹沙蜥,hei'fu'sha'xi
黑脊蛇,hei'ji'she
黑颈乌龟,hei'jing'wu'gui
黑领剑蛇,hei'ling'jian'she
黑龙江草蜥,hei'long'jiang'cao'xi
黑眉晨蛇,hei'mei'chen'she
黑头海蛇,hei'tou'hai'she
黑头剑蛇,hei'tou'jian'she
黑头蝰,hei'tou'kui
黑网乌梢蛇,hei'wang'wu'shao'she
黑纹颈槽蛇,hei'wen'jing'cao'she
黑线乌梢蛇,hei'xian'wu'shao'she
黑疣大壁虎,hei'you'da'bi'hu
恒春草蜥,heng'chun'cao'xi
恒春盲蛇,heng'chun'mang'she
横纹翠青蛇,heng'wen'cui'qing'she
横纹钝头蛇,heng'wen'dun'tou'she
横纹后棱蛇,heng'wen'hou'leng'she
横纹链蛇,heng'wen'lian'she
横纹斜鳞蛇,heng'wen'xie'lin'she
横纹玉斑蛇,heng'wen'yu'ban'she
红脖颈槽蛇,hong'bo'geng'cao'she
红海龟,hong'hai'gui
红沙蟒,hong'sha'mang
红尾沙蜥,hong'wei'sha'xi
红尾筒蛇,hong'wei'tong'she
红纹滞卵蛇,hong'wen'zhi'luan'she
后棱蛇属,hou'leng'she'shu
喉褶蜥,hou'zhe'xi
喉褶蜥属,hou'zhe'xi'shu
虎斑颈槽蛇,hu'ban'jing'cao'she
滑腹攀蜥,hua'fu'pan'xi
华蝮属,hua'fu'shu
花龟,hua'gui
滑鳞蛇,hua'lin'she
滑鳞蛇属,hua'lin'she'shu
滑鼠蛇,hua'shu'she
花条蛇,hua'tiao'she
花条蛇属,hua'tiao'she'shu
滑蜥属,hua'xi'shu
华游蛇属,hua'you'she'shu
桓仁滑蜥,huan'ren'hua'xi
环蛇,huan'she
环蛇属,huan'she'shu
环纹海蛇,huan'wen'hai'she
环纹华游蛇,huan'wen'hua'you'she
黄斑后棱蛇,huang'ban'hou'leng'she
黄斑异色蛇,huang'ban'yi'se'she
黄额闭壳龟,huang'e'bi'ke'gui
黄腹杆蛇,huang'fu'gan'she
黄腹杆蛇属,huang'fu'gan'she'shu
黄喉拟水龟,huang'hou'ni'shui'gui
黄脊东方蛇,huang'ji'dong'fang'she
黄链蛇,huang'lian'she
荒漠麻蜥,huang'mo'ma'xi
荒漠沙蜥,huang'mo'sha'xi
黄纹石龙子,huang'wen'shi'long'zi
黄缘闭壳龟,huang'yuan'bi'ke'gui
灰腹绿蛇,hui'fu'lv'she
灰鼠蛇,hui'shu'she
灰中趾虎,hui'zhong'zhi'hu
极北蝰,ji'bei'kui
棘鳞海蛇,ji'lin'hai'she
