阿拉,a'la
阿无卵,a'wu'luan
阿无卵冒充金刚钻,a'wu'luan'mao'chong'jin'gang'zuan
阿武吕冒充金刚钻,a'wu'lv'mao'chong'jin'gang'zuan
奥斯两八开,ao'si'liang'ba'kai
扒分,ba'fen
白相,bai'xiang
憋当,bie'dang
别筋,bie'jin
别苗头,bie'miao'tou
瘪三,bie'san
别头,bie'tou
猜东猜,cai'dong'cai
睬东里睬,cai'dong'li'cai
猜东里东猜,cai'dong'li'dong'cai
册烂无,ce'lan'wu
册那,ce'na
册泡丝,ce'pao'si
册丝,ce'si
册无,ce'wu
吃伐,chi'fa
吃伐消,chi'fa'xiao
赤佬,chi'lao
臭要西,chou'yao'xi
呲头怪脑,ci'tou'guai'nao
挫刻,cuo'ke
挫气,cuo'qi
嗒嗒滴,da'da'di
当相当,dang'xiang'dang
捣糨糊,dao'jiang'hu
伐得噶,fa'de'ga
伐得了,fa'de'le
伐好,fa'hao
伐来塞,fa'lai'sai
伐灵,fa'ling
伐要,fa'yao
刚,gang
港督,gang'du
刚了要西,gang'le'yao'xi
搞七捏三,gao'qi'nie'san
硌得,ge'de
阁姘头,ge'pin'tou
隔手,ge'shou
拐倒,guai'dao
过则,guo'ze
哈搓搓,ha'cuo'cuo
哈刚八刚,ha'gang'ba'gang
哈好白相,ha'hao'bai'xiang
哈宁倒怪,ha'ning'dao'guai
哈切得八,ha'qie'de'ba
哈塞无丝,ha'sai'wu'si
哈有劲,ha'you'jin
憨大,han'da
汗嗒嗒滴,han'da'da'di
憨厚厚,han'hou'hou
好伐,hao'fa
好好叫,hao'hao'jiao
好叫,hao'jiao
户册册,hu'ce'ce
混腔水,hun'qiang'shui
昏特了,hun'te'le
叫关,jiao'guan
结棍,jie'gun
今朝,jin'zhao
绝倒,jue'dao
看伐,kan'fa
看雅眼,kan'ya'yan
看野眼,kan'ye'yan
来塞,lai'sai
来三伐,lai'san'fa
莱无三西汤,lai'wu'san'xi'tang
老噶,lao'ga
老巨,lao'ju
老灵额,lao'ling'e
老卵,lao'luan
老塞依额,lao'sai'yi'e
灵额,ling'e
灵伐,ling'fa
么额,me'e
么么黑,me'me'hei
么轻头,me'qing'tou
么撒,me'sa
么事,me'shi
么呀,me'ya
迷毛,mi'mao
乃么,nai'me
腻腥,ni'xing
拧嘎,ning'ga
拗分,niu'fen
弄松,nong'song
起西,qi'xi
去伐,qu'fa
缺西,que'xi
撒事体,sa'shi'ti
塞依,sai'yi
扫翻,sao'fan
勺勺翻翻,shao'shao'fan'fan
神子悟子,shen'zi'wu'zi
十骨头,shi'gu'tou
事体,shi'ti
摊台,tan'tai
摊遭水,tan'zao'shui
掏糨糊,tao'jiang'hu
投五投六,tou'wu'tou'liu
妄呆,wang'dai
勿见,wu'jian
西格格,xi'ge'ge
西里无度,xi'li'wu'du
狭气,xia'qi
霞霞那一噶门,xia'xia'na'yi'ga'men
闲话,xian'hua
乡屋拧,xiang'wu'ning
小瘪三,xiao'bie'san
小吊马子,xiao'diao'ma'zi
小噶罢气,xiao'ga'ba'qi
要伐,yao'fa
野路子,ye'lu'zi
乙丝包,yi'si'bao
一眼眼,yi'yan'yan
有伐,you'fa
组撒,zu'sa
