安全阀接闪器,an'quan'fa'jie'shan'qi
板形基础钢筋网,ban'xing'ji'chu'gang'jin'wang
爆炸危险环境,bao'zha'wei'xian'huan'jing
闭合条形混凝土基础,bi'he'tiao'xing'hun'ning'tu'ji'chu
闭合条形基础,bi'he'tiao'xing'ji'chu
避雷器,bi'lei'qi
避雷针,bi'lei'zhen
标称电压,biao'cheng'dian'ya
标称放电电流,biao'cheng'fang'dian'dian'liu
波纹控制设备,bo'wen'kong'zhi'she'bei
不宜小于,bu'yi'xiao'yu
槽形基础钢筋网,cao'xing'ji'chu'gang'jin'wang
操作过电压,cao'zuo'guo'dian'ya
持续运行电压,chi'xu'yun'xing'dian'ya
冲击电压,chong'ji'dian'ya
冲击接地电阻,chong'ji'jie'di'dian'zu
磁场强度,ci'chang'qiang'du
大气过电压,da'qi'guo'dian'ya
等电位连接,deng'dian'wei'lian'jie
等电位连接板,deng'dian'wei'lian'jie'ban
等电位连接点,deng'dian'wei'lian'jie'dian
等效圆半径,deng'xiao'yuan'ban'jing
第二类防雷建筑物,di'er'lei'fang'lei'jian'zhu'wu
低频率,di'pin'lv
第三类防雷建筑物,di'san'lei'fang'lei'jian'zhu'wu
第一类防雷建筑物,di'yi'lei'fang'lei'jian'zhu'wu
电磁干扰,dian'ci'gan'rao
电磁脉冲,dian'ci'mai'chong
电缆屏蔽层,dian'lan'ping'bi'ceng
电流发生器,dian'liu'fa'sheng'qi
电流分布,dian'liu'fen'bu
电气通路,dian'qi'tong'lu
电视接收天线,dian'shi'jie'shou'tian'xian
电位差,dian'wei'cha
电涌保护器,dian'yong'bao'hu'qi
电涌电压,dian'yong'dian'ya
独立避雷针,du'li'bi'lei'zhen
镀锌钢绞线,du'xin'gang'jiao'xian
镀锌角钢,du'xin'jiao'gang
反射波效应,fan'she'bo'xiao'ying
防雷措施,fang'lei'cuo'shi
防雷电波侵入,fang'lei'dian'bo'qin'ru
防雷电感应,fang'lei'dian'gan'ying
防雷分类,fang'lei'fen'lei
防雷区,fang'lei'qu
防雷设计,fang'lei'she'ji
放散管,fang'san'guan
非金属物体应装接闪器,fei'jin'shu'wu'ti'ying'zhuang'jie'shan'qi
分流系数,fen'liu'xi'shu
负荷侧,fu'he'ce
敷设净距,fu'she'jing'ju
杆塔,gan'ta
感应电压,gan'ying'dian'ya
钢筋表面积总和,gang'jin'biao'mian'ji'zong'he
钢筋网,gang'jin'wang
钢质封闭气罐,gang'zhi'feng'bi'qi'guan
公共建筑物,gong'gong'jian'zhu'wu
共用接地系统,gong'yong'jie'di'xi'tong
共用天线电视接收系统,gong'yong'tian'xian'dian'shi'jie'shou'xi'tong
管帽,guan'mao
滚球半径,gun'qiu'ban'jing
滚球法,gun'qiu'fa
过电压保护器,guo'dian'ya'bao'hu'qi
国际通讯枢纽,guo'ji'tong'xun'shu'niu
国家标准,guo'jia'biao'zhun
国家级计算中心,guo'jia'ji'ji'suan'zhong'xin
国家级重点文物,guo'jia'ji'zhong'dian'wen'wu
后续防雷区,hou'xu'fang'lei'qu
呼吸阀,hu'xi'fa
环形避雷带,huan'xing'bi'lei'dai
环形接地体,huan'xing'jie'di'ti
环形人工基础,huan'xing'ren'gong'ji'chu
击穿强度,ji'chuan'qiang'du
计量仪表,ji'liang'yi'biao
架空避雷网,jia'kong'bi'lei'wang
架空避雷线,jia'kong'bi'lei'xian
建筑物防雷,jian'zhu'wu'fang'lei
建筑物防雷设计规范,jian'zhu'wu'fang'lei'she'ji'gui'fan
建筑物屏蔽,jian'zhu'wu'ping'bi
接地,jie'di
接地电阻,jie'di'dian'zu
接地基准点,jie'di'ji'zhun'dian
接地体,jie'di'ti
接地装置,jie'di'zhuang'zhi
接闪器,jie'shan'qi
金属格栅,jin'shu'ge'shan
金属线槽,jin'shu'xian'cao
静电感应,jing'dian'gan'ying
静电屏蔽物,jing'dian'ping'bi'wu
局部等电位,ju'bu'deng'dian'wei
绝缘被覆层,jue'yuan'bei'fu'ceng
绝缘子铁脚,jue'yuan'zi'tie'jiao
均压环,jun'ya'huan
卡夹器,ka'jia'qi
雷电波,lei'dian'bo
雷电感应,lei'dian'gan'ying
雷电活动规律,lei'dian'huo'dong'gui'lv
雷电流幅值,lei'dian'liu'fu'zhi
雷电事故,lei'dian'shi'gu
雷击电磁脉冲,lei'ji'dian'ci'mai'chong
露天堆场,lu'tian'dui'chang
民用建筑物,min'yong'jian'zhu'wu
排风管,pai'feng'guan
屏蔽措施,ping'bi'cuo'shi
平均雷暴日,ping'jun'lei'bao'ri
人工基础接地体,ren'gong'ji'chu'jie'di'ti
剩余电流保护器,sheng'yu'dian'liu'bao'hu'qi
水平接地体,shui'ping'jie'di'ti
瞬态过电压,shun'tai'guo'dian'ya
天线塔,tian'xian'ta
通风管,tong'feng'guan
投影面积,tou'ying'mian'ji
土壤电阻率,tu'rang'dian'zu'lv
外引颈埋连接板,wai'yin'jing'mai'lian'jie'ban
外引颈埋连接线,wai'yin'jing'mai'lian'jie'xian
网形结构,wang'xing'jie'gou
屋面防雷装置,wu'mian'fang'lei'zhuang'zhi
线间电压,xian'jian'dian'ya
信息系统,xin'xi'xi'tong
星形结构,xing'xing'jie'gou
一次线过流保护设备,yi'ci'xian'guo'liu'bao'hu'she'bei
引下线,yin'xia'xian
油漆保护层,you'qi'bao'hu'ceng
预计雷击次数,yu'ji'lei'ji'ci'shu
直击雷,zhi'ji'lei
自然构件,zi'ran'gou'jian
自然接地,zi'ran'jie'di
自然通风管,zi'ran'tong'feng'guan
最大电涌电压,zui'da'dian'yong'dian'ya
