服摊呗,fu'tan'bei
干馓,gan'san
价得啊里俩,jia'de'a'li'lia
拿把你,na'ba'ni
那美呗,na'mei'bei
你啊里浪去了啊,ni'a'li'lang'qu'le'a
你黑饭吃了没,ni'hei'fan'chi'le'mei
你具撒着,ni'ju'sa'zhe
你早饭吃了没,ni'zao'fan'chi'le'mei
你这个贼骨肚,ni'zhe'ge'zei'gu'du
你这个周石,ni'zhe'ge'zhou'shi
你中午吃了没,ni'zhong'wu'chi'le'mei
破蛋娃,po'dan'wa
饶不饶头不遥,rao'bu'rao'tou'bu'yao
我耍着,wo'shua'zhe
