安身立本,an'shen'li'ben
安熙,an'xi
白鹿洞书院,bai'lu'dong'shu'yuan
白鹿洞书院揭示,bai'lu'dong'shu'yuan'jie'shi
白沙学派,bai'sha'xue'pai
白沙子全集,bai'sha'zi'quan'ji
百姓日用即道,bai'xing'ri'yong'ji'dao
百源学派,bai'yuan'xue'pai
保八,bao'ba
宝峰学派,bao'feng'xue'pai
鲍若雨,bao'ruo'yu
北方学派,bei'fang'xue'pai
北山四先生,bei'shan'si'xian'sheng
北宋五子,bei'song'wu'zi
北溪学派,bei'xi'xue'pai
本堂集,ben'tang'ji
本心,ben'xin
辨惑编,bian'huo'bian
剥落,bo'luo
蔡汝南,cai'ru'nan
蔡沈,cai'shen
蔡幼学,cai'you'xue
蔡渊,cai'yuan
蔡元定,cai'yuan'ding
藏书,cang'shu
曹本荣,cao'ben'rong
曹端,cao'duan
草庐文集,cao'lu'wen'ji
草庐学派,cao'lu'xue'pai
曹续祖,cao'xu'zu
岑士贵,cen'shi'gui
曾开,ceng'kai
曾受一,ceng'shou'yi
查山书堂,cha'shan'shu'tang
陈淳,chen'chun
陈法,chen'fa
陈傅良,chen'fu'liang
陈瑚,chen'hu
陈建,chen'jian
陈澧,chen'li
陈亮,chen'liang
陈麟,chen'lin
陈龙正,chen'long'zheng
陈泌,chen'mi
陈耆卿,chen'qi'qing
陈迁鹤,chen'qian'he
陈确,chen'que
陈深,chen'shen
陈抟,chen'tuan
陈韡,chen'wei
陈献章,chen'xian'zhang
陈襄,chen'xiang
陈埙,chen'xun
陈苑,chen'yuan
陈真晟,chen'zhen'sheng
陈埴,chen'zhi
陈著,chen'zhu
诚,cheng
成德为行,cheng'de'wei'xing
程董二先生学则,cheng'dong'er'xian'sheng'xue'ze
程端礼,cheng'duan'li
程端蒙,cheng'duan'meng
程逢午,cheng'feng'wu
程复心,cheng'fu'xin
程颢,cheng'hao
程蒞,cheng'li
程龙,cheng'long
程门立雪,cheng'men'li'xue
程门四大弟子,cheng'men'si'da'di'zi
程荣秀,cheng'rong'xiu
成孺,cheng'ru
程若庸,cheng'ruo'yong
程廷祚,cheng'ting'zuo
程曈,cheng'tong
程文海,cheng'wen'hai
程显道,cheng'xian'dao
程珦,cheng'xiang
程瑶田,cheng'yao'tian
程颐,cheng'yi
诚意伯文集,cheng'yi'bo'wen'ji
诚斋文集,cheng'zhai'wen'ji
诚斋易传,cheng'zhai'yi'chuan
程掌,cheng'zhang
程直方,cheng'zhi'fang
程朱故里,cheng'zhu'gu'li
程朱理学,cheng'zhu'li'xue
赤子之心,chi'zi'zhi'xin
重订四书辑释,chong'ding'si'shu'ji'shi
崇仁学派,chong'ren'xue'pai
楚中学派,chu'zhong'xue'pai
船山遗书,chuan'shan'yi'shu
传习录,chuan'xi'lu
春秋传,chun'qiu'chuan
春秋胡传附录纂疏,chun'qiu'hu'chuan'fu'lu'zuan'shu
春秋正传,chun'qiu'zheng'zhuan
春秋尊王发微,chun'qiu'zun'wang'fa'wei
春秋左氏传说,chun'qiu'zuo'shi'zhuan'shuo
慈湖书院,ci'hu'shu'yuan
慈湖学派,ci'hu'xue'pai
慈湖遗书,ci'hu'yi'shu
从静坐中养出端倪来,cong'jing'zuo'zhong'yang'chu'duan'ni'lai
徂徕先生文集,cu'lai'xian'sheng'wen'ji
大学辨,da'xue'bian
大学辨业,da'xue'bian'ye
大学问,da'xue'wen
大学衍义,da'xue'yan'yi
戴表元,dai'biao'yuan
戴述,dai'shu
戴震,dai'zhen
当,dang
党成,dang'cheng
道存乎形器之内,dao'cun'hu'xing'qi'zhi'nei
道器,dao'qi
道统,dao'tong
道统录,dao'tong'lu
道心,dao'xin
道学,dao'xue
道寓于器,dao'yu'yu'qi
道在物中,dao'zai'wu'zhong
德业如形影,de'ye'ru'xing'ying
邓剡,deng'shan
邓以赞,deng'yi'zan
刁包,diao'bao
叠山集,die'shan'ji
叠山书院,die'shan'shu'yuan
定川学派,ding'chuan'xue'pai
定川言行编,ding'chuan'yan'xing'bian
定川遗书,ding'chuan'yi'shu
丁希亮,ding'xi'liang
定性书,ding'xing'shu
丁晏,ding'yan
东发学派,dong'fa'xue'pai
东莱集,dong'lai'ji
东莱学派,dong'lai'xue'pai
东林八君子,dong'lin'ba'jun'zi
东林书院,dong'lin'shu'yuan
东林学派,dong'lin'xue'pai
东南三贤,dong'nan'san'xian
东南邹鲁,dong'nan'zou'lu
东山精舍,dong'shan'jing'she
东西均,dong'xi'jun
东岩集,dong'yan'ji
董沄,dong'yun
窦克勤,dou'ke'qin
窦默,dou'mo
读书分年日程,du'shu'fen'nian'ri'cheng
读书录,du'shu'lu
读四书大全说,du'si'shu'da'quan'shuo
读通鉴论,du'tong'jian'lun
杜洲书院,du'zhou'shu'yuan
段坚,duan'jian
鹅湖之会,e'hu'zhi'hui
二程,er'cheng
二程集,er'cheng'ji
二程全书,er'cheng'quan'shu
二孟,er'meng
二曲集,er'qu'ji
法坤宏,fa'kun'hong
发明本心,fa'ming'ben'xin
范镐鼎,fan'gao'ding
反求吾心,fan'qiu'wu'xin
反求诸心,fan'qiu'zhu'xin
范泰衡,fan'tai'heng
范准,fan'zhun
范祖幹,fan'zu'gan
范祖禹,fan'zu'yu
方苞,fang'bao
方垌,fang'dong
方东树,fang'dong'shu
方凤,fang'feng
方迈,fang'mai
方孝孺,fang'xiao'ru
方学渐,fang'xue'jian
方以智,fang'yi'zhi
方宗诚,fang'zong'cheng
费密,fei'mi
焚书,fen'shu
冯从吾,feng'cong'wu
傅耆,fu'qi
傅山,fu'shan
复性书,fu'xing'shu
浮沚集,fu'zhi'ji
浮沚书院,fu'zhi'shu'yuan
甘泉先生文集,gan'quan'xian'sheng'wen'ji
甘泉学派,gan'quan'xue'pai
感应之几,gan'ying'zhi'ji
高崇,gao'chong
高定子,gao'ding'zi
高拱,gao'gong
高稼,gao'jia
高攀龙,gao'pan'long
高斯得,gao'si'de
高愈,gao'yu
高载,gao'zai
高子遗书,gao'zi'yi'shu
葛洪,ge'hong
格物,ge'wu
格物致知,ge'wu'zhi'zhi
格心,ge'xin
格心正己,ge'xin'zheng'ji
给事集,gei'shi'ji
耿定理,geng'ding'li
耿定向,geng'ding'xiang
耿介,geng'jie
耿橘,geng'ju
巩丰,gong'feng
巩嵘,gong'rong
弓矢从的,gong'shi'cong'de
躬行践履,gong'xing'jian'lv
顾栋高,gu'dong'gao
古今纪要,gu'jin'ji'yao
顾亭林诗文集,gu'ting'lin'shi'wen'ji
顾宪成,gu'xian'cheng
瞽言,gu'yan
顾炎武,gu'yan'wu
顾允成,gu'yun'cheng
管同,guan'tong
官献瑶,guan'xian'yao
关学,guan'xue
管志道,guan'zhi'dao
关中学派,guan'zhong'xue'pai
广平类稿,guang'ping'lei'gao
广平书院,guang'ping'shu'yuan
广平学派,guang'ping'xue'pai
龟山集,gui'shan'ji
龟山学派,gui'shan'xue'pai
癸巳孟子说,gui'si'meng'zi'shuo
桂万荣,gui'wan'rong
桂彦良,gui'yan'liang
郭郛,guo'fu
韩邦奇,han'bang'qi
韩淲,han'biao
韩忼,han'hang
韩孔当,han'kong'dang
寒泉精舍,han'quan'jing'she
汉上学派,han'shang'xue'pai
汉上易传,han'shang'yi'chuan
寒松堂集,han'song'tang'ji
汉学商兑,han'xue'shang'dui
韩愈,han'yu
韩元吉,han'yuan'ji
韩贞,han'zhen
郝经,hao'jing
好恶为性,hao'wu'wei'xing
何大猷,he'da'you
河东学派,he'dong'xue'pai
何基,he'ji
和靖学派,he'jing'xue'pai
何迁,he'qian
贺钦,he'qin
鹤山集,he'shan'ji
鹤山书院,he'shan'shu'yuan
鹤山学派,he'shan'xue'pai
何瑭,he'tang
何祥,he'xiang
何心隐,he'xin'yin
何心隐集,he'xin'yin'ji
衡麓之教,heng'lu'zhi'jiao
横浦心传,heng'pu'xin'chuan
横渠学派,heng'qu'xue'pai
横塘集,heng'tang'ji
弘道书,hong'dao'shu
洪范传,hong'fan'chuan
洪垣,hong'yuan
胡安国,hu'an'guo
胡长孺,hu'chang'ru
胡承诺,hu'cheng'nuo
胡斗元,hu'dou'yuan
胡方,hu'fang
胡翰,hu'han
胡宏,hu'hong
胡九韶,hu'jiu'shao
胡具庆,hu'ju'qing
胡居仁,hu'ju'ren
胡三省,hu'san'sheng
胡师夔,hu'shi'kui
胡宪,hu'xian
胡一桂,hu'yi'gui
胡寅,hu'yin
胡瑗,hu'yuan
胡允,hu'yun
胡直,hu'zhi
胡致堂崇正辩,hu'zhi'tang'chong'zheng'bian
华允成,hua'yun'cheng
淮南格物,huai'nan'ge'wu
槐堂书屋,huai'tang'shu'wu
槐堂诸儒,huai'tang'zhu'ru
黄道周,huang'dao'zhou
黄榦,huang'gan
黄何,huang'he
皇极经世书,huang'ji'jing'shi'shu
黄珏,huang'jue
黄梦干,huang'meng'gan
黄省曾,huang'sheng'ceng
黄氏日抄,huang'shi'ri'chao
黄叔雅,huang'shu'ya
黄叔英,huang'shu'ying
黄绾,huang'wan
黄永年,huang'yong'nian
黄泽,huang'ze
黄震,huang'zhen
黄正孙,huang'zheng'sun
黄智孙,huang'zhi'sun
黄宗羲,huang'zong'xi
黄尊素,huang'zun'su
会,hui
晦庵,hui'an
晦庵书院,hui'an'shu'yuan
晦静学派,hui'jing'xue'pai
火,huo
豁然贯通,huo'ran'guan'tong
季本,ji'ben
济两明一,ji'liang'ming'yi
即器明道,ji'qi'ming'dao
