阿波罗,a'bo'luo
阿曼米黄,a'man'mi'huang
埃及米黄,ai'ji'mi'huang
安大略白,an'da'lue'bai
安德鲁白,an'de'lu'bai
安里丝米黄,an'li'si'mi'huang
安娜米黄,an'na'mi'huang
安溪红,an'xi'hong
安西麻,an'xi'ma
傲花米黄,ao'hua'mi'huang
奥斯丁白麻,ao'si'ding'bai'ma
澳洲沙岩,ao'zhou'sha'yan
巴拉棕,ba'la'zong
巴拿马黑,ba'na'ma'hei
霸王花,ba'wang'hua
巴西黑,ba'xi'hei
巴西红,ba'xi'hong
巴西紫水晶,ba'xi'zi'shui'jing
白宫灰麻,bai'gong'hui'ma
白宫米黄,bai'gong'mi'huang
白海棠,bai'hai'tang
白金麻,bai'jin'ma
白窿石,bai'long'shi
柏森金麻,bai'sen'jin'ma
白砂米黄,bai'sha'mi'huang
白砂石,bai'sha'shi
白水晶,bai'shui'jing
白玉石,bai'yu'shi
白珠白麻,bai'zhu'bai'ma
白珠麻,bai'zhu'ma
斑马红,ban'ma'hong
宝金米黄,bao'jin'mi'huang
宝金石,bao'jin'shi
豹皮花,bao'pi'hua
宝石兰,bao'shi'lan
宝兴白,bao'xing'bai
贝花米黄,bei'hua'mi'huang
北极绿,bei'ji'lv
贝沙金,bei'sha'jin
碧海浪,bi'hai'lang
比图白麻,bi'tu'bai'ma
碧野绿豹,bi'ye'lv'bao
冰岛兰宝,bing'dao'lan'bao
冰花白,bing'hua'bai
冰花灰,bing'hua'hui
冰花米黄,bing'hua'mi'huang
玻丁米黄,bo'ding'mi'huang
博都米黄,bo'dou'mi'huang
博尔斯红,bo'er'si'hong
伯爵黄,bo'jue'huang
伯利黄,bo'li'huang
波斯红,bo'si'hong
布斐高,bu'fei'gao
布什金麻,bu'shi'jin'ma
彩虹沙石,cai'hong'sha'shi
岑溪红,cen'xi'hong
茶花红,cha'hua'hong
超白窿石,chao'bai'long'shi
沉香红,chen'xiang'hong
橙皮红,cheng'pi'hong
橙玉石,cheng'yu'shi
川黑麻,chuan'hei'ma
纯黑麻,chun'hei'ma
大白花,da'bai'hua
大金花,da'jin'hua
帝皇金,di'huang'jin
丁香米黄,ding'xiang'mi'huang
东方白,dong'fang'bai
都伯斯金,dou'bo'si'jin
豆腐花米黄,dou'fu'hua'mi'huang
