哀情吉语本难双,ai'qing'ji'yu'ben'nan'shuang
安得返魂香一缕,an'de'fan'hun'xiang'yi'lv
谙练吏才兵略,an'lian'li'cai'bing'lue
安攘早怀名世界,an'rang'zao'huai'ming'shi'jie
暗用,an'yong
暗约私奔,an'yue'si'ben
凹晶馆联诗悲寂寞,ao'jing'guan'lian'shi'bei'ji'mo
八卦炉中逃大圣,ba'gua'lu'zhong'tao'da'sheng
芭蕉冉冉,ba'jiao'ran'ran
八戒大战流沙河,ba'jie'da'zhan'liu'sha'he
八千里中大星沉,ba'qian'li'zhong'da'xing'chen
八千子弟,ba'qian'zi'di
拔取金钗当酒筹,ba'qu'jin'chai'dang'jiu'chou
八月槎横天上落,ba'yue'cha'heng'tian'shang'luo
八州子弟翘首公归,ba'zhou'zi'di'qiao'shou'gong'gui
白菜满园供祭馔,bai'cai'man'yuan'gong'ji'zhuan
败长平白起坑赵卒,bai'chang'ping'bai'qi'keng'zhao'zu
百尺高楼碧血碑,bai'chi'gao'lou'bi'xue'bei
百代弦歌贯古今,bai'dai'xian'ge'guan'gu'jin
百二甘河,bai'er'gan'he
白龙带伍连遭擒,bai'long'dai'wu'lian'zao'qin
白龙庙英雄小聚义,bai'long'miao'ying'xiong'xiao'ju'yi
白门楼吕布殒命,bai'men'lou'lv'bu'yun'ming
百年缔造,bai'nian'di'zao
百年文献老南村,bai'nian'wen'xian'lao'nan'cun
百泉轩,bai'quan'xuan
败戎兵郑忽辞婚,bai'rong'bing'zheng'hu'ci'hun
百十回,bai'shi'hui
白玉钏亲尝莲叶羹,bai'yu'chuan'qin'chang'lian'ye'geng
百战河山,bai'zhan'he'shan
百战树功名,bai'zhan'shu'gong'ming
拜瞻未遂,bai'zhan'wei'sui
百折不回,bai'zhe'bu'hui
百折终须趋巨海,bai'zhe'zhong'xu'qu'ju'hai
版入戎疆,ban'ru'rong'jiang
半山中八戒争先,ban'shan'zhong'ba'jie'zheng'xian
半学斋,ban'xue'zhai
半夜为何人所刺,ban'ye'wei'he'ren'suo'ci
邦昌假诏害忠良,bang'chang'jia'zhao'hai'zhong'liang
保不定日后作强梁,bao'bu'ding'ri'hou'zuo'qiang'liang
宝钗借扇机带双敲,bao'chai'jie'shan'ji'dai'shuang'qiao
保此人民,bao'ci'ren'min
鲍方祖赠宝破妖人,bao'fang'zu'zeng'bao'po'yao'ren
报父仇曹操兴师,bao'fu'chou'cao'cao'xing'shi
报国家二百年养士之德,bao'guo'jia'er'bai'nian'yang'shi'zhi'de
抱孩童瓶儿希宠,bao'hai'tong'ping'er'xi'chong
抱明月而长终,bao'ming'yue'er'chang'zhong
豹皮常在想英风,bao'pi'chang'zai'xiang'ying'feng
褒人赎罪献美女,bao'ren'shu'zui'xian'mei'nv
报唐璧叔宝让刀,bao'tang'bi'shu'bao'rang'dao
报魏锜养叔献艺,bao'wei'qi'yang'shu'xian'yi
保御驾英雄比武,bao'yu'jia'ying'xiong'bi'wu
豹子头误入白虎堂,bao'zi'tou'wu'ru'bai'hu'tang
悲号惭愧,bei'hao'can'kui
北门锁钥,bei'men'suo'yue
背面敷粉,bei'mian'fu'fen
北阙君恩,bei'que'jun'en
被他偷换绿云绡,bei'ta'tou'huan'lv'yun'xiao
悲远嫁宝玉感离情,bei'yuan'jia'bao'yu'gan'li'qing
奔剑阁张郃中计,ben'jian'ge'zhang'he'zhong'ji
贲四嫂带水战情郎,ben'si'sao'dai'shui'zhan'qing'lang
笔底当插成这般花样,bi'di'dang'cha'cheng'zhe'ban'hua'yang
避繁,bi'fan
闭关种菜,bi'guan'zhong'cai
敝巾旧服,bi'jin'jiu'fu
必利其器,bi'li'qi'qi
避马房侍女偷金,bi'ma'fang'shi'nv'tou'jin
比丘怜子遣阴神,bi'qiu'lian'zi'qian'yin'shen
避世去愁,bi'shi'qu'chou
笔下还随鲁直书,bi'xia'hai'sui'lu'zhi'shu
避嫌隙杜绝宁国府,bi'xian'xi'du'jue'ning'guo'fu
碧眼儿坐领江东,bi'yan'er'zuo'ling'jiang'dong
逼阳城三将斗力,bi'yang'cheng'san'jiang'dou'li
贬恶诛邪,bian'e'zhu'xie
汴京城杨志卖刀,bian'jing'cheng'yang'zhi'mai'dao
贬九成秦桧弄权,bian'jiu'cheng'qin'hui'nong'quan
便觉新添异样香,bian'jue'xin'tian'yi'yang'xiang
遍历艰苦成铁汉,bian'li'jian'ku'cheng'tie'han
遍南朔东西,bian'nan'shuo'dong'xi
变生不测凤姐泼醋,bian'sheng'bu'ce'feng'jie'po'cu
编述,bian'shu
编述历历,bian'shu'li'li
边庭无限新栽柳,bian'ting'wu'xian'xin'zai'liu
便为禽兽,bian'wei'qin'shou
表精忠墓顶加封,biao'jing'zhong'mu'ding'jia'feng
标目,biao'mu
标题诗,biao'ti'shi
宾步程,bin'bu'cheng
冰打琼花昏君扫兴,bing'da'qiong'hua'hun'jun'sao'xing
病关索长街遇石秀,bing'guan'suo'chang'jie'yu'shi'xiu
病关索大闹翠屏山,bing'guan'suo'da'nao'cui'ping'shan
炳灵,bing'ling
冰岭西来,bing'ling'xi'lai
病容愈觉胜桃花,bing'rong'yu'jue'sheng'tao'hua
病神瑛泪洒相思地,bing'shen'ying'lei'sa'xiang'si'di
并为勋臣,bing'wei'xun'chen
病潇湘痴魂惊恶梦,bing'xiao'xiang'chi'hun'jing'e'meng
波澄闽海,bo'cheng'min'hai
伯当偷盗呼雷豹,bo'dang'tou'dao'hu'lei'bao
博得多情一转眸,bo'de'duo'qing'yi'zhuan'mou
薄命女偏逢薄命郎,bo'ming'nv'pian'feng'bo'ming'lang
薄田朽屋,bo'tian'xiu'wu
博庭欢宝玉赞孤儿,bo'ting'huan'bao'yu'zan'gu'er
博望坡军师初用兵,bo'wang'po'jun'shi'chu'yong'bing
跛足蓬头,bo'zu'peng'tou
布帛菽粟,bu'bo'shu'su
布帛之文,bu'bo'zhi'wen
簿籍,bu'ji
不记金钗正幅图,bu'ji'jin'chai'zheng'fu'tu
不尽相同,bu'jin'xiang'tong
不了情暂撮土为香,bu'liao'qing'zan'cuo'tu'wei'xiang
不谋全局者不足以谋一域,bu'mou'quan'ju'zhe'bu'zu'yi'mou'yi'yu
不谋万世者不足以谋一时,bu'mou'wan'shi'zhe'bu'zu'yi'mou'yi'shi
不求温饱是真儒,bu'qiu'wen'bao'shi'zhen'ru
补缺,bu'que
不如归去,bu'ru'gui'qu
不识多人何处游,bu'shi'duo'ren'he'chu'you
不似小家拘束态,bu'si'xiao'jia'ju'shu'tai
补天济世之材,bu'tian'ji'shi'zhi'cai
不为识字,bu'wei'shi'zi
不为子路何由见,bu'wei'zi'lu'he'you'jian
不肖种种大承苔挞,bu'xiao'zhong'zhong'da'cheng'tai'ta
布疑阵宝玉妄谈禅,bu'yi'zhen'bao'yu'wang'tan'chan
不有先觉,bu'you'xian'jue
不语不笑能留人,bu'yu'bu'xiao'neng'liu'ren
不怨不尤,bu'yuan'bu'you
卜周易管辂知机,bu'zhou'yi'guan'lu'zhi'ji
蔡夫人隔屏听密语,cai'fu'ren'ge'ping'ting'mi'yu
蔡夫人议献荆州,cai'fu'ren'yi'xian'jing'zhou
蔡和森,cai'he'sen
才人淑女,cai'ren'shu'nv
蔡太师擅恩锡爵,cai'tai'shi'shan'en'xi'jue
才亦须世,cai'yi'xu'shi
蔡昭侯纳质乞吴师,cai'zhao'hou'na'zhi'qi'wu'shi
蔡状元留饮借盘缠,cai'zhuang'yuan'liu'yin'jie'pan'chan
惭愧当年石季伦,can'kui'dang'nian'shi'ji'lun
参社火公子丧身,can'she'huo'gong'zi'sang'shen
藏之名山,cang'zhi'ming'shan
曹阿瞒兵退斜谷,cao'a'man'bing'tui'xie'gu
曹阿瞒割须弃袍,cao'a'man'ge'xu'qi'pao
曹阿瞒许田打围,cao'a'man'xu'tian'da'wei
曹操仓亭破本初,cao'cao'cang'ting'po'ben'chu
曹操大宴铜雀台,cao'cao'da'yan'tong'que'tai
曹操抹书间韩遂,cao'cao'mo'shu'jian'han'sui
曹操平定汉中地,cao'cao'ping'ding'han'zhong'di
曹操煮酒论英雄,cao'cao'zhu'jiu'lun'ying'xiong
草里蛇逻打蒋竹山,cao'li'she'luo'da'jiang'zhu'shan
草庐我也过来人,cao'lu'wo'ye'guo'lai'ren
草庐我亦过来人,cao'lu'wo'yi'guo'lai'ren
曹髦驱车死南阙,cao'mao'qu'che'si'nan'que
曹孟德败师,cao'meng'de'bai'shi
曹孟德大战吕布,cao'meng'de'da'zhan'lv'bu
曹孟德会合三将,cao'meng'de'hui'he'san'jiang
曹孟德移驾幸许都,cao'meng'de'yi'jia'xing'xu'dou
曹沫手剑劫齐侯,cao'mo'shou'jian'jie'qi'hou
草木集,cao'mu'ji
曹丕乘乱纳甄氏,cao'pi'cheng'luan'na'zhen'shi
曹丕废帝篡炎刘,cao'pi'fei'di'cuan'yan'liu
曹仁大战东吴兵,cao'ren'da'zhan'dong'wu'bing
曹荣降贼献黄河,cao'rong'jiang'zei'xian'huang'he
草蛇灰线,cao'she'hui'xian
草野望之若时雨,cao'ye'wang'zhi'ruo'shi'yu
侧批,ce'pi
