板南線,ban'nan'xian
板橋,ban'qiao
板橋線,ban'qiao'xian
板新,ban'xin
寶斗厝,bao'dou'cuo
褒子寮,bao'zi'liao
北環段,bei'huan'duan
北門,bei'men
北投,bei'tou
北投空中纜車,bei'tou'kong'zhong'lan'ju
碧湖公園,bi'hu'gong'yuan
濱江國中,bin'jiang'guo'zhong
菜寮,cai'liao
大安,da'an
大安森林公園,da'an'sen'lin'gong'yuan
大湖公園,da'hu'gong'yuan
大坪林,da'ping'lin
大橋國小,da'qiao'guo'xiao
大橋頭,da'qiao'tou
大直,da'zhi
丹鳳,dan'feng
淡水,dan'shui
淡水線,dan'shui'xian
德明科大,de'ming'ke'da
得和,dei'he
頂東勢,ding'dong'shi
頂埔,ding'pu
頂溪,ding'xi
東湖,dong'hu
東環段,dong'huan'duan
東門,dong'men
動物園,dong'wu'yuan
分子尾,fen'zi'wei
輔大,fu'da
福德洋,fu'de'yang
福和,fu'he
復興崗,fu'xing'gang
府中,fu'zhong
港墘,gang'qian
公館,gong'guan
工商展覽中心,gong'shang'zhan'lan'zhong'xin
紅樹林,gong'shu'lin
紅線,gong'xian
溝子口,gou'zi'kou
故宮,gu'gong
古亭,gu'ting
關渡,guan'du
國父紀念館,guo'fu'ji'nian'guan
海山,hai'shan
河濱高中,he'bin'gao'zhong
後山埤,hou'shan'pi
葫洲,hu'zhou
華中橋,hua'zhong'qiao
環狀線,huan'zhuang'xian
黃線,huang'xian
迴龍,hui'long
監理處,jian'li'chu
劍南路,jian'nan'lu
劍潭,jian'tan
江子翠,jiang'zi'cui
景安,jing'an
景美,jing'mei
景平,jing'ping
舊里族,jiu'li'zu
橘線,ju'xian
考試院,kao'shi'yuan
科技大樓,ke'ji'da'lou
空中大學,kong'zhong'da'xue
昆陽,kun'yang
藍海線,lan'hai'xian
藍線,lan'xian
麟光,lin'guang
林家花園,lin'jia'hua'yuan
林子口,lin'zi'kou
六張犁,liu'zhang'li
龍安陂,long'an'bei
龍山寺,long'shan'si
蘆洲,lu'zhou
蘆洲李宅,lu'zhou'li'zhai
蘆洲線,lu'zhou'xian
綠山線,lv'shan'xian
綠線,lv'xian
馬明潭,ma'ming'tan
貓空纜車,mao'kong'lan'ju
美麗華,mei'li'hua
民權西路,min'quan'xi'lu
民生汐止線,min'sheng'xi'zhi'xian
明德,ming'de
木南公園,mu'nan'gong'yuan
木柵,mu'zha
木柵國小,mu'zha'guo'xiao
木柵新站,mu'zha'xin'zhan
南北線,nan'bei'xian
南港,nan'gang
