奔儿喽,ben'er'lou
屄兜油子,bi'dou'you'zi
憋屈,bie'qu
不待要,bu'dai'yao
不净眼,bu'jing'yan
卜榔,bu'lang
不鸟,bu'niao
藏老煤,cang'lao'mei
瞅摸,chou'mo
杵倒,chu'dao
杵溜,chu'liu
搓火,cuo'huo
淡求似,dan'qiu'si
叨喇,dao'la
二个蛋,er'ge'dan
二寡,er'gua
二老板,er'lao'ban
妨祖,fang'zu
妨祖疙蛋,fang'zu'ge'dan
割草,ge'cao
各蹭,ge'ceng
圪铲,ge'chan
各抽吧蛋,ge'chou'ba'dan
圪杵,ge'chu
圪呲,ge'ci
圪嗒,ge'da
疙瘩,ge'da
圪蛋,ge'dan
疙蛋,ge'dan
圪捣,ge'dao
圪搅,ge'jiao
圪纠,ge'jiu
圪唠唠,ge'lao'lao
圪撂,ge'liao
圪料,ge'liao
圪溜,ge'liu
疙泡,ge'pao
圪膝盖,ge'xi'gai
圪影,ge'ying
膈应,ge'ying
寡屄,gua'bi
寡撇,gua'pie
寡臊,gua'sao
鬼出溜皮,gui'chu'liu'pi
鬼嚼,gui'jiao
鬼迷溜眼,gui'mi'liu'yan
和拉拉,he'la'la
黑老哇,hei'lao'wa
红麻不溜,hong'ma'bu'liu
后生,hou'sheng
胡麻擦,hu'ma'ca
欢欢儿的,huan'huan'er'de
灰迷处眼,hui'mi'chu'yan
家巴子,jia'ba'zi
蹶板子,jue'ban'zi
砍货,kan'huo
抗硬,kang'ying
坷梁,ke'liang
瞌睡马趴,ke'shui'ma'pa
拉干,la'gan
烈着了,lie'zhe'le
挛不成,luan'bu'cheng
挛成,luan'cheng
挛甚,luan'shen
麻烦,ma'fan
猫两眼,mao'liang'yan
猫瞭,mao'liao
迷杏眼,mi'xing'yan
乃比个菜,nai'bi'ge'cai
难活,nan'huo
闹不机密,nao'bu'ji'mi
呢还是,ne'hai'shi
能带,neng'dai
能带呼处,neng'dai'hu'chu
撇了,pie'le
撇面,pie'mian
撇灭,pie'mie
日哄,ri'hong
如何把戏,ru'he'ba'xi
软机个能,ruan'ji'ge'neng
闪深踏浅,shan'shen'ta'qian
省得,sheng'de
怂货,song'huo
遢儿咪,ta'er'mi
停停儿的,ting'ting'er'de
头苦,tou'ku
偷巧悄,tou'qiao'qiao
歪三扎楞,wai'san'zha'leng
袭人,xi'ren
稀松忑拉,xi'song'te'la
呀呀,ya'ya
夜儿个,ye'er'ge
耶耶,ye'ye
一个堵,yi'ge'du
一嚄,yi'huo
胰子,yi'zi
咋呀哇,za'ya'wa
咋也,za'ye
栽迷溜眼,zai'mi'liu'yan
整搓,zheng'cuo
作甚,zuo'shen
