安全灯煤矿,an'quan'deng'mei'kuang
安全绳,an'quan'sheng
凹地,ao'di
白土,bai'tu
摆线齿轮,bai'xian'chi'lun
摆旋扇风机,bai'xuan'shan'feng'ji
瓣阀,ban'fa
半无烟煤,ban'wu'yan'mei
刨煤镐,bao'mei'gao
刨煤机,bao'mei'ji
刨煤机回采,bao'mei'ji'hui'cai
爆破漏斗半径,bao'po'lou'dou'ban'jing
爆破漏斗试验,bao'po'lou'dou'shi'yan
爆破漏斗指数,bao'po'lou'dou'zhi'shu
爆破网路试验,bao'po'wang'lu'shi'yan
爆破震动,bao'po'zhen'dong
包装药卷,bao'zhuang'yao'juan
钡长石,bei'chang'shi
本体灰分,ben'ti'hui'fen
崩落开采法,beng'luo'kai'cai'fa
崩落区,beng'luo'qu
闭合拱,bi'he'gong
比例尺,bi'li'chi
闭路,bi'lu
闭路破碎,bi'lu'po'sui
变流电隶感器,bian'liu'dian'li'gan'qi
变速器,bian'su'qi
表层,biao'ceng
表面硬化,biao'mian'ying'hua
并行平巷,bing'xing'ping'xiang
剥离厚度,bo'li'hou'du
剥离系数,bo'li'xi'shu
补偿部件,bu'chang'bu'jian
捕车器,bu'che'qi
布卷尺,bu'juan'chi
捕收剂,bu'shou'ji
捕收剂薄膜,bu'shou'ji'bao'mo
捕捉器,bu'zhuo'qi
采矿工程师,cai'kuang'gong'cheng'shi
采煤,cai'mei
采煤工,cai'mei'gong
采煤工祖,cai'mei'gong'zu
采粘土场,cai'nian'tu'chang
采油管,cai'you'guan
槽形钢拱,cao'xing'gang'gong
操纵按钮,cao'zong'an'niu
测隙规,ce'xi'gui
铲煤机,chan'mei'ji
车钩,che'gou
车库,che'ku
车辆复轨器,che'liang'fu'gui'qi
车列,che'lie
车身,che'shen
撤退信号,che'tui'xin'hao
沉箱,chen'xiang
沉箱病,chen'xiang'bing
沉箱基础,chen'xiang'ji'chu
成本分析,cheng'ben'fen'xi
澄水,cheng'shui
冲唤截煤机,chong'huan'jie'mei'ji
充填开采,chong'tian'kai'cai
稠度计,chou'du'ji
稠度试验,chou'du'shi'yan
出风筒,chu'feng'tong
储量计算,chu'liang'ji'suan
出煤量,chu'mei'liang
粗充填料,cu'chong'tian'liao
粗矿石,cu'kuang'shi
粗砾,cu'li
粗粒,cu'li
粗粒砂,cu'li'sha
