啊得,a'de
阿姆了,a'mu'le
半念汉,ban'nian'han
北辰市场,bei'chen'shi'chang
北关十字,bei'guan'shi'zi
北站,bei'zhan
曹家坪,cao'jia'ping
长虹出租,chang'hong'chu'zu
东站,dong'zhan
二甲滩,er'jia'tan
干散,gan'san
干早,gan'zao
挂板,gua'ban
哈得,ha'de
哈孙,ha'sun
胡度,hu'du
加佳,jia'jia
浆水饭,jiang'shui'fan
姜维墩,jiang'wei'dun
椒山,jiao'shan
搅团,jiao'tuan
金泽,jin'ze
客都超市,ke'dou'chao'shi
浪走,lang'zou
老西街,lao'xi'jie
联手,lian'shou
临洮二中,lin'tao'er'zhong
临洮一中,lin'tao'yi'zhong
马家窑,ma'jia'yao
马衔山,ma'xian'shan
明德中学,ming'de'zhong'xue
木厂,mu'chang
牡丹节,mu'dan'jie
难答整,nan'da'zheng
南街口,nan'jie'kou
南苑市场,nan'yuan'shi'chang
南站,nan'zhan
皮强,pi'qiang
片传,pian'chuan
谝传,pian'chuan
奇乐超市,qi'le'chao'shi
攘欠,rang'qian
日念罐罐,ri'nian'guan'guan
瑞信路,rui'xin'lu
散饭,san'fan
水车园,shui'che'yuan
死狗,si'gou
抬杠,tai'gang
桃河大桥,tao'he'da'qiao
洮河沿,tao'he'yan
洮水明珠,tao'shui'ming'zhu
洮阳中学,tao'yang'zhong'xue
同心阁,tong'xin'ge
文峰中学,wen'feng'zhong'xue
五洲超市,wu'zhou'chao'shi
西湖公园,xi'hu'gong'yuan
西坪山,xi'ping'shan
西桥头,xi'qiao'tou
显能,xian'neng
线市街,xian'shi'jie
县医院,xian'yi'yuan
秀蛋,xiu'dan
秀水园,xiu'shui'yuan
洋板,yang'ban
阳光家园,yang'guang'jia'yuan
渝友出租,yu'you'chu'zu
岳麓山,yue'lu'shan
在阿达呢,zai'a'da'ne
在务达呢,zai'wu'da'ni
攒劲,zan'jin
纸坊坡,zhi'fang'po
中医院,zhong'yi'yuan
主尤,zhu'you
紫竹院,zi'zhu'yuan
