安和小学,an'he'xiao'xue
安坑,an'keng
澳底,ao'di
八里,ba'li
百福桥,bai'fu'qiao
白鸡,bai'ji
百视达,bai'shi'da
白云山庄,bai'yun'shan'zhuang
板桥高中,ban'qiao'gao'zhong
板桥市,ban'qiao'shi
宝藏寺,bao'zang'si
北区运动场,bei'qu'yun'dong'chang
北新庄,bei'xin'zhuang
碧湖,bi'hu
变电所,bian'dian'suo
博爱桥,bo'ai'qiao
玻璃厂,bo'li'chang
财产局,cai'chan'ju
草里村,cao'li'cun
插角,cha'jiao
长安桥,chang'an'qiao
成功市场,cheng'gong'shi'chang
崇光女中,chong'guang'nv'zhong
重新市场,chong'xin'shi'chang
大汉市场,da'han'shi'chang
大鹤,da'he
大湖,da'hu
大湖新村,da'hu'xin'cun
大华桥,da'hua'qiao
大坑,da'keng
大坪,da'ping
大同公园,da'tong'gong'yuan
大同派出所,da'tong'pai'chu'suo
大新医院,da'xin'yi'yuan
大兴工业区,da'xing'gong'ye'qu
大宇公司,da'yu'gong'si
大宇汽车,da'yu'qi'che
淡水大桥,dan'shui'da'qiao
淡水河,dan'shui'he
淡水镇,dan'shui'zhen
登山协会,deng'shan'xie'hui
地方法院,di'fang'fa'yuan
地藏庵,di'zang'an
电线电缆公司,dian'xian'dian'lan'gong'si
电信局,dian'xin'ju
顶福,ding'fu
顶福村,ding'fu'cun
顶寮,ding'liao
东海中学,dong'hai'zhong'xue
动物医院,dong'wu'yi'yuan
东眼,dong'yan
二重,er'chong
儿童游乐场,er'tong'you'le'chang
翡翠大厦,fei'cui'da'sha
枫子林,feng'zi'lin
福安宫,fu'an'gong
富国社区,fu'guo'she'qu
福隆,fu'long
辅仁大学,fu'ren'da'xue
福瑞宫,fu'rui'gong
福山,fu'shan
柑园里,gan'yuan'li
格致中学,ge'zhi'zhong'xue
公共卫生研究所,gong'gong'wei'sheng'yan'jiu'suo
贡寮,gong'liao
功学社,gong'xue'she
关渡大桥,guan'du'da'qiao
观音村,guan'yin'cun
观音山,guan'yin'shan
光复桥,guang'fu'qiao
光华派出所,guang'hua'pai'chu'suo
光明市场,guang'ming'shi'chang
桂安,gui'an
贵子村,gui'zi'cun
果菜批发市场,guo'cai'pi'fa'shi'chang
果菜市场,guo'cai'shi'chang
国光客运,guo'guang'ke'yun
国际百货,guo'ji'bai'huo
国立艺术大学,guo'li'yi'shu'da'xue
哈盆,ha'pen
海港大楼,hai'gang'da'lou
海尾村,hai'wei'cun
海洋大学,hai'yang'da'xue
和平公园,he'ping'gong'yuan
宏昌汽车,hong'chang'qi'che
虎仔山,hu'zai'shan
华江医院,hua'jiang'yi'yuan
华夏技术学校,hua'xia'ji'shu'xue'xiao
华阳食品,hua'yang'shi'pin
华中汽车,hua'zhong'qi'che
环保局,huan'bao'ju
环球购物中心,huan'qiu'gou'wu'zhong'xin
黄昏市场,huang'hun'shi'chang
基隆市,ji'long'shi
吉野家,ji'ye'jia
家乐福,jia'le'fu
家乐福广场,jia'le'fu'guang'chang
简易法庭,jian'yi'fa'ting
江子翠,jiang'zi'cui
交通警察局,jiao'tong'jing'cha'ju
金瓜石,jin'gua'shi
金龙湖,jin'long'hu
金敏,jin'min
金山,jin'shan
金山禅寺,jin'shan'chan'si
旧社,jiu'she
凯旋门,kai'xuan'men
空间大厦,kong'jian'da'sha
老梅村,lao'mei'cun
林家花园,lin'jia'hua'yuan
林口,lin'kou
六分子,liu'fen'zi
龙凤公园,long'feng'gong'yuan
六合桥,lu'he'qiao
芦洲,lu'zhou
马山,ma'shan
马偕医院,ma'xie'yi'yuan
妈祖庙,ma'zu'miao
茂林,mao'lin
玫瑰公园,mei'gui'gong'yuan
梅花湖,mei'hua'hu
米仓,mi'cang
明德山庄,ming'de'shan'zhuang
名仕大厦,ming'shi'da'sha
牡丹村,mu'dan'cun
木业公司,mu'ye'gong'si
南势村,nan'shi'cun
南势角,nan'shi'jiao
内寮,nei'liao
农业气象站,nong'ye'qi'xiang'zhan
暖暖,nuan'nuan
平广,ping'guang
坪林,ping'lin
坪溪,ping'xi
平溪,ping'xi
埔尾,pu'wei
汽车教练场,qi'che'jiao'lian'chang
七堵,qi'du
七贤桥,qi'xian'qiao
桥头子,qiao'tou'zi
青年公园,qing'nian'gong'yuan
情人湖,qing'ren'hu
清水村,qing'shui'cun
清水派出所,qing'shui'pai'chu'suo
瑞芳镇,rui'fang'zhen
三叉港,san'cha'gang
三城,san'cheng
三重市,san'chong'shi
三民中学,san'min'zhong'xue
三峡镇,san'xia'zhen
三芝,san'zhi
山子顶,shan'zi'ding
深坑,shen'keng
神农庙,shen'nong'miao
石槽,shi'cao
石槽村,shi'cao'cun
石雕公园,shi'diao'gong'yuan
石碇,shi'ding
十份,shi'fen
市立体育馆,shi'li'ti'yu'guan
市立图书馆,shi'li'tu'shu'guan
石门,shi'men
石牌,shi'pai
市议会,shi'yi'hui
树林市,shu'lin'shi
树林镇,shu'lin'zhen
双溪,shuang'xi
税捐处,shui'juan'chu
水尾,shui'wei
四股,si'gu
四脚亭,si'jiao'ting
思贤公园,si'xian'gong'yuan
台北大桥,tai'bei'da'qiao
台北县,tai'bei'xian
台北县政府,tai'bei'xian'zheng'fu
台电公司,tai'dian'gong'si
太平洋百货,tai'ping'yang'bai'huo
太子汽车,tai'zi'qi'che
田心子,tian'xin'zi
跳石村,tiao'shi'cun
土城,tu'cheng
土城工业区,tu'cheng'gong'ye'qu
土城市,tu'cheng'shi
万里,wan'li
万寿宫,wan'shou'gong
文园,wen'yuan
蚊子坑,wen'zi'keng
卧龙山,wo'long'shan
五福桥,wu'fu'qiao
五股,wu'gu
五股工业区,wu'gu'gong'ye'qu
五号公园,wu'hao'gong'yuan
乌来,wu'lai
五寮,wu'liao
污水处理池,wu'shui'chu'li'chi
溪北,xi'bei
溪底,xi'di
西山里,xi'shan'li
汐止市,xi'zhi'shi
汐止镇,xi'zhi'zhen
下福,xia'fu
仙洞,xian'dong
先天宫,xian'tian'gong
县议会,xian'yi'hui
香兰,xiang'lan
向天池,xiang'tian'chi
消防小队,xiao'fang'xiao'dui
孝义村,xiao'yi'cun
新店高中,xin'dian'gao'zhong
新店市,xin'dian'shi
新东阳,xin'dong'yang
新海派出所,xin'hai'pai'chu'suo
新寮,xin'liao
新龙新村,xin'long'xin'cun
新浦市场,xin'pu'shi'chang
信义市场,xin'yi'shi'chang
新竹货运,xin'zhu'huo'yun
新庄高中,xin'zhuang'gao'zhong
新庄市,xin'zhuang'shi
兴华公园,xing'hua'gong'yuan
熊空,xiong'kong
秀峰中学,xiu'feng'zhong'xue
秀山公园,xiu'shan'gong'yuan
秀山市场,xiu'shan'shi'chang
亚东技术学院,ya'dong'ji'shu'xue'yuan
亚东医院,ya'dong'yi'yuan
瑶池宫,yao'chi'gong
益民医院,yi'min'yi'yuan
印书馆,yin'shu'guan
莺歌镇,ying'ge'zhen
永丰公园,yong'feng'gong'yuan
永福大桥,yong'fu'da'qiao
永福岩,yong'fu'yan
永和市,yong'he'shi
永平中学,yong'ping'zhong'xue
远东百货,yuan'dong'bai'huo
樟树湾,zhang'shu'wan
镇公所,zhen'gong'suo
振兴医院,zhen'xing'yi'yuan
指南客运,zhi'nan'ke'yun
中国货柜,zhong'guo'huo'gui
中和高中,zhong'he'gao'zhong
中和市,zhong'he'shi
中华宾士,zhong'hua'bin'shi
中华电信,zhong'hua'dian'xin
中华公园,zhong'hua'gong'yuan
中华市场,zhong'hua'shi'chang
中华中学,zhong'hua'zhong'xue
中街,zhong'jie
忠烈祠,zhong'lie'ci
中山公园,zhong'shan'gong'yuan
中山国小,zhong'shan'guo'xiao
中山国中,zhong'shan'guo'zhong
中山区,zhong'shan'qu
中山医院,zhong'shan'yi'yuan
中溪,zhong'xi
中兴大桥,zhong'xing'da'qiao
中兴医院,zhong'xing'yi'yuan
中央信托局,zhong'yang'xin'tuo'ju
中正公园,zhong'zheng'gong'yuan
中正国小,zhong'zheng'guo'xiao
中正桥,zhong'zheng'qiao
庄敬高中,zhuang'jing'gao'zhong
自来水加压站,zi'lai'shui'jia'ya'zhan
自由桥,zi'you'qiao
