比较法,bi'jiao'fa
比列尺度,bi'lie'chi'du
变量,bian'liang
编码,bian'ma
辨明模式,bian'ming'mo'shi
边缘次数分布,bian'yuan'ci'shu'fen'bu
表面效度,biao'mian'xiao'du
波普尔,bo'pu'er
不对称关系,bu'dui'chen'guan'xi
操作化,cao'zuo'hua
测量层次,ce'liang'ceng'ci
测量尺度,ce'liang'chi'du
测量指标,ce'liang'zhi'biao
层次谬误,ceng'ci'miu'wu
差异法,cha'yi'fa
阐明模式,chan'ming'mo'shi
长条图,chang'tiao'tu
重测信度,chong'ce'xin'du
抽象定义,chou'xiang'ding'yi
抽样调查,chou'yang'diao'cha
抽样方案,chou'yang'fang'an
抽样框,chou'yang'kuang
春田调查,chun'tian'diao'cha
刺激,ci'ji
次数分布,ci'shu'fen'bu
大前提,da'qian'ti
档案资料,dang'an'zi'liao
等级尺度,deng'ji'chi'du
等距尺度,deng'ju'chi'du
等量集体抽样,deng'liang'ji'ti'chou'yang
典型相关,dian'xing'xiang'guan
定比尺度,ding'bi'chi'du
定距变项,ding'ju'bian'xiang
定距尺度,ding'ju'chi'du
定类尺度,ding'lei'chi'du
定理,ding'li
定量方法,ding'liang'fang'fa
定性方法,ding'xing'fang'fa
定序尺度,ding'xu'chi'du
独立效果,du'li'xiao'guo
对数比率,dui'shu'bi'lv
对数比率回归,dui'shu'bi'lv'hui'gui
对数拟然率比卡方,dui'shu'ni'ran'lv'bi'ka'fang
对数线性模式,dui'shu'xian'xing'mo'shi
多变项分析,duo'bian'xiang'fen'xi
多度空间,duo'du'kong'jian
多段抽样,duo'duan'chou'yang
多峰曲线,duo'feng'qu'xian
堕后分析,duo'hou'fen'xi
多相对数比率回归,duo'xiang'dui'shu'bi'lv'hui'gui
多序相关系数,duo'xu'xiang'guan'xi'shu
多因分类分析,duo'yin'fen'lei'fen'xi
多因共线性,duo'yin'gong'xian'xing
多因素解释,duo'yin'su'jie'shi
多因线性回归,duo'yin'xian'xing'hui'gui
多元分析,duo'yuan'fen'xi
二项分布,er'xiang'fen'bu
发生学解释,fa'sheng'xue'jie'shi
范式,fan'shi
反实证主义,fan'shi'zheng'zhu'yi
方差分析,fang'cha'fen'xi
方法论,fang'fa'lun
访问法,fang'wen'fa
访问提纲,fang'wen'ti'gang
非实体概念,fei'shi'ti'gai'nian
费希尔的精确检定,fei'xi'er'de'jing'que'jian'ding
分别决定系数,fen'bie'jue'ding'xi'shu
分析单位,fen'xi'dan'wei
分析理论,fen'xi'li'lun
分组资料,fen'zu'zi'liao
否定域,fou'ding'yu
复本信度,fu'ben'xin'du
复相关,fu'xiang'guan
概念,gai'nian
个案调查,ge'an'diao'cha
个案研究,ge'an'yan'jiu
个案研究法,ge'an'yan'jiu'fa
个体变项,ge'ti'bian'xiang
个性解释,ge'xing'jie'shi
共变法,gong'bian'fa
共变关系,gong'bian'guan'xi
共变效度,gong'bian'xiao'du
公理,gong'li
共量,gong'liang
功能分析法,gong'neng'fen'xi'fa
功能解释,gong'neng'jie'shi
