吃朝,chi'chao
吃夜,chi'ye
打的,da'di
搭公零,da'gong'ling
得啰,de'luo
睇得下,di'dei'xia
叼勒,diao'le
甘绝杀得,gan'jue'sha'de
甘绝爽,gan'jue'shuang
甘杀得,gan'sha'de
灰老鼠,hui'lao'shu
凯弟,kai'di
冇办法,mao'ban'fa
冇得倾,mao'de'qing
冇识,mao'shi
冇有,mao'you
蒙个,meng'ge
去色呢,qu'se'ne
神个,shen'ge
神经嗨,shen'jing'hai
实石,shi'shi
物层,wu'ceng
有饮物,you'yin'wu
