鲅鱼,ba'yu
半月,ban'yue
北条楼,bei'tiao'lou
北条美代子,bei'tiao'mei'dai'zi
伯劳屋,bo'lao'wu
布雷斯鸡,bu'lei'si'ji
不笑的厨师,bu'xiao'de'chu'shi
才波城一郎,cai'bo'cheng'yi'lang
仓濑真由美,cang'lai'zhen'you'mei
插班生,cha'ban'sheng
赤崎千夏,chi'qi'qian'xia
川澄绫子,chuan'cheng'ling'zi
川岛丽,chuan'dao'li
川田绅司,chuan'tian'shen'si
创真,chuang'zhen
村田太志,cun'tian'tai'zhi
大西沙织,da'xi'sha'zhi
大御堂文绪,da'yu'tang'wen'xu
的克鲁波克鲁,de'ke'lu'bo'ke'lu
的魔术师,de'mo'shu'shi
吊切,diao'qie
定食屋,ding'shi'wu
东北的跃兔,dong'bei'de'yue'tu
兜档布,dou'dang'bu
炖煮类料理,dun'zhu'lei'liao'li
多纳托梧桐田,duo'na'tuo'wu'tong'tian
发酵屋本铺,fa'jiao'wu'ben'pu
绯沙子,fei'sha'zi
分子美食学的神之子,fen'zi'mei'shi'xue'de'shen'zhi'zi
分子食物理论,fen'zi'shi'wu'li'lun
富田便当,fu'tian'bian'dang
富田友哉,fu'tian'you'zai
咖喱的女王大人,ga'li'de'nv'wang'da'ren
咖喱料理,ga'li'liao'li
盖饭研,gai'fan'yan
冈本信彦,gang'ben'xin'yan
高桥美佳子,gao'qiao'mei'jia'zi
高桥未奈美,gao'qiao'wei'nai'mei
宫里研讨会,gong'li'yan'tao'hui
关守平,guan'shou'ping
锅炉前的魔女,guo'lu'qian'de'mo'nv
豪田林清志,hao'tian'lin'qing'zhi
河西健吾,he'xi'jian'wu
黑木场凉,hei'mu'chang'liang
横滨中华街,heng'bin'zhong'hua'jie
横尾麻里,heng'wei'ma'li
后藤沙绪里,hou'teng'sha'xu'li
花江夏树,hua'jiang'xia'shu
黄金时代,huang'jin'shi'dai
绘里奈,hui'li'nai
绘里奈派,hui'li'nai'pai
极星的鬼婆,ji'xing'de'gui'po
极星的圣母,ji'xing'de'sheng'mu
极星鸡,ji'xing'ji
极星寮,ji'xing'liao
