挨次,ai'ci
挨次得死,ai'ci'de'si
挨得死,ai'de'si
娭毑,ai'jie
爱相,ai'xiang
熬实,ao'shi
傲腿,ao'tui
霸缸,ba'gang
霸蛮,ba'man
霸脑壳,ba'nao'ke
白师傅,bai'shi'fu
扮矮,ban'ai
绊哒脑壳,ban'da'nao'ke
拌禾,ban'he
绊坏哒,ban'huai'da
扮俏,ban'qiao
扮式样,ban'shi'yang
宝里宝气,bao'li'bao'qi
宝妹子,bao'mei'zi
宝气,bao'qi
背时,bei'shi
背运,bei'yun
不睬你,bu'cai'ni
不齿你,bu'chi'ni
不此人,bu'ci'ren
不带爱相,bu'dai'ai'xiang
不得不,bu'de'bu
不罕颠,bu'han'dian
不焊定,bu'han'ding
不晓得,bu'xiao'de
不秀气,bu'xiu'qi
踩一脚,cai'yi'jiao
策得死,ce'de'si
策神,ce'shen
策粟壳,ce'su'ke
叉胡子,cha'hu'zi
唱调子,chang'diao'zi
炒地皮,chao'di'pi
扯谎,che'huang
扯谈,che'tan
抽逼,chou'bi
抽糊学,chou'hu'xue
出宝,chu'bao
出六滴,chu'liu'di
出鱼,chu'yu
蠢得死,chun'de'si
戳把子,chuo'ba'zi
撮把子,cuo'ba'zi
撮哒,cuo'da
撮起克哒,cuo'qi'ke'da
撮汤锅子,cuo'tang'guo'zi
打板子,da'ban'zi
打抱秋,da'bao'qiu
打别港,da'bie'gang
打垫子,da'dian'zi
打屌胯,da'diao'kua
打工仔,da'gong'zai
打嗨港,da'hai'gang
打流,da'liu
打乱港,da'luan'gang
戴笼子,dai'long'zi
呆滞,dai'zhi
等一哈子,deng'yi'ha'zi
等一下子,deng'yi'xia'zi
嗲嗲,dia'dia
屌屌,diao'diao
屌呢,diao'ne
吊我胃口,diao'wo'wei'kou
丢陀,diu'tuo
对亲家,dui'qin'jia
剁一刀,duo'yi'dao
嗯咯,en'ge
嗯喽,en'lou
嘎白的,ga'bai'de
该别,gai'bie
该哈,gai'ha
该杂,gai'za
该杂别,gai'za'bie
该杂喽,gai'za'lou
干末子,gan'mo'zi
搞喽的,gao'lou'de
搞猛哒,gao'meng'da
搞末子,gao'mo'zi
搞醉哒,gao'zui'da
各哈,ge'ha
各只,ge'zhi
狗脑壳,gou'nao'ke
刮瘦滴,gua'shou'di
管它克,guan'ta'ke
鬼扯腿,gui'che'tui
贵大爷,gui'da'ye
鬼搞子搞,gui'gao'zi'gao
贵气,gui'qi
鬼五十七,gui'wu'shi'qi
鬼崽子,gui'zai'zi
滚出克,gun'chu'ke
过细,guo'xi
过杂,guo'za
哈宝,ha'bao
哈得死,ha'de'si
哈登卵,ha'deng'luan
哈里哈气,ha'li'ha'qi
哈利油,ha'li'you
哈卵,ha'luan
哈是的,ha'shi'de
还冇做,hai'mao'zuo
好咯,hao'ge
何解,he'jie
何什,he'shen
何什搞,he'shen'gao
黑哒,hei'da
黑得你一滚,hei'de'ni'yi'gun
黑人,hei'ren
画胡子,hua'hu'zi
化生子,hua'sheng'zi
化孙子,hua'sun'zi
回克,hui'ke
火心烦躁,huo'xin'fan'zao
挤密喇密,ji'mi'la'mi
鸡屎闷子,ji'shi'men'zi
挤牙膏,ji'ya'gao
夹码子,jia'ma'zi
捡得封皮就是印,jian'de'feng'pi'jiu'shi'yin
讲话,jiang'hua
叫卫子,jiao'wei'zi
狡黠,jiao'xia
尽出鱼,jin'chu'yu
紧哒搞,jin'da'gao
尽噶,jin'ga
紧搞,jin'gao
尽篓我,jin'lou'wo
矜死乜痕,jin'si'mie'hen
矜死乜痕找起事做,jin'si'mie'hen'zhao'qi'shi'zuo
警调子,jing'diao'zi
靠实,kao'shi
克咯,ke'ge
克死,ke'si
抠门,kou'men
侩策,kuai'ce
筐瓢,kuang'piao
困嘎哒,kun'ga'da
拉不出屎怨茅坑,la'bu'chu'shi'yuan'mao'keng
邋遢,la'ta
来不得神,lai'bu'de'shen
懒此得你,lan'ci'de'ni
烂法器,lan'fa'qi
烂麻匹,lan'ma'pi
老口子,lao'kou'zi
劳什子,lao'shi'zi
了难,le'nan
垒肥滴,lei'fei'di
粒隔烂,li'ge'lan
咧嘎哒,lie'ga'da
咧钻子,lie'zuan'zi
灵泛,ling'fan
零零光,ling'ling'guang
陋经,lou'jing
蛮屌,man'diao
蛮巧,man'qiao
蛮巧摆,man'qiao'bai
冇睬你,mao'cai'ni
冇得,mao'de
冇得钱,mao'de'qian
冇点检实,mao'dian'jian'shi
么子,me'zi
么子喽,me'zi'lou
么子陋经,me'zi'lou'jing
妹头,mei'tou
妹坨,mei'tuo
绵别个,mian'bie'ge
绵夫子,mian'fu'zi
绵我咯,mian'wo'ge
灭黑的,mie'hei'de
咩黑滴,mie'hei'di
莫拌哒,mo'ban'da
莫宝咯,mo'bao'ge
莫策,mo'ce
莫策我咯,mo'ce'wo'ge
莫咯,mo'ge
莫噻,mo'sai
那确实,na'que'shi
那只,na'zhi
男家,nan'jia
闹场子,nao'chang'zi
嫩白的,nen'bai'de
你很屌,ni'hen'diao
你就有蛮猛来,ni'jiu'you'man'meng'lai
你喃嘎,ni'nan'ga
娘的个蛋,niang'de'ge'dan
娘老子,niang'lao'zi
嬲塞,niao'sai
哦噶,o'ga
哦解,o'jie
怄躁,ou'zao
怕懒得,pa'lan'de
碰哒你只鬼,peng'da'ni'zhi'gui
笸箩货,po'luo'huo
起梗子,qi'geng'zi
漆烂黑,qi'lan'hei
七里八里,qi'li'ba'li
恰伴片,qia'ban'pian
恰哒饭冒事做,qia'da'fan'mao'shi'zuo
恰饭,qia'fan
恰嘎哒,qia'ga'da
