安全阀,an'quan'fa
带班长,dai'ban'zhang
电磁阀,dian'ci'fa
电缆摆动架,dian'lan'bai'dong'jia
电气系统,dian'qi'xi'tong
顶锚,ding'mao
服务车,fu'wu'che
割底,ge'di
巷道回采工作面,hang'dao'hui'cai'gong'zuo'mian
巷道掘进工作面,hang'dao'jue'jin'gong'zuo'mian
巷道掘进机,hang'dao'jue'jin'ji
巷道矿柱,hang'dao'kuang'zhu
巷道毛断面,hang'dao'mao'duan'mian
挥发分,hui'fa'fen
灰分,hui'fen
控制配电箱,kong'zhi'pei'dian'xiang
快速掘进,kuai'su'jue'jin
快速智能定硫仪,kuai'su'zhi'neng'ding'liu'yi
扩帮,kuo'bang
扩帮巷道宽度,kuo'bang'hang'dao'kuan'du
老塘,lao'tang
老塘水,lao'tang'shui
连采队,lian'cai'dui
炼焦煤,lian'jiao'mei
连续采煤机,lian'xu'cai'mei'ji
露头,lu'tou
螺旋钻空,luo'xuan'zuan'kong
螺旋钻头,luo'xuan'zuan'tou
马弗炉,ma'fu'lu
冒顶,mao'ding
锚杆机,mao'gan'ji
煤电钻,mei'dian'zuan
煤矿开采权,mei'kuang'kai'cai'quan
煤炭能源行业专业词汇,mei'tan'neng'yuan'hang'ye'zhuan'ye'ci'hui
煤炭收集系统,mei'tan'shou'ji'xi'tong
煤田,mei'tian
泥岩,ni'yan
粘结指数测定仪,nian'jie'zhi'shu'ce'ding'yi
排风,pai'feng
排气孔,pai'qi'kong
炮采队,pao'cai'dui
喷淋,pen'lin
片帮,pian'bang
片帮事故,pian'bang'shi'gu
平缓坡度,ping'huan'po'du
平行作业,ping'xing'zuo'ye
破碎机,po'sui'ji
破碎机断路器电缆,po'sui'ji'duan'lu'qi'dian'lan
葡式压实法,pu'shi'ya'shi'fa
普氏硬度指数,pu'shi'ying'du'zhi'shu
前探梁,qian'tan'liang
倾斜的角度,qing'xie'de'jiao'du
倾泄阀,qing'xie'fa
倾斜矿柱,qing'xie'kuang'zhu
全球卫星定位系统,quan'qiu'wei'xing'ding'wei'xi'tong
全水分,quan'shui'fen
全自动量热仪,quan'zi'dong'liang're'yi
热传感器,re'chuan'gan'qi
散热控制,san're'kong'zhi
砂岩,sha'yan
上覆地层,shang'fu'di'ceng
上山开采法,shang'shan'kai'cai'fa
设备折旧,she'bei'zhe'jiu
水平巷道,shui'ping'hang'dao
水文观测,shui'wen'guan'ce
塌陷设备,ta'xian'she'bei
通风联络小巷,tong'feng'lian'luo'xiao'xiang
图例,tu'li
土壤流失性,tu'rang'liu'shi'xing
推进速度,tui'jin'su'du
托管,tuo'guan
瓦斯发电,wa'si'fa'dian
瓦斯排放量,wa'si'pai'fang'liang
瓦斯突出,wa'si'tu'chu
吸尘装置,xi'chen'zhuang'zhi
小块煤,xiao'kuai'mei
斜断层,xie'duan'ceng
斜井,xie'jing
斜井井口,xie'jing'jing'kou
斜井仰拱,xie'jing'yang'gong
斜孔,xie'kong
斜面,xie'mian
斜坡,xie'po
卸载传输装置,xie'zai'chuan'shu'zhuang'zhi
休假期,xiu'jia'qi
选煤厂,xuan'mei'chang
岩性,yan'xing
液压掩护式支架,ye'ya'yan'hu'shi'zhi'jia
用水供给,yong'shui'gong'ji
远景储量,yuan'jing'chu'liang
运输路线,yun'shu'lu'xian
凿岩机,zao'yan'ji
正常断层,zheng'chang'duan'ceng
整个工作面采煤,zheng'ge'gong'zuo'mian'cai'mei
值班室,zhi'ban'shi
中块,zhong'kuai
主平巷,zhu'ping'xiang
主线输送机,zhu'xian'shu'song'ji
主斜井,zhu'xie'jing
主岩,zhu'yan
主要产煤省,zhu'yao'chan'mei'sheng
装配余量,zhuang'pei'yu'liang
准备巷道,zhun'bei'hang'dao
自动倾卸卡车,zi'dong'qing'xie'ka'che
自救器,zi'jiu'qi
自燃,zi'ran
综掘机,zong'jue'ji
纵切面,zong'qie'mian
纵向隔风墙,zong'xiang'ge'feng'qiang
钻机,zuan'ji
钻孔口部,zuan'kong'kou'bu
钻头,zuan'tou
