阿尔泰鼢鼠,a'er'tai'fen'shu
白背松鼠,bai'bei'song'shu
白腹巨鼠,bai'fu'ju'shu
白腹鼠,bai'fu'shu
白颊鼯鼠,bai'jia'wu'shu
白尾松田鼠,bai'wei'song'tian'shu
板齿鼠,ban'chi'shu
北社鼠,bei'she'shu
笔尾树鼠,bi'wei'shu'shu
布氏田鼠,bu'shi'tian'shu
藏仓鼠,cang'cang'shu
草原鼢鼠,cao'yuan'fen'shu
草原蹶鼠,cao'yuan'jue'shu
草原兔尾鼠,cao'yuan'tu'wei'shu
侧纹岩松鼠,ce'wen'yan'song'shu
长耳跳鼠,chang'er'tiao'shu
长尾仓鼠,chang'wei'cang'shu
长尾旱獭,chang'wei'han'ta
长尾黄鼠,chang'wei'huang'shu
长尾攀鼠,chang'wei'pan'shu
长爪沙鼠,chang'zhao'sha'shu
巢鼠,chao'shu
橙腹长吻松鼠,cheng'fu'chang'wen'song'shu
柽柳沙鼠,cheng'liu'sha'shu
赤腹松鼠,chi'fu'song'shu
赤颊黄鼠,chi'jia'huang'shu
大仓鼠,da'cang'shu
大耳姬鼠,da'er'ji'shu
大林姬鼠,da'lin'ji'shu
大泡灰鼠,da'pao'hui'shu
大绒鼠,da'rong'shu
大沙鼠,da'sha'shu
达乌尔黄鼠,da'wu'er'huang'shu
大五趾跳鼠,da'wu'zhi'tiao'shu
大竹鼠,da'zhu'shu
大足鼠,da'zu'shu
德钦绒鼠,de'qin'rong'shu
低泡飞鼠,di'pao'fei'shu
滇绒鼠,dian'rong'shu
东北鼢鼠,dong'bei'fen'shu
东方田鼠,dong'fang'tian'shu
短耳沙鼠,duan'er'sha'shu
短尾仓鼠,duan'wei'cang'shu
短尾锋毛鼠,duan'wei'feng'mao'shu
肥尾心颅跳鼠,fei'wei'xin'lu'tiao'shu
复齿鼯鼠,fu'chi'wu'shu
甘肃仓鼠,gan'su'cang'shu
高山白腹鼠,gao'shan'bai'fu'shu
高山姬鼠,gao'shan'ji'shu
高原鼢鼠,gao'yuan'fen'shu
根田鼠,gen'tian'shu
沟牙田鼠,gou'ya'tian'shu
沟牙鼯鼠,gou'ya'wu'shu
旱獭,han'ta
豪猪,hao'zhu
褐家鼠,he'jia'shu
河狸,he'li
黑白飞鼠,hei'bai'fei'shu
黑腹绒鼠,hei'fu'rong'shu
黑田鼠,hei'tian'shu
黑线仓鼠,hei'xian'cang'shu
黑线姬鼠,hei'xian'ji'shu
黑线毛足鼠,hei'xian'mao'zu'shu
红白鼯鼠,hong'bai'wu'shu
红颊长吻松鼠,hong'jia'chang'wen'song'shu
红尾沙鼠,hong'wei'sha'shu
花鼠,hua'shu
黄毛鼠,huang'mao'shu
黄兔尾鼠,huang'tu'wei'shu
黄胸鼠,huang'xiong'shu
