阿巴依戴,a'ba'yi'dai
阿富汗白玉,a'fu'han'bai'yu
阿富汗玉,a'fu'han'yu
安拉宝珠,an'la'bao'zhu
澳洲玉,ao'zhou'yu
巴山玉,ba'shan'yu
巴西海蓝宝石,ba'xi'hai'lan'bao'shi
巴西祖母绿,ba'xi'zu'mu'lv
八心八箭,ba'xin'ba'jian
白宝石,bai'bao'shi
白底青,bai'di'qing
百鹤玉,bai'he'yu
白玛瑙,bai'ma'nao
白欧泊,bai'ou'bo
白玉,bai'yu
白玉之冠,bai'yu'zhi'guan
半玻璃光泽,ban'bo'li'guang'ze
半金刚光泽,ban'jin'gang'guang'ze
半金属光泽,ban'jin'shu'guang'ze
包裹体,bao'guo'ti
保健石,bao'jian'shi
宝石,bao'shi
宝石级钻石,bao'shi'ji'zuan'shi
宝石显微镜,bao'shi'xian'wei'jing
宝石之王,bao'shi'zhi'wang
鲍文玉,bao'wen'yu
北京大学奇石研究会,bei'jing'da'xue'qi'shi'yan'jiu'hui
碧玺,bi'xi
碧玉,bi'yu
比重,bi'zhong
比重仪,bi'zhong'yi
变彩效应,bian'cai'xiao'ying
变色效应,bian'se'xiao'ying
变石,bian'shi
变石猫眼,bian'shi'mao'yan
标准,biao'zhun
冰种,bing'zhong
玻璃光泽,bo'li'guang'ze
布拉冈斯,bu'la'gang'si
查尔斯滤色镜,cha'er'si'lv'se'jing
茶晶,cha'jing
缠丝玛瑙,chan'si'ma'nao
昌化石,chang'hua'shi
常林钻,chang'lin'zuan
长石,chang'shi
长寿石,chang'shou'shi
虫珀,chong'po
催生石,cui'sheng'shi
大洞,da'dong
大珠,da'zhu
戴比尔斯,dai'bi'er'si
玳瑁,dai'mao
淡水珠,dan'shui'zhu
导电性,dao'dian'xing
导热性,dao're'xing
灯光冻,deng'guang'dong
底尖比,di'jian'bi
迪凯石,di'kai'shi
地中海珊瑚,di'zhong'hai'shan'hu
电气石,dian'qi'shi
丁香紫玉,ding'xiang'zi'yu
东方海蓝宝石,dong'fang'hai'lan'bao'shi
东方蓝宝石,dong'fang'lan'bao'shi
东方艺术奇葩,dong'fang'yi'shu'qi'pa
东方之星,dong'fang'zhi'xing
东陵石,dong'ling'shi
豆种,dou'zhong
独山玉,du'shan'yu
独玉,du'yu
断口,duan'kou
多色电气石,duo'se'dian'qi'shi
多色性,duo'se'xing
俄罗斯钻,e'luo'si'zuan
二色镜,er'se'jing
发晶,fa'jing
放大镜,fang'da'jing
方晶锆石,fang'jing'gao'shi
翡翠,fei'cui
翡翠花佩,fei'cui'hua'pei
非洲玉,fei'zhou'yu
非洲之星,fei'zhou'zhi'xing
分光镜,fen'guang'jing
分色电气石,fen'se'dian'qi'shi
风各青,feng'ge'qing
风景碧玉,feng'jing'bi'yu
风景玛瑙,feng'jing'ma'nao
封门青,feng'men'qing
风筝面,feng'zheng'mian
芙蓉石,fu'rong'shi
芙蓉种,fu'rong'zhong
辐照,fu'zhao
钙铬榴石,gai'ge'liu'shi
钙铝榴石,gai'lv'liu'shi
钙铁榴石,gai'tie'liu'shi
橄榄石,gan'lan'shi
橄榄形,gan'lan'xing
干青种,gan'qing'zhong
刚玉,gang'yu
缟玛瑙,gao'ma'nao
高山冻,gao'shan'dong
高山晶,gao'shan'jing
锆石,gao'shi
格令,ge'ling
鸽血红,ge'xue'hong
工业钻石,gong'ye'zuan'shi
冠高比,guan'gao'bi
冠角,guan'jiao
光学致色,guang'xue'zhi'se
光玉髓,guang'yu'sui
贵翠,gui'cui
