巴投,ba'tou
巴西柔术,ba'xi'rou'shu
半防守,ban'fang'shou
抱单腿摔,bao'dan'tui'shuai
抱双腿摔,bao'shuang'tui'shuai
抱腿摔,bao'tui'shuai
背后控制,bei'hou'kong'zhi
背控,bei'kong
崩袈裟固,beng'jia'sha'gu
并十字绞,bing'shi'zi'jiao
侧控,ce'kong
侧骑乘式,ce'qi'cheng'shi
侧骑乘位,ce'qi'cheng'wei
侧桥,ce'qiao
侧向控制,ce'xiang'kong'zhi
侧向起桥,ce'xiang'qi'qiao
大背负落,da'bei'fu'luo
大内刈,da'nei'yi
大外落,da'wai'luo
大外刈,da'wai'yi
大腰,da'yao
单肩起桥,dan'jian'qi'qiao
单手过肩摔,dan'shou'guo'jian'shuai
单手裸绞,dan'shou'luo'jiao
当身技,dang'shen'ji
道服绞,dao'fu'jiao
道衣柔术,dao'yi'rou'shu
德拉西瓦式防守,de'la'xi'wa'shi'fang'shou
吊进腰,diao'jin'yao
断头台,duan'tou'tai
反三角绞,fan'san'jiao'jiao
飞身,fei'shen
飞身三角绞,fei'shen'san'jiao'jiao
飞身十字固,fei'shen'shi'zi'gu
飞身降伏,fei'shen'xiang'fu
飞身降伏技,fei'shen'xiang'fu'ji
封闭式防守,feng'bi'shi'fang'shou
浮固,fu'gu
浮落,fu'luo
刚烈绞,gang'lie'jiao
固技,gu'ji
谷落,gu'luo
古柔术,gu'rou'shu
关节技,guan'jie'ji
龟缩防守,gui'suo'fang'shou
龟缩式防守,gui'suo'shi'fang'shou
裹袈裟固,guo'jia'sha'gu
裹投,guo'tou
过腿,guo'tui
横车,heng'che
横分,heng'fen
横舍身技,heng'she'shen'ji
横四方固,heng'si'fang'gu
后袈裟固,hou'jia'sha'gu
后受身,hou'shou'shen
后腰,hou'yao
蝴蝶式防守,hu'die'shi'fang'shou
花式扫,hua'shi'sao
夹背袈裟固,jia'bei'jia'sha'gu
袈裟固,jia'sha'gu
肩车,jian'che
剪刀扫,jian'dao'sao
肩固,jian'gu
绞技,jiao'ji
绞杀技,jiao'sha'ji
开放式防守,kai'fang'shi'fang'shou
空气投,kong'qi'tou
立技,li'ji
联络技,lian'luo'ji
流线绞,liu'xian'jiao
裸绞,luo'jiao
蟒蛇绞,mang'she'jiao
木村锁,mu'cun'suo
南北固,nan'bei'gu
内股,nei'gu
逆防守,ni'fang'shou
逆式防守,ni'shi'fang'shou
逆十字绞,ni'shi'zi'jiao
拍地后滚翻,pai'di'hou'gun'fan
片羽绞,pian'yu'jiao
普通开放式防守,pu'tong'kai'fang'shi'fang'shou
骑乘式,qi'cheng'shi
骑乘位,qi'cheng'wei
气绞,qi'jiao
起桥,qi'qiao
前滚翻拍地,qian'gun'fan'pai'di
前受身,qian'shou'shen
寝技,qin'ji
球车,qiu'che
柔道,rou'dao
柔术,rou'shu
三角固,san'jiao'gu
三角绞,san'jiao'jiao
扫吊进腰,sao'diao'jin'yao
扫吊进足,sao'diao'jin'zu
扫技,sao'ji
扫腰,sao'yao
山岚,shan'lan
上四方固,shang'si'fang'gu
上位,shang'wei
舍身技,she'shen'ji
深入型半防守,shen'ru'xing'ban'fang'shou
十字固,shi'zi'gu
十字绞,shi'zi'jiao
手臂三角绞,shou'bi'san'jiao'jiao
手技,shou'ji
受身,shou'shen
双手负肩摔,shuang'shou'fu'jian'shuai
双手刈,shuang'shou'yi
四方固,si'fang'gu
送襟绞,song'jin'jiao
体落,ti'luo
天狗摔,tian'gou'shuai
跳卷进,tiao'juan'jin
跳腰,tiao'yao
腿部木村锁,tui'bu'mu'cun'suo
腿木村锁,tui'mu'cun'suo
外卷进,wai'juan'jin
腕挫十字固,wan'cuo'shi'zi'gu
腕固,wan'gu
腕缄,wan'jian
无道衣柔术,wu'dao'yi'rou'shu
乌龟式防守,wu'gui'shi'fang'shou
下位,xia'wei
虾行,xia'xing
降服技,xiang'fu'ji
橡皮式防守,xiang'pi'shi'fang'shou
小内刈,xiao'nei'yi
小外挂,xiao'wai'gua
小外刈,xiao'wai'yi
蟹钳,xie'qian
蝎尾固,xie'wei'gu
袖车,xiu'che
旋转十字绞,xuan'zhuan'shi'zi'jiao
血绞,xue'jiao
燕返,yan'fan
腰车,yao'che
腰技,yao'ji
一本背负投,yi'ben'bei'fu'tou
移腰,yi'yao
引进返,yin'jin'fan
有道衣柔术,you'dao'yi'rou'shu
隅返,yu'fan
隅落,yu'luo
真舍身技,zhen'she'shen'ji
支吊进腰,zhi'diao'jin'yao
支吊进足,zhi'diao'jin'zu
趾固,zhi'gu
趾锁,zhi'suo
直腿踝固,zhi'tui'huai'gu
足跟勾,zu'gen'gou
足固,zu'gu
足技,zu'ji
坐式防守,zuo'shi'fang'shou
