表征,biao'zheng
表征时间知觉研究控制器,biao'zheng'shi'jian'zhi'jue'yan'jiu'kong'zhi'qi
蔡加尼克效应,cai'jia'ni'ke'xiao'ying
测听术,ce'ting'shu
超感官知觉,chao'gan'guan'zhi'jue
大小常性估计器,da'xiao'chang'xing'gu'ji'qi
动机,dong'ji
动机因子,dong'ji'yin'zi
动觉后效,dong'jue'hou'xiao
动作思维,dong'zuo'si'wei
动作稳定器,dong'zuo'wen'ding'qi
发散思维,fa'san'si'wei
反应时研究,fan'ying'shi'yan'jiu
费希纳定律,fei'xi'na'ding'lv
分布学习,fen'bu'xue'xi
概念,gai'nian
感觉,gan'jue
感觉剥夺实验,gan'jue'bo'duo'shi'yan
感觉适应,gan'jue'shi'ying
感受性,gan'shou'xing
恒常性,heng'chang'xing
话到嘴边效应,hua'dao'zui'bian'xiao'ying
技能,ji'neng
机体党,ji'ti'dang
记忆,ji'yi
记忆表象,ji'yi'biao'xiang
记忆痕迹,ji'yi'hen'ji
记忆恢复,ji'yi'hui'fu
记忆实验,ji'yi'shi'yan
近因效应,jin'yin'xiao'ying
聚合思维,ju'he'si'wei
空间频率,kong'jian'pin'lv
空间知觉研究控制器,kong'jian'zhi'jue'yan'jiu'kong'zhi'qi
恐惧,kong'ju
控制联想,kong'zhi'lian'xiang
理解,li'jie
联想,lian'xiang
两点阈,liang'dian'yu
马赫带,ma'he'dai
马森盘,ma'sen'pan
面部表情,mian'bu'biao'qing
面部视觉,mian'bu'shi'jue
明视觉和暗视觉,ming'shi'jue'he'an'shi'jue
内在动机,nei'zai'dong'ji
普通心理学,pu'tong'xin'li'xue
迁移的实验研究方法,qian'yi'de'shi'yan'yan'jiu'fang'fa
敲击板,qiao'ji'ban
情绪,qing'xu
躯体觉,qu'ti'jue
人工概念,ren'gong'gai'nian
色觉理论,se'jue'li'lun
色盲,se'mang
深度知觉仪,shen'du'zhi'jue'yi
识记,shi'ji
时间知觉,shi'jian'zhi'jue
视觉后象,shi'jue'hou'xiang
视觉后象触觉计,shi'jue'hou'xiang'chu'jue'ji
视觉理论,shi'jue'li'lun
视觉敏度,shi'jue'min'du
视觉适应,shi'jue'shi'ying
视野,shi'ye
适应,shi'ying
首因效应,shou'yin'xiao'ying
斯特鲁普研究,si'te'lu'pu'yan'jiu
思维,si'wei
特征觉察器,te'zheng'jue'cha'qi
提示法,ti'shi'fa
听觉辨别,ting'jue'bian'bie
听觉定位,ting'jue'ding'wei
听觉理论,ting'jue'li'lun
听疲劳和听适应,ting'pi'lao'he'ting'shi'ying
统觉,tong'jiao
透镜模型,tou'jing'mo'xing
韦伯定律,wei'bo'ding'lv
味觉研究,wei'jue'yan'jiu
无意识推理,wu'yi'shi'tui'li
系列位置效应,xi'lie'wei'zhi'xiao'ying
想象,xiang'xiang
信号检测论,xin'hao'jian'ce'lun
心理投射,xin'li'tou'she
心理物理定律,xin'li'wu'li'ding'lv
心理物理法,xin'li'wu'li'fa
心理物理学,xin'li'wu'li'xue
心向,xin'xiang
性格,xing'ge
兴趣,xing'qu
行为对比,xing'wei'dui'bi
嗅觉研究,xiu'jue'yan'jiu
需要,xu'yao
选择性注意,xuan'ze'xing'zhu'yi
意志,yi'zhi
意志行动的心理结构,yi'zhi'xing'dong'de'xin'li'jie'gou
阈下知觉,yu'xia'zhi'jue
阈限,yu'xian
运动记忆,yun'dong'ji'yi
运动知觉,yun'dong'zhi'jue
再认,zai'ren
再现,zai'xian
再造想象和创造想象,zai'zao'xiang'xiang'he'chuang'zao'xiang'xiang
知觉场,zhi'jue'chang
知觉相对性,zhi'jue'xiang'dui'xing
知觉选择性,zhi'jue'xuan'ze'xing
知觉选择性图形后效,zhi'jue'xuan'ze'xing'tu'xing'hou'xiao
智力,zhi'li
注意,zhu'yi
注意的分配,zhu'yi'de'fen'pei
注意的广度,zhu'yi'de'guang'du
注意的稳定性,zhu'yi'de'wen'ding'xing
自然颜色系统,zi'ran'yan'se'xi'tong
自由联想,zi'you'lian'xiang
