矮瓜,ai'gua
捱夜,ai'ye
矮仔,ai'zai
百足,bai'zu
煲汤,bao'tang
笨叱,ben'chi
崩口人忌崩口碗,beng'kou'ren'ji'beng'kou'wan
畀面,bi'mian
搏命,bo'ming
擦鞋,ca'xie
擦鞋仔,ca'xie'zai
差池,cha'chi
叉你个胃,cha'ni'ge'wei
插苏,cha'su
炒鱿鱼,chao'you'yu
扯猫尾,che'mao'wei
车衫,che'shan
匙羹,chi'geng
黐孖筋,chi'ma'jin
叱头,chi'tou
痴线,chi'xian
黐线,chi'xian
仇口,chou'kou
出糧,chu'liang
出去蒲,chu'qu'pu
除衫,chu'shan
唇膏,chun'gao
大笨象,da'ben'xiang
大出血,da'chu'xue
打镬金葛你啖下,da'huo'jin'ge'ni'dan'xia
大嚿衰,da'huo'shuai
大家甘话,da'jia'gan'hua
打紧机,da'jin'ji
啖茶,dan'cha
单身寡佬,dan'shen'gua'lao
氹氹转,dang'dang'zhuan
得闲,de'xian
得闲再倾,de'xian'zai'qing
底裤,di'ku
睇乜睇,di'mie'di
第日,di'ri
底衫,di'shan
地拖,di'tuo
点解,dian'jie
电心,dian'xin
叼拿星,diao'na'xing
跌落地都要楋翻揸沙,die'luo'di'dou'yao'la'fan'zha'sha
顶你个肺,ding'ni'ge'fei
笃背脊,du'bei'ji
对唔住,dui'wu'zhu
呃称,e'cheng
呃鬼食豆腐,e'gui'shi'dou'fu
屙尿,e'niao
呃人,e'ren
屙屎,e'shi
摁口费,en'kou'fei
奀嗞鬼命,en'zi'gui'ming
奀嗞嗞,en'zi'zi
发瘟鸡,fa'wen'ji
发噏疯,fa'xi'feng
饭铲头,fan'chan'tou
返工,fan'gong
番瓜,fan'gua
番茄,fan'qie
番薯,fan'shu
放飞机,fang'fei'ji
废柴,fei'chai
飞发,fei'fa
费事,fei'shi
费事眼冤,fei'shi'yan'yuan
飞鼠,fei'shu
粉肠,fen'chang
瞓觉,fen'jiao
嘎嘎声,ga'ga'sheng
咁劲,gan'jin
咁啱嘅,gan'yan'ge
戆勼勼,gang'jiu'jiu
戆居,gang'ju
搞掂,gao'dian
搞乜嘢,gao'mie'ye
高争鞋,gao'zheng'xie
隔离,ge'li
个时,ge'shi
个阵,ge'zhen
梗喺,geng'xi
勾佬,gou'lao
狗乸,gou'na
沟女,gou'nv
沟仔,gou'zai
孤寒,gu'han
寡佬,gua'lao
挂住,gua'zhu
关你叉事,guan'ni'cha'shi
关你咩事,guan'ni'mie'shi
关你事,guan'ni'shi
光棍佬遇着冇皮柴,guang'gun'lao'yu'zhe'mao'pi'chai
鬼打鬼,gui'da'gui
滚水,gun'shui
撖头埋墙,han'tou'mai'qiang
好鬼嘈,hao'gui'cao
好夹,hao'jia
好心着雷劈,hao'xin'zhe'lei'pi
荷包,he'bao
后底乸,hou'di'na
后生仔,hou'sheng'zai
花洒,hua'sa
花樽,hua'zun
鲩鱼,huan'yu
火水,huo'shui
几多,ji'duo
基佬,ji'lao
鸡乸,ji'na
夹手夹脚,jia'shou'jia'jiao
傢俬,jia'si
夹万,jia'wan
讲笑,jiang'xiao
颈渴,jing'ke
就手,jiu'shou
焗桑拿,ju'sang'na
开片,kai'pian
看更,kan'geng
冚家铲,kan'jia'chan
冚家拎,kan'jia'lin
疴尿,ke'niao
疴嘘嘘,ke'xu'xu
楋手唔成势,la'shou'wu'cheng'shi
邋遢,la'ta
邋遢猫,la'ta'mao
捞边行,lao'bian'xing
老豆,lao'dou
老姑婆,lao'gu'po
老坑,lao'keng
老千,lao'qian
老死,lao'si
老细,lao'xi
老嘢,lao'ye
老友鬼鬼,lao'you'gui'gui
老友记,lao'you'ji
了哥,le'ge
叻仔,le'zai
栗米,li'mi
靓女,liang'nv
靓仔,liang'zai
拎嘢,lin'ye
领太,ling'tai
碌葛,lu'ge
渌熟,lu'shu
乱噏,luan'xi
轮更,lun'geng
萝底橙,luo'di'cheng
落狗屎,luo'gou'shi
啰嗦,luo'suo
落汤鸡,luo'tang'ji
攞嘢,luo'ye
落雨,luo'yu
马蹄,ma'ti
马仔,ma'zai
唛大口得个窿,mai'da'kou'de'ge'long
卖剩蔗,mai'sheng'zhe
冇几何,mao'ji'he
冒哩,mao'li
茂里,mao'li
冇相干,mao'xiang'gan
门口狗,men'kou'gou
懵盛盛,meng'sheng'sheng
咪高峰,mi'gao'feng
咪走,mi'zou
乜嚟架,mie'li'jia
乜嘢,mie'ye
木嘴,mu'zui
嗱嗱声,na'na'sheng
乸型,na'xing
呢排,ne'pai
你哋,ni'di
你个仔,ni'ge'zai
你老味,ni'lao'wei
你条蛋散,ni'tiao'dan'san
你条冒哩,ni'tiao'mao'li
你唔好去死贱人,ni'wu'hao'qu'si'jian'ren
你唔使讲野,ni'wu'shi'jiang'ye
你唔中意咩,ni'wu'zhong'yi'mie
你以为你系乜水啊,ni'yi'wei'ni'xi'mie'shui'a
你中意咯,ni'zhong'yi'ge
拗交,niu'jiao
拗手瓜,niu'shou'gua
拍姜甘拍死你,pai'jiang'gan'pai'si'ni
炮仗颈,pao'zhang'jing
皮箧,pi'qie
契弟,qi'di
七国咁乱,qi'guo'gan'luan
骑呢大帝,qi'ne'da'di
起身,qi'shen
起屋,qi'wu
契爷,qi'ye
倾计,qing'ji
求其,qiu'qi
去边蒲,qu'bian'pu
去边骚,qu'bian'sao
佢哋,qu'di
去蒲,qu'pu
雀仔,que'zi
人工,ren'gong
入嚟,ru'li
嗮鬼气,sai'gui'qi
嗮气,sai'qi
三口六面,san'kou'liu'mian
扫把,sao'ba
上紧班,shang'jin'ban
谂嘢,shen'ye
生果,sheng'guo
是但咯,shi'dan'ge
食紧饭,shi'jin'fan
使人唔使本,shi'ren'wu'shi'ben
食人只車咩,shi'ren'zhi'ju'mie
食死猫,shi'si'mao
事頭婆,shi'tou'po
食碗面反碗底,shi'wan'mian'fan'wan'di
拾下拾下,shi'xia'shi'xia
食晏,shi'yan
食烟,shi'yan
食左饭未,shi'zuo'fan'wei
收爹,shou'die
收工,shou'gong
瘦骨仙,shou'gu'xian
收皮,shou'pi
手信,shou'xin
梳化,shu'hua
熟手,shu'shou
熟行,shu'xing
熟行熟路,shu'xing'shu'lu
闩门,shuan'men
爽手,shuang'shou
水喉,shui'hou
水鱼,shui'yu
死蠢,si'chun
丝瓜,si'gua
死剩把口,si'sheng'ba'kou
松人,song'ren
算乜嘢,suan'mie'ye
蒜头,suan'tou
缩骨,suo'gu
太子爷,tai'zi'ye
弹开,tan'kai
汤壳,tang'ke
踢晒脚,ti'shai'jiao
田鸡,tian'ji
条俐好嚡,tiao'li'hao'xie
偷鸡唔到蚀揸米,tou'ji'wu'dao'shi'zha'mi
望咩望,wang'mie'wang
蚊螆,wen'ci
揾工,wen'gong
揾人,wen'ren
搵食,wen'shi
我哋,wo'di
我睇紧电影,wo'di'jin'dian'ying
我条女,wo'tiao'nv
我条子,wo'tiao'zi
唔得闲,wu'de'xian
唔睇,wu'di
唔关我事,wu'guan'wo'shi
唔好喊喇,wu'hao'han'la
唔话得,wu'hua'de
唔话你知等你心思思,wu'hua'ni'zhi'deng'ni'xin'si'si
唔讲,wu'jiang
唔讲得,wu'jiang'de
唔觉,wu'jue
唔觉意,wu'jue'yi
无嗱嗱多哒疤,wu'na'na'duo'da'ba
唔嬲,wu'niao
唔嬲就假,wu'niao'jiu'jia
唔使,wu'shi
唔识,wu'shi
唔使做,wu'shi'zuo
唔使做啊,wu'shi'zuo'a
唔听,wu'ting
唔同你讲,wu'tong'ni'jiang
唔系,wu'xi
唔系人咁品,wu'xi'ren'gan'pin
无眼睇,wu'yan'di
乌蝇,wu'ying
唔制,wu'zhi
唔知,wu'zhi
喺边度,xi'bian'du
熄灯,xi'deng
系度做咩,xi'du'zuo'mie
系就快,xi'jiu'kuai
细佬,xi'lao
细路,xi'lu
洗衫板,xi'shan'ban
细蚊仔,xi'wen'zai
吓嚫,xia'chen
呷醋,xia'cu
虾毛,xia'mao
香枧,xiang'jian
霄夜,xiao'ye
羞家,xiu'jia
雪柜,xue'gui
眼瞓,yan'fen
盐蛇,yan'she
啱心水,yan'xin'shui
眼冤,yan'yuan
杨桃,yang'tao
椰菜,ye'cai
一担担,yi'dan'dan
一镬泡,yi'huo'pao
一镬熟,yi'huo'shu
一嚿云,yi'huo'yun
一脚踢,yi'jiao'ti
一淠屎,yi'pi'shi
一仆一碌,yi'pu'yi'lu
一身蚁,yi'shen'yi
饮料,yin'liao
饮胜,yin'sheng
有几何,you'ji'he
有冇搞错,you'mao'gao'cuo
有碗话碗有碟话碟,you'wan'hua'wan'you'die'hua'die
早晨,zao'chen
早唞,zao'dou
掟煲,zheng'bao
掟你出街,zheng'ni'chu'jie
执车,zhi'che
执死鸡,zhi'si'ji
执头执尾,zhi'tou'zhi'wei
猪脷,zhu'li
煮餸,zhu'song
撞板,zhuang'ban
走嘞,zou'le
走人,zou'ren
嘴啖,zui'dan
做嘢,zuo'ye
做野啦,zuo'ye'la
