安天玄圣大帝,an'tian'xuan'sheng'da'di
魃,ba
八大元帅,ba'da'yuan'shuai
八仙,ba'xian
白虎,bai'hu
白虎监兵神君,bai'hu'jian'bing'shen'jun
白玉蟾,bai'yu'chan
抱犊山,bao'du'shan
北斗第二阴精,bei'dou'di'er'yin'jing
北斗第二阴精巨门星君,bei'dou'di'er'yin'jing'ju'men'xing'jun
北斗第六北极,bei'dou'di'liu'bei'ji
北斗第六北极武曲星君,bei'dou'di'liu'bei'ji'wu'qu'xing'jun
北斗第七天关,bei'dou'di'qi'tian'guan
北斗第三真人,bei'dou'di'san'zhen'ren
北斗第三真人禄存星君,bei'dou'di'san'zhen'ren'lu'cun'xing'jun
北斗第四玄冥,bei'dou'di'si'xuan'ming
北斗第四玄冥文曲星君,bei'dou'di'si'xuan'ming'wen'qu'xing'jun
北斗第天关破军星君,bei'dou'di'tian'guan'po'jun'xing'jun
北斗第五丹元,bei'dou'di'wu'dan'yuan
北斗第五丹元廉贞星君,bei'dou'di'wu'dan'yuan'lian'zhen'xing'jun
北斗第一阳明,bei'dou'di'yi'yang'ming
北斗第一阳明贪狼星君,bei'dou'di'yi'yang'ming'tan'lang'xing'jun
北斗星君,bei'dou'xing'jun
北方北极,bei'fang'bei'ji
北方北极玄灵斗姆元君,bei'fang'bei'ji'xuan'ling'dou'mu'yuan'jun
北方北极中天紫微大帝,bei'fang'bei'ji'zhong'tian'zi'wei'da'di
北方辰星,bei'fang'chen'xing
北方鬼帝,bei'fang'gui'di
北海龙王敖顺,bei'hai'long'wang'ao'shun
北极四圣,bei'ji'si'sheng
北极战神,bei'ji'zhan'shen
北阴,bei'yin
北阴酆都大帝,bei'yin'feng'dou'da'di
北岳恒山,bei'yue'heng'shan
毕方,bi'fang
比干,bi'gan
壁水獝,bi'shui'xu
碧霞元君,bi'xia'yuan'jun
毕月乌,bi'yue'wu
毕宗远,bi'zong'yuan
卞城王,bian'cheng'wang
杓,biao
波罗揭谛,bo'luo'jie'di
波罗僧揭谛,bo'luo'seng'jie'di
嶓冢山,bo'zhong'shan
部将,bu'jiang
采访真君,cai'fang'zhen'jun
蔡郁垒,cai'yu'lei
蚕神,can'shen
参水猿,can'shui'yuan
曹国舅,cao'guo'jiu
厕神,ce'shen
茶神,cha'shen
长春子,chang'chun'zi
嫦娥,chang'e
娼妓神,chang'ji'shen
娼妓神管仲,chang'ji'shen'guan'zhong
长江,chang'jiang
长生大帝,chang'sheng'da'di
长生子,chang'sheng'zi
常羲,chang'xi
