暗根子,an'gen'zi
炮一平三,pao'yi'ping'san
炮一平四,pao'yi'ping'si
炮一平五,pao'yi'ping'wu
炮一退八,pao'yi'tui'ba
炮一退二,pao'yi'tui'er
炮一退九,pao'yi'tui'jiu
炮一退六,pao'yi'tui'liu
炮一退七,pao'yi'tui'qi
炮一退三,pao'yi'tui'san
炮一退四,pao'yi'tui'si
炮一退五,pao'yi'tui'wu
炮一退一,pao'yi'tui'yi
匹马单刀,pi'ma'dan'dao
片甲不回,pian'jia'bu'hui
七兵,qi'bing
七斗星杯象甲联赛,qi'dou'xing'bei'xiang'jia'lian'sai
棋规,qi'gui
棋规交流,qi'gui'jiao'liu
骑河,qi'he
棋理,qi'li
棋例裁决,qi'li'cai'jue
棋联大师,qi'lian'da'shi
起马,qi'ma
起马对挺卒,qi'ma'dui'ting'zu
起马局,qi'ma'ju
弃马十三着,qi'ma'shi'san'zhe
棋评,qi'ping
棋枰,qi'ping
奇趣象棋排局谱,qi'qu'xiang'qi'pai'ju'pu
棋书,qi'shu
弃象陷车,qi'xiang'xian'che
棋协大师,qi'xie'da'shi
启新高尔夫杯全国象棋甲级联赛,qi'xin'gao'er'fu'bei'quan'guo'xiang'qi'jia'ji'lian'sai
起着,qi'zhe
弃子成和,qi'zi'cheng'he
弃子解困,qi'zi'jie'kun
弃子谋子,qi'zi'mou'zi
弃子取势,qi'zi'qu'shi
弃子入局,qi'zi'ru'ju
弃子陷子,qi'zi'xian'zi
弃子战术,qi'zi'zhan'shu
七卒,qi'zu
千里照面,qian'li'zhao'mian
牵制战术,qian'zhi'zhan'shu
巧连成局,qiao'lian'cheng'ju
屈头屏风马,qu'tou'ping'feng'ma
权衡缓急,quan'heng'huan'ji
三兵,san'bing
三车闹士,san'che'nao'shi
三顾草庐,san'gu'cao'lu
三级棋士,san'ji'qi'shi
三仙炼丹,san'xian'lian'dan
三卒,san'zu
杀法,sha'fa
杀棋,sha'qi
杀着,sha'zhe
闪露,shan'lu
上海金外滩,shang'hai'jin'wai'tan
尚威,shang'wei
舍小救大,she'xiao'jiu'da
审局,shen'ju
审局度势,shen'ju'du'shi
申鹏,shen'peng
审势,shen'shi
神州八骏,shen'zhou'ba'jun
审子,shen'zi
胜定,sheng'ding
胜势,sheng'shi
士角炮,shi'jiao'pao
士角炮对起马局,shi'jiao'pao'dui'qi'ma'ju
士角炮对挺卒,shi'jiao'pao'dui'ting'zu
事林广记,shi'lin'guang'ji
士六进五,shi'liu'jin'wu
适情雅趣,shi'qing'ya'qu
适情雅趣象棋古谱新编,shi'qing'ya'qu'xiang'qi'gu'pu'xin'bian
士四进五,shi'si'jin'wu
士五进六,shi'wu'jin'liu
士五进四,shi'wu'jin'si
士五退六,shi'wu'tui'liu
士五退四,shi'wu'tui'si
实用残局,shi'yong'can'ju
实战中的误区,shi'zhan'zhong'de'wu'qu
失子得势,shi'zi'de'shi
失子失势,shi'zi'shi'shi
数闲,shu'xian
帅六进一,shuai'liu'jin'yi
帅六平五,shuai'liu'ping'wu
帅六退一,shuai'liu'tui'yi
帅四进一,shuai'si'jin'yi
帅四平五,shuai'si'ping'wu
帅四退一,shuai'si'tui'yi
帅五进一,shuai'wu'jin'yi
帅五平六,shuai'wu'ping'liu
帅五平四,shuai'wu'ping'si
帅五退一,shuai'wu'tui'yi
栓链,shuan'lian
拴链困敌,shuan'lian'kun'di
双杯献酒,shuang'bei'xian'jiu
双车错,shuang'che'cuo
双将,shuang'jiang
双敬酒,shuang'jing'jiu
双马饮泉,shuang'ma'yin'quan
双炮过河,shuang'pao'guo'he
双弃兵,shuang'qi'bing
双闲酒杯,shuang'xian'jiu'bei
顺炮,shun'pao
顺炮横车对直车,shun'pao'heng'che'dui'zhi'che
顺炮直车边马对缓开车,shun'pao'zhi'che'bian'ma'dui'huan'kai'che
顺炮直车对横车,shun'pao'zhi'che'dui'heng'che
顺炮直车对缓开车,shun'pao'zhi'che'dui'huan'kai'che
顺炮直车进七兵对缓开车,shun'pao'zhi'che'jin'qi'bing'dui'huan'kai'che
顺炮直车五六炮对横车,shun'pao'zhi'che'wu'liu'pao'dui'heng'che
顺手炮,shun'shou'pao
四车相见,si'che'xiang'jian
丝线牵牛,si'xian'qian'niu
送吃,song'chi
算度深远,suan'du'shen'yuan
孙勇征,sun'yong'zheng
锁喉带箭,suo'hou'dai'jian
太监追皇帝,tai'jian'zhui'huang'di
陶汉明,tao'han'ming
韬略元机,tao'lue'yuan'ji
特级大师,te'ji'da'shi
特级大师象棋实战布局,te'ji'da'shi'xiang'qi'shi'zhan'bu'ju
特级国际大师,te'ji'guo'ji'da'shi
提吃,ti'chi
天地炮,tian'di'pao
铁门栓,tie'men'shuan
贴身车,tie'shen'che
贴时竞叫,tie'shi'jing'jiao
挺兵,ting'bing
挺兵对还中炮,ting'bing'dui'hai'zhong'pao
挺兵对金钩炮,ting'bing'dui'jin'gou'pao
挺兵对进马,ting'bing'dui'jin'ma
挺兵对起马,ting'bing'dui'qi'ma
停着,ting'zhe
挺卒,ting'zu
同线车,tong'xian'che
突破战术,tu'po'zhan'shu
退象,tui'xiang
万春林,wan'chun'lin
王斌,wang'bin
王嘉良,wang'jia'liang
王孔兴,wang'kong'xing
王琳娜,wang'lin'na
汪洋,wang'yang
王跃飞,wang'yue'fei
围困,wei'kun
稳步缓攻,wen'bu'huan'gong
卧槽,wo'cao
卧槽马,wo'cao'ma
窝心马,wo'xin'ma
窝心炮,wo'xin'pao
五八炮对屏风马,wu'ba'pao'dui'ping'feng'ma
五八炮进三兵对屏风马,wu'ba'pao'jin'san'bing'dui'ping'feng'ma
五八炮进正马对屏风马,wu'ba'pao'jin'zheng'ma'dui'ping'feng'ma
无根子,wu'gen'zi
武俊强,wu'jun'qiang
五六炮,wu'liu'pao
五六炮对反宫马,wu'liu'pao'dui'fan'gong'ma
五七炮对反宫马,wu'qi'pao'dui'fan'gong'ma
五七炮对屏风马,wu'qi'pao'dui'ping'feng'ma
五七炮双弃兵对反宫马,wu'qi'pao'shuang'qi'bing'dui'fan'gong'ma
伍霞,wu'xia
五羊杯,wu'yang'bei
袭其不备,xi'qi'bu'bei
厦门港务控股,xia'men'gang'wu'kong'gu
先负,xian'fu
先弃后取,xian'qi'hou'qu
仙人指路,xian'ren'zhi'lu
仙人指路对金钩炮,xian'ren'zhi'lu'dui'jin'gou'pao
仙人指路对卒底炮,xian'ren'zhi'lu'dui'zu'di'pao
仙人指路对卒底炮飞左象,xian'ren'zhi'lu'dui'zu'di'pao'fei'zuo'xiang
仙人指路对卒底炮上马,xian'ren'zhi'lu'dui'zu'di'pao'shang'ma
先胜,xian'sheng
闲着,xian'zhe
相九进七,xiang'jiu'jin'qi
相九退七,xiang'jiu'tui'qi
象棋残局新论,xiang'qi'can'ju'xin'lun
相七进九,xiang'qi'jin'jiu
相七进五,xiang'qi'jin'wu
象棋棋例与待判局面的裁决,xiang'qi'qi'li'yu'dai'pan'ju'mian'de'cai'jue
象棋史话,xiang'qi'shi'hua
象棋世家,xiang'qi'shi'jia
象棋十诀,xiang'qi'shi'jue
象棋实战精妙杀法例,xiang'qi'shi'zhan'jing'miao'sha'fa'li
相七退五,xiang'qi'tui'wu
象棋形势判断,xiang'qi'xing'shi'pan'duan
象棋业余贰级,xiang'qi'ye'yu'er'ji
象棋业余陆级,xiang'qi'ye'yu'lu'ji
象棋业余叁级,xiang'qi'ye'yu'san'ji
象棋业余肆级,xiang'qi'ye'yu'si'ji
象棋业余伍级,xiang'qi'ye'yu'wu'ji
象棋业余壹级,xiang'qi'ye'yu'yi'ji
象棋中局杀势,xiang'qi'zhong'ju'sha'shi
相三进五,xiang'san'jin'wu
相三进一,xiang'san'jin'yi
相三退五,xiang'san'tui'wu
相三退一,xiang'san'tui'yi
相五进七,xiang'wu'jin'qi
相五进三,xiang'wu'jin'san
相五退七,xiang'wu'tui'qi
相五退三,xiang'wu'tui'san
相一进三,xiang'yi'jin'san
相一退三,xiang'yi'tui'san
谢靖,xie'jing
谢岿,xie'kui
谢思明,xie'si'ming
谢业枧,xie'ye'jian
心武残编,xin'wu'can'bian
行棋处理,xing'qi'chu'li
胸有全局,xiong'you'quan'ju
徐超,xu'chao
徐健秒,xu'jian'miao
徐天红,xu'tian'hong
徐天利,xu'tian'li
许银川,xu'yin'chuan
许银川中残局精华,xu'yin'chuan'zhong'can'ju'jing'hua
选机突破,xuan'ji'tu'po
薛文强,xue'wen'qiang
巡河炮,xun'he'pao
颜成龙,yan'cheng'long
言穆江,yan'mu'jiang
阎文清,yan'wen'qing
羊肠九曲,yang'chang'jiu'qu
杨德琪,yang'de'qi
杨官璘,yang'guan'lin
羊角士,yang'jiao'shi
杨小平,yang'xiao'ping
要杀,yao'sha
一打一闲,yi'da'yi'xian
以攻坏攻,yi'gong'huai'gong
已过河兵,yi'guo'he'bing
以缓制急,yi'huan'zhi'ji
一级棋士,yi'ji'qi'shi
一将一杀,yi'jiang'yi'sha
一将一捉,yi'jiang'yi'zhuo
以静制动,yi'jing'zhi'dong
以快打慢,yi'kuai'da'man
弈林精华,yi'lin'jing'hua
弈林新编,yi'lin'xin'bian
弈林雄狮,yi'lin'xiong'shi
一杀一捉,yi'sha'yi'zhuo
一矢双雕,yi'shi'shuang'diao
弈天,yi'tian
以稳对稳,yi'wen'dui'wen
一着两用,yi'zhao'liang'yong
因敌变化,yin'di'bian'hua
应着,ying'zhe
用时制度,yong'shi'zhi'du
有根子,you'gen'zi
宇兵,yu'bing
寓守于攻,yu'shou'yu'gong
于幼华,yu'you'hua
袁洪梁,yuan'hong'liang
渊深海阔,yuan'shen'hai'kuo
原位卒,yuan'wei'zu
鸳鸯炮,yuan'yang'pao
运调,yun'tiao
允许着法,yun'xu'zhe'fa
运子得子,yun'zi'de'zi
运子夺先,yun'zi'duo'xian
运子合击,yun'zi'he'ji
运子解困,yun'zi'jie'kun
运子取势,yun'zi'qu'shi
运子入局,yun'zi'ru'ju
运子战术,yun'zi'zhan'shu
占据要道,zhan'ju'yao'dao
占肋,zhan'lei
张国凤,zhang'guo'feng
张江,zhang'jiang
张强,zhang'qiang
张申宏,zhang'shen'hong
张影富,zhang'ying'fu
照将,zhao'jiang
赵庆阁,zhao'qing'ge
赵汝权,zhao'ru'quan
赵鑫鑫,zhao'xin'xin
赵寅,zhao'yin
浙江球冠,zhe'jiang'qiu'guan
着中有数,zhe'zhong'you'shu
正头车,zheng'tou'che
郑一泓,zheng'yi'hong
智弈棋评,zhi'yi'qi'ping
智弈象棋论坛,zhi'yi'xiang'qi'lun'tan
中宫炮,zhong'gong'pao
中国甘肃通信移动,zhong'guo'gan'su'tong'xin'yi'dong
中国象棋兵法种,zhong'guo'xiang'qi'bing'fa'zhong
中国象棋教科书,zhong'guo'xiang'qi'jiao'ke'shu
中国象棋入门与提高问答,zhong'guo'xiang'qi'ru'men'yu'ti'gao'wen'da
中局成杀,zhong'ju'cheng'sha
中局得子,zhong'ju'de'zi
中局夺先,zhong'ju'duo'xian
中局谋和,zhong'ju'mou'he
中局占优,zhong'ju'zhan'you
中盘搏杀,zhong'pan'bo'sha
重炮,zhong'pao
中炮,zhong'pao
中炮对半途列炮,zhong'pao'dui'ban'tu'lie'pao
中炮对补士敛炮,zhong'pao'dui'bu'shi'lian'pao
中炮对单提马,zhong'pao'dui'dan'ti'ma
中炮对叠炮,zhong'pao'dui'die'pao
中炮对反宫马,zhong'pao'dui'fan'gong'ma
中炮对龟背炮,zhong'pao'dui'gui'bei'pao
中炮对横车敛炮,zhong'pao'dui'heng'che'lian'pao
中炮对三步虎转列炮,zhong'pao'dui'san'bu'hu'zhuan'lie'pao
中炮对右三步虎,zhong'pao'dui'you'san'bu'hu
中炮对鸳鸯炮,zhong'pao'dui'yuan'yang'pao
中炮对左中炮转列炮,zhong'pao'dui'zuo'zhong'pao'zhuan'lie'pao
中炮过河车边马对屏风马左马盘河,zhong'pao'guo'he'che'bian'ma'dui'ping'feng'ma'zuo'ma'pan'he
中炮过河车对屏风马高车保马,zhong'pao'guo'he'che'dui'ping'feng'ma'gao'che'bao'ma
中炮过和车对屏风马横车,zhong'pao'guo'he'che'dui'ping'feng'ma'heng'che
中炮过河车对屏风马平炮兑车,zhong'pao'guo'he'che'dui'ping'feng'ma'ping'pao'dui'che
中炮过河车对屏风马上士象,zhong'pao'guo'he'che'dui'ping'feng'ma'shang'shi'xiang
中炮过河车对屏风马左马盘河,zhong'pao'guo'he'che'dui'ping'feng'ma'zuo'ma'pan'he
中炮过河车急进中兵对屏风马平炮兑车,zhong'pao'guo'he'che'ji'jin'zhong'bing'dui'ping'feng'ma'ping'pao'dui'che
中炮过河车进中兵对屏风马两头蛇,zhong'pao'guo'he'che'jin'zhong'bing'dui'ping'feng'ma'liang'tou'she
中炮过河车七路马对屏风马平炮兑车,zhong'pao'guo'he'che'qi'lu'ma'dui'ping'feng'ma'ping'pao'dui'che
中炮过河车正马对屏风马两头蛇,zhong'pao'guo'he'che'zheng'ma'dui'ping'feng'ma'liang'tou'she
中炮横车对反宫马,zhong'pao'heng'che'dui'fan'gong'ma
中炮横车盘头马对屏风马,zhong'pao'heng'che'pan'tou'ma'dui'ping'feng'ma
中炮横车七路马对屏风马,zhong'pao'heng'che'qi'lu'ma'dui'ping'feng'ma
中炮进七兵过河车对反宫马,zhong'pao'jin'qi'bing'guo'he'che'dui'fan'gong'ma
中炮七路马对三步虎转列炮,zhong'pao'qi'lu'ma'dui'san'bu'hu'zhuan'lie'pao
中炮巡河炮对反宫马,zhong'pao'xun'he'pao'dui'fan'gong'ma
中炮巡河炮对屏风马三步虎,zhong'pao'xun'he'pao'dui'ping'feng'ma'san'bu'hu
中炮直车对屏风马卒河口炮,zhong'pao'zhi'che'dui'ping'feng'ma'zu'he'kou'pao
中炮直车对左炮封车转半途列炮,zhong'pao'zhi'che'dui'zuo'pao'feng'che'zhuan'ban'tu'lie'pao
中炮直车七路马对屏风马双炮过河,zhong'pao'zhi'che'qi'lu'ma'dui'ping'feng'ma'shuang'pao'guo'he
中原五豹,zhong'yuan'wu'bao
中卒,zhong'zu
朱琮思,zhu'cong'si
竹香斋,zhu'xiang'zhai
庄玉庭,zhuang'yu'ting
自来出洞无敌手象棋古谱新编,zi'lai'chu'dong'wu'di'shou'xiang'qi'gu'pu'xin'bian
子力价值,zi'li'jia'zhi
阻碍敌军,zu'ai'di'jun
阻挡,zu'dang
卒底炮,zu'di'pao
卒林线,zu'lin'xian
做杀,zuo'sha
左士角炮,zuo'shi'jiao'pao
左文静,zuo'wen'jing
左中炮,zuo'zhong'pao
