白虎通义,bai'hu'tong'yi
抱朴子,bao'pu'zi
备急千金要方,bei'ji'qian'jin'yao'fang
丙丁龟鉴,bing'ding'gui'jian
冰鉴,bing'jian
兵要望江南,bing'yao'wang'jiang'nan
卜林,bo'lin
卜筮书,bo'shi'shu
卜葬书,bo'zang'shu
巢氏病源补养宣导法,chao'shi'bing'yuan'bu'yang'xuan'dao'fa
陈先生内丹诀,chen'xian'sheng'nei'dan'jue
陈虚白规中指南,chen'xu'bai'gui'zhong'zhi'nan
重阳立教十五论,chong'yang'li'jiao'shi'wu'lun
春秋繁露,chun'qiu'fan'lu
催官篇,cui'guan'pian
翠虚篇,cui'xu'pian
存神固气论,cun'shen'gu'qi'lun
大丹直指,da'dan'zhi'zhi
大洞玉经,da'dong'yu'jing
丹房奥论,dan'fang'ao'lun
丹房鉴源,dan'fang'jian'yuan
丹房须知,dan'fang'xu'zhi
道德经,dao'de'jing
道典论,dao'dian'lun
道法会元,dao'fa'hui'yuan
道贯真源,dao'guan'zhen'yuan
道枢,dao'shu
导引图,dao'yin'tu
道藏,dao'zang
登真隐诀,deng'zhen'yin'jue
地理大全,di'li'da'quan
地理总括,di'li'zong'kuo
洞仙传,dong'xian'chuan
东周玺印卦画,dong'zhou'xi'yin'gua'hua
遁甲符应经,dun'jia'fu'ying'jing
遁甲演义,dun'jia'yan'yi
发病书,fa'bing'shu
发微论,fa'wei'lun
范围数,fan'wei'shu
房内,fang'nei
凤家坡铜甗卦画,feng'jia'po'tong'yan'gua'hua
浮黎鼻祖金华秘诀,fu'li'bi'zu'jin'hua'mi'jue
服气精义论,fu'qi'jing'yi'lun
阜阳汉简周易,fu'yang'han'jian'zhou'yi
甘石星经,gan'shi'xing'jing
庚道集,geng'dao'ji
古今图书集成,gu'jin'tu'shu'ji'cheng
古微书,gu'wei'shu
古文龙虎经,gu'wen'long'hu'jing
古仙导引按摩法,gu'xian'dao'yin'an'mo'fa
管公明卜要诀,guan'gong'ming'bo'yao'jue
关尹子,guan'yin'zi
广成子解,guang'cheng'zi'jie
归藏,gui'cang
贵贱定格五行相书,gui'jian'ding'ge'wu'xing'xiang'shu
鬼容区,gui'rong'qu
果老星宗,guo'lao'xing'zong
还丹复命篇,hai'dan'fu'ming'pian
撼龙经,han'long'jing
鸿宝枕中书,hong'bao'zhen'zhong'shu
洪范皇极内外篇,hong'fan'huang'ji'nei'wai'pian
淮南鸿宝万毕,huai'nan'hong'bao'wan'bi
还原篇,huan'yuan'pian
黄帝长柳占梦,huang'di'chang'liu'zhan'meng
黄帝九鼎神丹经诀,huang'di'jiu'ding'shen'dan'jing'jue
黄帝阴符经,huang'di'yin'fu'jing
黄帝阴符经夹颂解注,huang'di'yin'fu'jing'jia'song'jie'zhu
皇极经世书,huang'ji'jing'shi'shu
皇天上清金阙帝君灵书紫文上经,huang'tian'shang'qing'jin'que'di'jun'ling'shu'zi'wen'shang'jing
混俗颐生录,hun'su'yi'sheng'lu
火记,huo'ji
火珠林,huo'zhu'lin
纪梦要览,ji'meng'yao'lan
济一子道书,ji'yi'zi'dao'shu
金丹大要,jin'dan'da'yao
金丹要诀,jin'dan'yao'jue
金锁流珠引,jin'suo'liu'zhu'yin
金液还丹印证图,jin'ye'hai'dan'yin'zheng'tu
京房易传,jing'fang'yi'chuan
京房易飞候,jing'fang'yi'fei'hou
京房易妖占,jing'fang'yi'yao'zhan
京氏易传,jing'shi'yi'chuan
九鼎丹法,jiu'ding'dan'fa
九天玄妙课,jiu'tian'xuan'miao'ke
九星穴法,jiu'xing'xue'fa
军占杂事,jun'zhan'za'shi
开元占经,kai'yuan'zhan'jing
历世真仙体道通鉴,li'shi'zhen'xian'ti'dao'tong'jian
李虚中命书,li'xu'zhong'ming'shu
连山,lian'shan
列仙传,lie'xian'chuan
灵宝玉鉴,ling'bao'yu'jian
灵城精义,ling'cheng'jing'yi
灵飞经,ling'fei'jing
灵棋经,ling'qi'jing
六壬毕法赋,liu'ren'bi'fa'fu
六壬大全,liu'ren'da'quan
六壬大占,liu'ren'da'zhan
六壬开云观月经,liu'ren'kai'yun'guan'yue'jing
六壬心镜要,liu'ren'xin'jing'yao
柳庄相法,liu'zhuang'xiang'fa
龙虎还丹诀,long'hu'hai'dan'jue
珞琭子三命消息赋注,luo'lu'zi'san'ming'xiao'xi'fu'zhu
吕氏春秋,lv'shi'chun'qiu
麻衣相法,ma'yi'xiang'fa
梦林元解,meng'lin'yuan'jie
孟氏易,meng'shi'yi
梦占逸旨,meng'zhan'yi'zhi
秘记,mi'ji
秘经,mi'jing
墨子五行记,mo'zi'wu'xing'ji
内功图说,nei'gong'tu'shuo
鸟情杂占,niao'qing'za'zhan
披肝露胆经,pi'gan'lu'dan'jing
破迷正道歌,po'mi'zheng'dao'ge
奇门遁甲赋,qi'men'dun'jia'fu
七星人命属法,qi'xing'ren'ming'shu'fa
七曜历日,qi'yao'li'ri
潜夫论,qian'fu'lun
钤诀,qian'jue
潜虚,qian'xu
签易,qian'yi
青囊奥语,qing'nang'ao'yu
清微丹诀,qing'wei'dan'jue
却谷食气篇,que'gu'shi'qi'pian
人伦大统赋,ren'lun'da'tong'fu
日书,ri'shu
容成阴道,rong'cheng'yin'dao
三洞群仙录,san'dong'qun'xian'lu
三洞神符记,san'dong'shen'fu'ji
三皇文,san'huang'wen
三命通会,san'ming'tong'hui
三命指迷赋,san'ming'zhi'mi'fu
三元延寿参赞书,san'yuan'yan'shou'can'zan'shu
山法全书,shan'fa'quan'shu
山海经,shan'hai'jing
上清大洞真经,shang'qing'da'dong'zhen'jing
上清黄庭内景经,shang'qing'huang'ting'nei'jing'jing
上清灵宝大法,shang'qing'ling'bao'da'fa
上清太玄九阳图,shang'qing'tai'xuan'jiu'yang'tu
上清握中诀,shang'qing'wo'zhong'jue
上下经卦变歌,shang'xia'jing'gua'bian'ge
上下经卦名次序歌,shang'xia'jing'gua'ming'ci'xu'ge
烧饼歌,shao'bing'ge
摄生三要,she'sheng'san'yao
摄生要义,she'sheng'yao'yi
摄生纂录,she'sheng'zuan'lu
神机相字法,shen'ji'xiang'zi'fa
神仙保气金柜妙录,shen'xian'bao'qi'jin'gui'miao'lu
神仙传,shen'xian'chuan
神仙丹诀,shen'xian'dan'jue
神相金较剪,shen'xiang'jin'jiao'jian
神相全编,shen'xiang'quan'bian
神相铁关刀,shen'xiang'tie'guan'dao
石氏星经,shi'shi'xing'jing
石药尔雅,shi'yao'er'ya
嵩山太无先生气经,song'shan'tai'wu'xian'sheng'qi'jing
孙不二元君传述丹道秘书,sun'bu'er'yuan'jun'chuan'shu'dan'dao'mi'shu
孙不二元君法语,sun'bu'er'yuan'jun'fa'yu
太极图说,tai'ji'tu'shuo
太平经圣君秘旨,tai'ping'jing'sheng'jun'mi'zhi
