阿里不哥,a'li'bu'ge
阿速温和吉八,a'su'wen'he'ji'ba
哀平帝,ai'ping'di
哀王,ai'wang
爱育黎拔力八达,ai'yu'li'ba'li'ba'da
哀宗,ai'zong
安德王,an'de'wang
安定王,an'ding'wang
白龙,bai'long
白雀,bai'que
白元,bai'yuan
保大,bao'da
保定,bao'ding
鲍革,bao'ge
宝历,bao'li
保宁,bao'ning
宝庆,bao'qing
宝义,bao'yi
宝应,bao'ying
北朝,bei'chao
北海王,bei'hai'wang
北汉,bei'han
北凉,bei'liang
北齐,bei'qi
北宋,bei'song
北魏,bei'wei
北燕,bei'yan
北周,bei'zhou
本初,ben'chu
本始,ben'shi
辟兵,bi'bing
伯阳,bo'yang
不降,bu'jiang
不寿,bu'shou
蔡哀侯,cai'ai'hou
蔡伯荒,cai'bo'huang
蔡成侯,cai'cheng'hou
蔡戴侯,cai'dai'hou
蔡悼侯,cai'dao'hou
蔡共侯,cai'gong'hou
蔡宫侯,cai'gong'hou
蔡桓侯,cai'huan'hou
蔡景侯,cai'jing'hou
蔡厉侯,cai'li'hou
蔡灵侯,cai'ling'hou
蔡穆侯,cai'mu'hou
蔡平侯,cai'ping'hou
蔡叔度,cai'shu'du
蔡文侯,cai'wen'hou
蔡武侯,cai'wu'hou
蔡僖侯,cai'xi'hou
蔡宣侯,cai'xuan'hou
蔡夷侯,cai'yi'hou
蔡昭侯,cai'zhao'hou
蔡仲,cai'zhong
蔡庄侯,cai'zhuang'hou
曹操,cao'cao
曹成公,cao'cheng'gong
曹戴伯,cao'dai'bo
曹悼公,cao'dao'gong
曹芳,cao'fang
曹宫伯,cao'gong'bo
曹共公,cao'gong'gong
曹奂,cao'huan
曹桓公,cao'huan'gong
曹惠公,cao'hui'gong
曹靖公,cao'jing'gong
曹髦,cao'mao
曹穆公,cao'mu'gong
曹丕,cao'pi
曹平公,cao'ping'gong
曹睿,cao'rui
曹叔,cao'shu
曹太伯,cao'tai'bo
曹文公,cao'wen'gong
曹武公,cao'wu'gong
曹僖公,cao'xi'gong
曹襄公,cao'xiang'gong
曹孝伯,cao'xiao'bo
曹宣公,cao'xuan'gong
曹夷伯,cao'yi'bo
曹隐公,cao'yin'gong
曹幽伯,cao'you'bo
曹昭公,cao'zhao'gong
曹仲君,cao'zhong'jun
曹庄公,cao'zhuang'gong
柴荣,chai'rong
柴宗训,chai'zong'xun
长宁侯,chang'ning'hou
昌平,chang'ping
长庆,chang'qing
陈哀公,chen'ai'gong
陈霸先,chen'ba'xian
陈伯宗,chen'bo'zong
陈成公,chen'cheng'gong
陈废帝,chen'fei'di
陈共公,chen'gong'gong
陈后主,chen'hou'zhu
陈胡公,chen'hu'gong
陈怀公,chen'huai'gong
陈桓公,chen'huan'gong
陈惠公,chen'hui'gong
陈厉公,chen'li'gong
陈灵公,chen'ling'gong
陈闵公,chen'min'gong
陈穆公,chen'mu'gong
陈平公,chen'ping'gong
陈蒨,chen'qian
陈慎公,chen'shen'gong
陈申公,chen'shen'gong
陈叔宝,chen'shu'bao
陈文帝,chen'wen'di
陈文公,chen'wen'gong
陈武帝,chen'wu'di
陈武公,chen'wu'gong
陈僖公,chen'xi'gong
陈相公,chen'xiang'gong
陈孝公,chen'xiao'gong
陈顼,chen'xu
陈宣帝,chen'xuan'di
陈宣公,chen'xuan'gong
陈夷公,chen'yi'gong
陈幽公,chen'you'gong
陈庄公,chen'zhuang'gong
成公,cheng'gong
承光,cheng'guang
成汉,cheng'han
成化,cheng'hua
成吉思汗,cheng'ji'si'han
承平,cheng'ping
承圣,cheng'sheng
承天后,cheng'tian'hou
崇福,chong'fu
崇宁,chong'ning
崇祯,chong'zhen
崇宗,chong'zong
楚成王,chu'cheng'wang
楚悼王,chu'dao'wang
出帝,chu'di
楚共王,chu'gong'wang
楚怀王,chu'huai'wang
楚惠王,chu'hui'wang
楚简王,chu'jian'wang
杵臼,chu'jiu
楚康王,chu'kang'wang
楚考烈王,chu'kao'lie'wang
楚灵王,chu'ling'wang
楚穆王,chu'mu'wang
楚平王,chu'ping'wang
楚顷襄王,chu'qing'xiang'wang
楚声王,chu'sheng'wang
楚肃王,chu'su'wang
楚王,chu'wang
楚威王,chu'wei'wang
楚文王,chu'wen'wang
楚武王,chu'wu'wang
楚宣王,chu'xuan'wang
楚幽王,chu'you'wang
初元,chu'yuan
楚昭王,chu'zhao'wang
楚庄王,chu'zhuang'wang
闯王,chuang'wang
大安,da'an
大宝,da'bao
大成,da'cheng
大定,da'ding
大历,da'li
大庆,da'qing
大顺,da'shun
大宋,da'song
大同,da'tong
大统,da'tong
大西,da'xi
大夏,da'xia
大业,da'ye
大中,da'zhong
悼公,dao'gong
道光,dao'guang
道武帝,dao'wu'di
道宗,dao'zong
德昌,de'chang
德祐,de'you
德宗,de'zong
登国,deng'guo
邓祁侯,deng'qi'hou
地节,di'jie
帝喾,di'ku
帝辛,di'xin
帝乙,di'yi
东海王,dong'hai'wang
东汉,dong'han
东昏侯,dong'hun'hou
东晋,dong'jin
东楼公,dong'lou'gong
东魏,dong'wei
东周,dong'zhou
段隨,duan'sui
段业,duan'ye
放勋,fang'xun
废帝,fei'di
冯跋,feng'ba
冯弘,feng'hong
风历,feng'li
夫差,fu'cha
苻崇,fu'chong
苻登,fu'deng
