艾叶青,ai'ye'qing
艾叶青龙兽,ai'ye'qing'long'shou
艾叶青鬃豹,ai'ye'qing'zong'bao
艾叶青鬃马,ai'ye'qing'zong'ma
鳌头狮子雪,ao'tou'shi'zi'xue
八斑癞麒麟,ba'ban'lai'qi'lin
八宝癞麒麟,ba'bao'lai'qi'lin
白骦马,bai'shuang'ma
白玉嘶风马,bai'yu'si'feng'ma
白云马,bai'yun'ma
斑豹马,ban'bao'ma
斑豹铁骅骝,ban'bao'tie'hua'liu
扳肋墨雕,ban'lei'mo'diao
扳肋墨雕透骨龙,ban'lei'mo'diao'tou'gu'long
豹花马,bao'hua'ma
豹尾乌骓马,bao'wei'wu'zhui'ma
抱月乌龙驹,bao'yue'wu'long'ju
抱月乌獬豸,bao'yue'wu'xie'zhi
抱月乌骓马,bao'yue'wu'zhui'ma
抱月循环青鬃乌獬骓,bao'yue'xun'huan'qing'zong'wu'xie'zhui
碧骢驹,bi'cong'ju
碧目雪花驼,bi'mu'xue'hua'tuo
鹁鸪青,bo'gu'qing
草黄马,cao'huang'ma
长脖螳螂兽,chang'bo'tang'lang'shou
超山越影白龙驹,chao'shan'yue'ying'bai'long'ju
赤电驹,chi'dian'ju
赤风马,chi'feng'ma
赤红马,chi'hong'ma
赤狻猊,chi'suan'ni
赤炭火龙驹,chi'tan'huo'long'ju
赤炭胭脂火龙兽,chi'tan'yan'zhi'huo'long'shou
赤炭枣骝驹,chi'tan'zao'liu'ju
赤兔火龙驹,chi'tu'huo'long'ju
赤兔兽,chi'tu'shou
赤兔胭脂兽,chi'tu'yan'zhi'shou
赤烟局,chi'yan'ju
大肚卷毛蝈蝈兽,da'du'juan'mao'guo'guo'shou
登山癞皮兽,deng'shan'lai'pi'shou
登云宝马,deng'yun'bao'ma
点子分青驹,dian'zi'fen'qing'ju
独角粉龙驹,du'jiao'fen'long'ju
独角喷焰兽,du'jiao'pen'yan'shou
独角貔貅兽,du'jiao'pi'xiu'shou
独角兽,du'jiao'shou
独角乌烟兽,du'jiao'wu'yan'shou
反背癞麒麟,fan'bei'lai'qi'lin
飞霜千里驹,fei'shuang'qian'li'ju
飞云骓,fei'yun'zhui
粉腚白龙驹,fen'ding'bai'long'ju
粉腚玉兰驹,fen'ding'yu'lan'ju
粉腚玉龙驹,fen'ding'yu'long'ju
粉麒麟,fen'qi'lin
分水兽,fen'shui'shou
分鬃骥,fen'zong'ji
风雷豹,feng'lei'bao
浮雪乌骓马,fu'xue'wu'zhui'ma
海月清风驹,hai'yue'qing'feng'ju
汗血宝马,han'xue'bao'ma
黑斑豹,hei'ban'bao
黑煞兽,hei'sha'shou
黑鬃马,hei'zong'ma
红毛兽,hong'mao'shou
红砂驹,hong'sha'ju
红砂兽,hong'sha'shou
红鬃马,hong'zong'ma
红鬃兽,hong'zong'shou
虎类豹,hu'lei'bao
花斑豹,hua'ban'bao
花皮疙瘩虎,hua'pi'ge'da'hu
花云豹,hua'yun'bao
獾红马,huan'hong'ma
黄骠马,huang'biao'ma
黄骠透骨龙,huang'biao'tou'gu'long
黄鬃马,huang'zong'ma
黄鬃兽,huang'zong'shou
浑红兽,hun'hong'shou
火骝驹,huo'liu'ju
火炭赤马,huo'tan'chi'ma
火炭马,huo'tan'ma
火眼金睛兽,huo'yan'jin'jing'shou
火焰驹,huo'yan'ju
火云战马,huo'yun'zhan'ma
鸡足爬山兽,ji'zu'pa'shan'shou
姜草黄,jiang'cao'huang
金鸡闪电白龙驹,jin'ji'shan'dian'bai'long'ju
金睛浑红马,jin'jing'hun'hong'ma
金睛墨角兽,jin'jing'mo'jiao'shou
金睛闪电白龙驹,jin'jing'shan'dian'bai'long'ju
金睛小白龙驹,jin'jing'xiao'bai'long'ju
金睛雪花驼,jin'jing'xue'hua'tuo
金睛玉雪卷毛狮子兽,jin'jing'yu'xue'juan'mao'shi'zi'shou
金毛吼,jin'mao'hou
金线白龙驹,jin'xian'bai'long'ju
金眼五花虬,jin'yan'wu'hua'qiu
就地滚龙追,jiu'di'gun'long'zhui
九点花斑豹,jiu'dian'hua'ban'bao
九点菊花豹,jiu'dian'ju'hua'bao
九点菊花马,jiu'dian'ju'hua'ma
九点桃花兽,jiu'dian'tao'hua'shou
九点胭脂兽,jiu'dian'yan'zhi'shou
九顶菊花豹,jiu'ding'ju'hua'bao
菊花青,ju'hua'qing
卷毛吼,juan'mao'hou
卷毛青鬃兽,juan'mao'qing'zong'shou
卷毛狮子踏雪骜,juan'mao'shi'zi'ta'xue'ao
卷毛狮子踏雪乌,juan'mao'shi'zi'ta'xue'wu
卷毛狮子踏雪乌龙驹,juan'mao'shi'zi'ta'xue'wu'long'ju
卷毛狮子踏雪乌骓马,juan'mao'shi'zi'ta'xue'wu'zhui'ma
卷毛狮子乌,juan'mao'shi'zi'wu
卷毛狮子一丈黑,juan'mao'shi'zi'yi'zhang'hei
卷毛乌骓马,juan'mao'wu'zhui'ma
卷毛玉狮子,juan'mao'yu'shi'zi
绝尘驹,jue'chen'ju
靠山雪花骢,kao'shan'xue'hua'cong
立地滚风骓,li'di'gun'feng'zhui
梨花白,li'hua'bai
栗子色,li'zi'se
骝花烈焰驹,liu'hua'lie'yan'ju
芦花战争驹,lu'hua'zhan'zheng'ju
梅花点子马,mei'hua'dian'zi'ma
梅花雪里站,mei'hua'xue'li'zhan
墨顶银河兽,mo'ding'yin'he'shou
