爱龄奇医院,ai'ling'qi'yi'yuan
爱民路,ai'min'lu
艾斯克,ai'si'ke
艾维能源公司,ai'wei'neng'yuan'gong'si
北大桥,bei'da'qiao
北二商店,bei'er'shang'dian
北二小区,bei'er'xiao'qu
北方换热器,bei'fang'huan're'qi
北沟新村,bei'gou'xin'cun
北河小区,bei'he'xiao'qu
北桥,bei'qiao
北三市场,bei'san'shi'chang
北山,bei'shan
北山驾校,bei'shan'jia'xiao
滨河蓝湾,bin'he'lan'wan
滨河新苑,bin'he'xin'yuan
博达公寓,bo'da'gong'yu
步行街,bu'xing'jie
长发村委会,chang'fa'cun'wei'hui
长发供销社,chang'fa'gong'xiao'she
车站,che'zhan
成康路,cheng'kang'lu
春江医院,chun'jiang'yi'yuan
大修厂,da'xiu'chang
党校,dang'xiao
第三高中,di'san'gao'zhong
第四中学,di'si'zhong'xue
第一实验小学,di'yi'shi'yan'xiao'xue
地直街,di'zhi'jie
地直商厦,di'zhi'shang'sha
电视台,dian'shi'tai
东方大厦,dong'fang'da'sha
东方化工厂,dong'fang'hua'gong'chang
东方明珠,dong'fang'ming'zhu
董家店,dong'jia'dian
杜大城,du'da'cheng
二郎山庄,er'lang'shan'zhuang
二里小区,er'li'xiao'qu
二十中,er'shi'zhong
儿童公园,er'tong'gong'yuan
房产大厅,fang'chan'da'ting
房山沟,fang'shan'gou
防疫站,fang'yi'zhan
飞机厂,fei'ji'chang
妇婴医院,fu'ying'yi'yuan
改装厂,gai'zhuang'chang
公安局,gong'an'ju
工程机械,gong'cheng'ji'xie
工交干校,gong'jiao'gan'xiao
工具厂,gong'ju'chang
供销干校,gong'xiao'gan'xiao
公用局,gong'yong'ju
鼓风机,gu'feng'ji
国测,guo'ce
昊华,hao'hua
河夹信子村委会,he'jia'xin'zi'cun'wei'hui
河夹信子大队,he'jia'xin'zi'da'dui
河夹信子五队,he'jia'xin'zi'wu'dui
核桃背,he'tao'bei
宏宝莱,hong'bao'lai
宏升花炮厂,hong'sheng'hua'pao'chang
宏运家园,hong'yun'jia'yuan
红嘴,hong'zui
红嘴钢铁,hong'zui'gang'tie
红嘴经济开发区,hong'zui'jing'ji'kai'fa'qu
华信游泳馆,hua'xin'you'yong'guan
华亿嘉苑,hua'yi'jia'yuan
华展仁兴商厦,hua'zhan'ren'xing'shang'sha
火车站,huo'che'zhan
机场,ji'chang
吉林师大,ji'lin'shi'da
