愛心信心決心,ai'xin'xin'xin'jue'xin
安管,an'guan
安管班,an'guan'ban
案管理工程課,an'guan'li'gong'cheng'ke
安管組,an'guan'qu
安管事務組,an'guan'shi'wu'qu
按鍵維護課,an'jian'wei'hu'ke
按鍵新產品開發開發品質驗証組,an'jian'xin'chan'pin'kai'bo'kai'bo'pin'zhi'yan'zheng'qu
安全,an'quan
安全管理部,an'quan'guan'li'bu
安全管理課,an'quan'guan'li'ke
安全管理組,an'quan'guan'li'qu
安全規劃組,an'quan'gui'hua'qu
安全稽查組,an'quan'ji'cha'qu
安全稽核組,an'quan'ji'he'qu
安全紀律稽查組,an'quan'ji'lv'ji'cha'qu
安全稽組,an'quan'ji'qu
安全組,an'quan'qu
安全義警組,an'quan'yi'jing'qu
安順場組,an'shun'chang'qu
安順廠物料管理組,an'shun'chang'wu'liao'guan'li'qu
八组,ba'zu
班長,ban'chang
半成品倉,ban'cheng'pin'cang
半成品倉儲管理組,ban'cheng'pin'cang'chu'guan'li'qu
半成品及成品不良線,ban'cheng'pin'ji'cheng'pin'bu'liang'xian
半成品及成品存儲線,ban'cheng'pin'ji'cheng'pin'cun'chu'xian
半成品及成品帳務線,ban'cheng'pin'ji'cheng'pin'zhang'wu'xian
半成品組,ban'cheng'pin'qu
鈑金表面加工處理,ban'jin'biao'mian'jia'gong'chu'li
鈑金衝壓操作,ban'jin'chong'ya'cao'zuo
半自動線組立,ban'zi'dong'xian'qu'li
半自動線組立組,ban'zi'dong'xian'qu'li'qu
半自動線設計組,ban'zi'dong'xian'she'ji'qu
包材班,bao'cai'ban
包材備品組,bao'cai'bei'pin'qu
包材采購課,bao'cai'cai'gou'ke
包材采購組,bao'cai'cai'gou'qu
包材採購組,bao'cai'cai'gou'qu
包材倉,bao'cai'cang
包材回收班,bao'cai'hui'shou'ban
包材檢驗組,bao'cai'jian'yan'qu
包材開發組,bao'cai'kai'bo'qu
包材組,bao'cai'qu
包材設計,bao'cai'she'ji
包材設計開發,bao'cai'she'ji'kai'bo
包材物控採購組,bao'cai'wu'kong'cai'gou'qu
包材制造課,bao'cai'zhi'zao'ke
包材制造組,bao'cai'zhi'zao'qu
報廢倉儲課,bao'fa'cang'chu'ke
報廢倉儲組,bao'fa'cang'chu'qu
報廢倉組,bao'fa'cang'qu
報廢回收管理班,bao'fa'hui'shou'guan'li'ban
報價管控與費用分析專案,bao'jia'guan'kong'yu'fei'yong'fen'xi'zhuan'an
報價管理課,bao'jia'guan'li'ke
報價管制課,bao'jia'guan'zhi'ke
報價組,bao'jia'qu
報價業務管理,bao'jia'ye'wu'guan'li
保險作業組,bao'jian'zuo'ye'qu
保潔組,bao'jie'qu
剝墨線,bao'mo'xian
剝漆全檢組,bao'qi'quan'jian'qu
剝漆全檢線,bao'qi'quan'jian'xian
剝漆生產組,bao'qi'sheng'chan'qu
剝漆線,bao'qi'xian
保稅報廢,bao'shui'bao'fa
保稅料件管理組,bao'shui'liao'jian'guan'li'qu
保稅料件專案,bao'shui'liao'jian'zhuan'an
保稅設備管理組,bao'shui'she'bei'guan'li'qu
保稅物料報廢倉,bao'shui'wu'liao'bao'fa'cang
保稅物料管理組,bao'shui'wu'liao'guan'li'qu
保稅物料管制組,bao'shui'wu'liao'guan'zhi'qu
保稅物料組,bao'shui'wu'liao'qu
報文組,bao'wen'qu
保養工安組,bao'yang'gong'an'qu
保養校正,bao'yang'jiao'zheng
保養組,bao'yang'qu
保養整改組,bao'yang'zheng'gai'qu
包裝,bao'zhuang
包裝工程課,bao'zhuang'gong'cheng'ke
包裝工程組,bao'zhuang'gong'cheng'qu
包裝課,bao'zhuang'ke
包裝鉚合課,bao'zhuang'mao'he'ke
包裝組,bao'zhuang'qu
包裝設計課,bao'zhuang'she'ji'ke
包裝生產,bao'zhuang'sheng'chan
包裝線,bao'zhuang'xian
包裝線請幫忙刪除,bao'zhuang'xian'qing'bang'mang'shan'chu
備案核銷課,bei'an'he'xiao'ke
備案核銷組,bei'an'he'xiao'qu
備案組,bei'an'qu
備發料線,bei'bo'liao'xian
被動元件採購組,bei'dong'yuan'jian'cai'gou'qu
被動元件課,bei'dong'yuan'jian'ke
北富,bei'fu
北富採購部,bei'fu'cai'gou'bu
北富采購課,bei'fu'cai'gou'ke
北富採購課,bei'fu'cai'gou'ke
北富財會資訊部,bei'fu'cai'hui'zi'xun'bu
北富財務部,bei'fu'cai'wu'bu
北富廠區,bei'fu'chang'ou
北富會計部,bei'fu'hui'ji'bu
北富收貨管理中心,bei'fu'shou'huo'guan'li'zhong'xin
北富總經辦分部,bei'fu'zong'jing'ban'fen'bu
北京,bei'jing
北京廠區,bei'jing'chang'ou
北京廠區管理中心,bei'jing'chang'ou'guan'li'zhong'xin
北京關務經管組,bei'jing'guan'wu'jing'guan'qu
北京人力資源,bei'jing'ren'li'zi'yuan
北京三務辦,bei'jing'san'wu'ban
北京商務辦,bei'jing'shang'wu'ban
北京主機板制造處,bei'jing'zhu'ji'ban'zhi'zao'chu
備料組,bei'liao'qu
備品班,bei'pin'ban
備品管理,bei'pin'guan'li
備品管理班,bei'pin'guan'li'ban
備品管理組,bei'pin'guan'li'qu
備品管理線,bei'pin'guan'li'xian
備品組,bei'pin'qu
備品室,bei'pin'shi
備品室組,bei'pin'shi'qu
備品文件組,bei'pin'wen'jian'qu
備品帳務組,bei'pin'zhang'wu'qu
本地戶籍,ben'di'hu'ji
本科,ben'ke
表加課,biao'jia'ke
表加組,biao'jia'qu
表加生管組,biao'jia'sheng'guan'qu
表面處理,biao'mian'chu'li
表面處理產工二部,biao'mian'chu'li'chan'gong'er'bu
表面處理產工一部,biao'mian'chu'li'chan'gong'yi'bu
表面處理廠,biao'mian'chu'li'chang
表面處理工程,biao'mian'chu'li'gong'cheng
表面處理加工部,biao'mian'chu'li'jia'gong'bu
表面處理課,biao'mian'chu'li'ke
表面處理品工課,biao'mian'chu'li'pin'gong'ke
表面處理品管課,biao'mian'chu'li'pin'guan'ke
表面工藝處理組,biao'mian'gong'yi'chu'li'qu
表面技術開發部,biao'mian'ji'shu'kai'bo'bu
表面技朮品工,biao'mian'ji'shu'pin'gong
表面技朮品質工程課,biao'mian'ji'shu'pin'zhi'gong'cheng'ke
表面加工廠,biao'mian'jia'gong'chang
表面加工課,biao'mian'jia'gong'ke
表面加工品管課,biao'mian'jia'gong'pin'guan'ke
表面加工品管組,biao'mian'jia'gong'pin'guan'qu
表面加工生產部,biao'mian'jia'gong'sheng'chan'bu
表面開發課,biao'mian'kai'bo'ke
表面品工課,biao'mian'pin'gong'ke
表面品工組,biao'mian'pin'gong'qu
表面品管,biao'mian'pin'guan
表面品管課,biao'mian'pin'guan'ke
表面全檢線,biao'mian'quan'jian'xian
表面設備課,biao'mian'she'bei'ke
表面生管組,biao'mian'sheng'guan'qu
表面生技,biao'mian'sheng'ji
表面特加生管課,biao'mian'te'jia'sheng'guan'ke
表面特加生技課,biao'mian'te'jia'sheng'ji'ke
表面性能測試,biao'mian'xing'neng'ce'shi
表面整修作業,biao'mian'zheng'xiu'zuo'ye
表面製程製造處,biao'mian'zhi'cheng'zhi'zao'chu
