巴黎金融市场,ba'li'jin'rong'shi'chang
巴黎证券交易所,ba'li'zheng'quan'jiao'yi'suo
拆借市场,chai'jie'shi'chang
长期金融市场,chang'qi'jin'rong'shi'chang
持股公司,chi'gu'gong'si
道琼斯股票价格平均数,dao'qiong'si'gu'piao'jia'ge'ping'jun'shu
抵押债券,di'ya'zhai'quan
垫头交易,dian'tou'jiao'yi
定期股票,ding'qi'gu'piao
东京金融市场,dong'jing'jin'rong'shi'chang
短期金融市场,duan'qi'jin'rong'shi'chang
二级市场,er'ji'shi'chang
法兰克福金融市场,fa'lan'ke'fu'jin'rong'shi'chang
公股,gong'gu
公开招股公司,gong'kai'zhao'gu'gong'si
公募,gong'mu
公司债券,gong'si'zhai'quan
股东,gu'dong
股份不公开公司,gu'fen'bu'gong'kai'gong'si
股票,gu'piao
股票过户,gu'piao'guo'hu
股票价格,gu'piao'jia'ge
股票价格指数,gu'piao'jia'ge'zhi'shu
股票交割,gu'piao'jiao'ge
股票控制额,gu'piao'kong'zhi'e
股票内幕交易,gu'piao'nei'mu'jiao'yi
股票期货交易,gu'piao'qi'huo'jiao'yi
股票市场,gu'piao'shi'chang
股票投机,gu'piao'tou'ji
股票现货交易,gu'piao'xian'huo'jiao'yi
股票指数期货交易,gu'piao'zhi'shu'qi'huo'jiao'yi
股息,gu'xi
关联公司,guan'lian'gong'si
国际保险市场,guo'ji'bao'xian'shi'chang
国际货币市场,guo'ji'huo'bi'shi'chang
国际金融市场,guo'ji'jin'rong'shi'chang
国际债券,guo'ji'zhai'quan
国际资本市场,guo'ji'zi'ben'shi'chang
国际资金市场,guo'ji'zi'jin'shi'chang
恒生指数,heng'sheng'zhi'shu
红利,hong'li
黄金市场,huang'jin'shi'chang
黄金证券,huang'jin'zheng'quan
货币市场,huo'bi'shi'chang
间接金融,jian'jie'jin'rong
剪息票,jian'xi'piao
借贷资本市场,jie'dai'zi'ben'shi'chang
金边证券,jin'bian'zheng'quan
金融深化,jin'rong'shen'hua
金融市场,jin'rong'shi'chang
金融压制,jin'rong'ya'zhi
金融债券,jin'rong'zhai'quan
金融中心,jin'rong'zhong'xin
金融自由化,jin'rong'zi'you'hua
开盘,kai'pan
可兑换债券,ke'dui'huan'zhai'quan
垃圾债券,la'ji'zhai'quan
卢森堡金融市场,lu'sen'bao'jin'rong'shi'chang
伦敦金融市场,lun'dun'jin'rong'shi'chang
伦敦证券交易所,lun'dun'zheng'quan'jiao'yi'suo
买空卖空,mai'kong'mai'kong
牛市,niu'shi
纽约金融市场,niu'yue'jin'rong'shi'chang
纽约证券交易所,niu'yue'zheng'quan'jiao'yi'suo
欧洲货币市场,ou'zhou'huo'bi'shi'chang
欧洲美元,ou'zhou'mei'yuan
欧洲美元市场,ou'zhou'mei'yuan'shi'chang
欧洲债券,ou'zhou'zhai'quan
票据经纪商,piao'ju'jing'ji'shang
普通股,pu'tong'gu
期权交易,qi'quan'jiao'yi
企业债券,qi'ye'zhai'quan
上市证券,shang'shi'zheng'quan
商业证券,shang'ye'zheng'quan
收盘,shou'pan
收益债券,shou'yi'zhai'quan
私募,si'mu
苏黎世金融市场,su'li'shi'jin'rong'shi'chang
同业拆借市场,tong'ye'chai'jie'shi'chang
外国债券,wai'guo'zhai'quan
外汇市场,wai'hui'shi'chang
无记名债券,wu'ji'ming'zhai'quan
香港金融市场,xiang'gang'jin'rong'shi'chang
新加坡金融市场,xin'jia'po'jin'rong'shi'chang
信用债券,xin'yong'zhai'quan
熊市,xiong'shi
亚洲美元,ya'zhou'mei'yuan
亚洲美元市场,ya'zhou'mei'yuan'shi'chang
一级市场,yi'ji'shi'chang
永久债券,yong'jiu'zhai'quan
有价证券,you'jia'zheng'quan
有价证券行市,you'jia'zheng'quan'hang'shi
优先股,you'xian'gu
债券,zhai'quan
债券评级,zhai'quan'ping'ji
政府债券,zheng'fu'zhai'quan
证券,zheng'quan
证券交易所,zheng'quan'jiao'yi'suo
证券经销,zheng'quan'jing'xiao
证券市场,zheng'quan'shi'chang
直接金融,zhi'jie'jin'rong
资本市场,zi'ben'shi'chang
资金市场,zi'jin'shi'chang
