阿扎,a'zha
扒了窝,ba'le'wo
壁蛇子,bi'she'zi
鳖腥,bie'xing
憋仔子,bie'zi'zi
博脆,bo'cui
搏命,bo'ming
钵子,bo'zi
嘈哦,cao'o
差嗲子,cha'dia'zi
炒角,chao'jiao
吃价,chi'jia
戳打木娘,chuo'da'mu'niang
戳搭西,chuo'da'xi
撮及,cuo'ji
错骂,cuo'ma
搓曼,cuo'man
搭到了头,da'dao'le'tou
打短命咯,da'duan'ming'ge
打个都包,da'ge'dou'bao
哒厚,da'hou
哒粘,da'zhan
哒壮,da'zhuang
得得,de'de
得转,de'zhuan
哋卵,di'luan
哋我个卵呐,di'wo'ge'luan'na
嗲子大,dia'zi'da
跌拨了,die'bo'le
订不了,ding'bu'liao
董婆粒,dong'po'li
东软,dong'ruan
懂眼,dong'yan
斗把,dou'ba
兜老尿,dou'lao'niao
肚紫,du'zi
短到,duan'dao
对忑,dui'te
发火,fa'huo
发毛,fa'mao
飞滚,fei'gun
风快咯,feng'kuai'ge
佛论咯,fo'lun'ge
佛头颠脑,fo'tou'dian'nao
嘎骨力,ga'gu'li
噶里,ga'li
嘎且了佛,ga'qie'le'fo
嘎刹糕,ga'sha'gao
噶舌膏,ga'she'gao
嘎脱了卵,ga'tuo'le'luan
嘎脱了馊,ga'tuo'le'sou
嘎子,ga'zi
告发哩,gao'fa'li
告化哩,gao'hua'li
告呀子,gao'ya'zi
个摸,ge'mo
咯样,ge'yang
刮淡,gua'dan
过劲,guo'jin
蛤蟆,ha'ma
蛤蟆林子,ha'ma'lin'zi
寒斤子,han'jin'zi
好候,hao'hou
好哩哩,hao'li'li
好哩哩个,hao'li'li'ge
好罗,hao'luo
好哑咯人,hao'ya'ge'ren
河佬露皮,he'lao'lu'pi
合丘,he'qiu
盒臊咯,he'sao'ge
黑里,hei'li
猴子,hou'zi
划叉子,hua'cha'zi
坏酒药子,huai'jiu'yao'zi
惑得汹,huo'de'xiong
活命活得精裤头子改背心,huo'ming'huo'de'jing'ku'tou'zi'gai'bei'xin
几多,ji'duo
嘉劳子,jia'lao'zi
夹沙糕,jia'sha'gao
奸雀子,jian'qiao'zi
焦干,jiao'gan
脚骨力清痛,jiao'gu'li'qing'tong
接棍,jie'gun
结棍,jie'gun
接老子,jie'lao'zi
金金虫,jin'jin'chong
精灵,jing'ling
克气,ke'qi
快活的达,kuai'huo'de'da
辣湿,la'shi
来势,lai'shi
啷样,lang'yang
老短,lao'duan
老坐,lao'zuo
刘里刘起,liu'li'liu'qi
罗汉,luo'han
罗里罗起,luo'li'luo'qi
猫伢子,mao'ya'zi
冒有,mao'you
灭顾达黑,mie'gu'da'hei
摸芽,mo'ya
逆头,ni'tou
捏脑浆,nie'nao'jiang
蹑下子,nie'xia'zi
帕雀,pa'que
彭家桥倒了墙,peng'jia'qiao'dao'le'qiang
飘轻,piao'qing
平整,ping'zheng
恰饭,qia'fan
恰噶,qia'ga
切了货,qie'le'huo
轻夕蛮早,qing'xi'man'zao
裘庞了痘,qiu'pang'le'dou
全箭,quan'jian
雀拨,que'bo
却杀,que'sha
塞角,sai'jiao
三十呀里,san'shi'ya'li
奢薄,she'bao
梭泡,suo'pao
谈驮,tan'tuo
特试,te'shi
头子,tou'zi
团头,tuan'tou
驮了搭子,tuo'le'da'zi
驮卵,tuo'luan
脱重,tuo'zhong
玩脑浆,wan'nao'jiang
顽皮兜子,wan'pi'dou'zi
屋里,wu'li
西哩,xi'li
细伢子,xi'ya'zi
嫌戏,xian'xi
乡下猴子,xiang'xia'hou'zi
腥水,xing'shui
穴货,xue'huo
腌臜,yan'za
夜里,ye'li
耶些,ye'xie
咋戏,za'xi
扎马公子,zha'ma'gong'zi
扎隙,zha'xi
真恰噶,zhen'qia'ga
做顾拧真,zuo'gu'ning'zhen
作习子,zuo'xi'zi
作兴,zuo'xing
