哀江头,ai'jiang'tou
安禄山,an'lu'shan
安庆绪,an'qing'xu
安史之乱,an'shi'zhi'luan
百花亭,bai'hua'ting
白居易,bai'ju'yi
白居易集笺校,bai'ju'yi'ji'jian'xiao
白朴,bai'pu
不重生男重生女,bu'chong'sheng'nan'chong'sheng'nv
不见长安见尘雾,bu'jian'chang'an'jian'chen'wu
不见玉颜空死处,bu'jian'yu'yan'kong'si'chu
彩毫记,cai'hao'ji
钗擘黄金合分钿,chai'bo'huang'jin'he'fen'dian
钗留一股合一扇,chai'liu'yi'gu'he'yi'shan
长安,chang'an
长安回望绣成堆,chang'an'hui'wang'xiu'cheng'dui
长恨歌,chang'hen'ge
长恨歌传,chang'hen'ge'chuan
长生殿,chang'sheng'dian
陈宝国,chen'bao'guo
陈冲,chen'chong
陈鸿,chen'hong
沉香亭,chen'xiang'ting
沉香亭北倚阑干,chen'xiang'ting'bei'yi'lan'gan
陈玄礼,chen'xuan'li
承欢侍宴无闲暇,cheng'huan'shi'yan'wu'xian'xia
迟迟钟鼓初长夜,chi'chi'zhong'gu'chu'chang'ye
春从春游夜专夜,chun'cong'chun'you'ye'zhuan'ye
春风拂槛露华浓,chun'feng'fu'kan'lu'hua'nong
春风桃李花开日,chun'feng'tao'li'hua'kai'ri
春寒赐浴华清池,chun'han'ci'yu'hua'qing'chi
春宵苦短日高起,chun'xiao'ku'duan'ri'gao'qi
此恨绵绵无绝期,ci'hen'mian'mian'wu'jue'qi
词中有誓两心知,ci'zhong'you'shi'liang'xin'zhi
从此君王不早朝,cong'ci'jun'wang'bu'zao'chao
翠华殿西阁,cui'hua'dian'xi'ge
翠华西阁,cui'hua'xi'ge
翠华摇摇行复止,cui'hua'yao'yao'xing'fu'zhi
翠翘金雀玉搔头,cui'qiao'jin'que'yu'sao'tou
大唐芙蓉园,da'tang'fu'rong'yuan
大唐歌飞,da'tang'ge'fei
大唐盛世,da'tang'sheng'shi
大燕皇帝,da'yan'huang'di
但教心似金钿坚,dan'jiao'xin'si'jin'dian'jian
到此踌躇不能去,dao'ci'chou'chu'bu'neng'qu
道教,dao'jiao
得宝子,de'bao'zi
第二帝宫,di'er'di'gong
钿合金钗寄将去,dian'he'jin'chai'ji'jiang'qu
东望都门信马归,dong'wang'du'men'xin'ma'gui
窦德妃,dou'de'fei
窦太后,dou'tai'hou
杜牧,du'mu
对此如何不泪垂,dui'ci'ru'he'bu'lei'chui
蛾眉轻扫,e'mei'qing'sao
峨嵋山下少人行,e'mei'shan'xia'shao'ren'xing
范冰冰,fan'bing'bing
樊川诗集注,fan'chuan'shi'ji'zhu
范阳节度使,fan'yang'jie'du'shi
翡翠衾寒谁与共,fei'cui'qin'han'shui'yu'gong
飞霜殿,fei'shuang'dian
飞霞阁,fei'xia'ge
妃子汤,fei'zi'tang
妃子笑,fei'zi'xiao
妃子一笑,fei'zi'yi'xiao
封常清,feng'chang'qing
风吹仙袂飘飖举,feng'chui'xian'mei'piao'yao'ju
风过重峦下笑声,feng'guo'chong'luan'xia'xiao'sheng
芙蓉如面柳如眉,fu'rong'ru'mian'liu'ru'mei
芙蓉帐暖度春宵,fu'rong'zhang'nuan'du'chun'xiao
高力士,gao'li'shi
高仙芝,gao'xian'zhi
哥舒翰,ge'shu'han
歌舞,ge'wu
耿耿星河欲曙天,geng'geng'xing'he'yu'shu'tian
宫掖,gong'ye
古代四大美女,gu'dai'si'da'mei'nv
孤灯挑尽未成眠,gu'deng'tiao'jin'wei'cheng'mian
观景,guan'jing
光烈皇帝,guang'lie'huang'di
广宁公主,guang'ning'gong'zhu
广西容县,guang'xi'rong'xian
贵妃池,gui'fei'chi
贵妃粉,gui'fei'fen
贵妃醉酒,gui'fei'zui'jiu
归来池苑皆依旧,gui'lai'chi'yuan'jie'yi'jiu
虢国夫人,guo'guo'fu'ren
过华清宫,guo'hua'qing'gong
过马嵬,guo'ma'wei
过马嵬二首,guo'ma'wei'er'shou
虢州阌乡,guo'zhou'wen'xiang
郭子仪,guo'zi'yi
海南岛,hai'nan'dao
海棠汤,hai'tang'tang
韩国夫人,han'guo'fu'ren
汉皇重色思倾国,han'huang'zhong'se'si'qing'guo
含情凝睇谢君王,han'qing'ning'di'xie'jun'wang
何承燕,he'cheng'yan
河南灵宝,he'nan'ling'bao
弘农华阴,hong'nong'hua'yin
洪升,hong'sheng
后宫佳丽三千人,hou'gong'jia'li'san'qian'ren
忽闻海上有仙山,hu'wen'hai'shang'you'xian'shan
胡旋舞,hu'xuan'wu
花钿委地无人收,hua'dian'wei'di'wu'ren'shou
花冠不整下堂来,hua'guan'bu'zheng'xia'tang'lai
花鸟使,hua'niao'shi
华清池,hua'qing'chi
华清宫,hua'qing'gong
华清宫三十韵,hua'qing'gong'san'shi'yun
缓歌慢舞凝丝竹,huan'ge'man'wu'ning'si'zhu
宦门世家,huan'men'shi'jia
黄埃散漫风萧索,huang'ai'san'man'feng'xiao'suo
回看血泪相和流,hui'kan'xue'lei'xiang'he'liu
回眸一笑百媚生,hui'mou'yi'xiao'bai'mei'sheng
回头下望人寰处,hui'tou'xia'wang'ren'huan'chu
会向瑶台月下逢,hui'xiang'yao'tai'yue'xia'feng
魂魄不曾来入梦,hun'po'bu'ceng'lai'ru'meng
集灵台,ji'ling'tai
吉温,ji'wen
集于一身,ji'yu'yi'shen
剑南节度使,jian'nan'jie'du'shi
江采萍,jiang'cai'ping
江妃,jiang'fei
江婓,jiang'fei
江妃宫,jiang'fei'gong
椒房阿监青娥老,jiao'fang'a'jian'qing'e'lao
