暗井,an'jing
安装工作量,an'zhuang'gong'zuo'liang
玻璃,bo'li
材料堆场,cai'liao'dui'chang
仓库,cang'ku
车辆运行,che'liang'yun'xing
车辆运行显示信号设备,che'liang'yun'xing'xian'shi'xin'hao'she'bei
车站,che'zhan
打眼,da'yan
打眼放炮,da'yan'fang'pao
道路,dao'lu
地道水源井,di'dao'shui'yuan'jing
地铁,di'tie
地铁车站,di'tie'che'zhan
地铁出入口,di'tie'chu'ru'kou
地铁换乘站,di'tie'huan'cheng'zhan
地铁加强层,di'tie'jia'qiang'ceng
地铁联络线,di'tie'lian'luo'xian
地铁路网,di'tie'lu'wang
地铁区间,di'tie'qu'jian
地铁三防设施,di'tie'san'fang'she'shi
地铁水源井,di'tie'shui'yuan'jing
地铁通风道,di'tie'tong'feng'dao
地铁通信信号设备,di'tie'tong'xin'xin'hao'she'bei
地铁卫技控制,di'tie'wei'ji'kong'zhi
地铁自卫工事,di'tie'zi'wei'gong'shi
地下设施,di'xia'she'shi
地下铁道,di'xia'tie'dao
顶棚,ding'peng
峒室,dong'shi
防爆层,fang'bao'ceng
放炮,fang'pao
放射性勘探,fang'she'xing'kan'tan
隔断,ge'duan
工程概况,gong'cheng'gai'kuang
工程形象进度,gong'cheng'xing'xiang'jin'du
公路养护,gong'lu'yang'hu
国防供水勘探,guo'fang'gong'shui'kan'tan
换乘站,huan'cheng'zhan
黄金地质勘探,huang'jin'di'zhi'kan'tan
黄金地质普查,huang'jin'di'zhi'pu'cha
基本建设工程兵,ji'ben'jian'she'gong'cheng'bing
基建工程兵,ji'jian'gong'cheng'bing
基建工程兵各部办公室,ji'jian'gong'cheng'bing'ge'bu'ban'gong'shi
基建工程兵各指挥部,ji'jian'gong'cheng'bing'ge'zhi'hui'bu
基建工程兵支队,ji'jian'gong'cheng'bing'zhi'dui
技术考核,ji'shu'kao'he
技术组织措施,ji'shu'zu'zhi'cuo'shi
给水,ji'shui
加工厂,jia'gong'chang
建筑安装工程,jian'zhu'an'zhuang'gong'cheng
建筑安装工作量,jian'zhu'an'zhuang'gong'zuo'liang
建筑安装施工部队,jian'zhu'an'zhuang'shi'gong'bu'dui
建筑工作量,jian'zhu'gong'zuo'liang
建筑施工装备,jian'zhu'shi'gong'zhuang'bei
建筑物抢建,jian'zhu'wu'qiang'jian
建筑物抢修,jian'zhu'wu'qiang'xiu
建筑物主体工程,jian'zhu'wu'zhu'ti'gong'cheng
井巷工程,jing'xiang'gong'cheng
勘探,kan'tan
抗爆,kang'bao
矿藏储量,kuang'cang'chu'liang
矿藏揭露,kuang'cang'jie'lu
劳动定额,lao'dong'ding'e
滤毒,lv'du
门窗安装,men'chuang'an'zhuang
密闭设施,mi'bi'she'shi
抹灰,mo'hui
排水,pai'shui
平巷,ping'xiang
区域性地下水普查,qu'yu'xing'di'xia'shui'pu'cha
全优工程,quan'you'gong'cheng
全员劳动生产率,quan'yuan'lao'dong'sheng'chan'lv
生产场地,sheng'chan'chang'di
生活用房,sheng'huo'yong'fang
施工程序,shi'gong'cheng'xu
施工方法,shi'gong'fang'fa
施工技术组织措施,shi'gong'ji'shu'zu'zhi'cuo'shi
施工进度,shi'gong'jin'du
施工期限,shi'gong'qi'xian
施工顺序,shi'gong'shun'xu
施工主要技术经济指标,shi'gong'zhu'yao'ji'shu'jing'ji'zhi'biao
施工装备,shi'gong'zhuang'bei
施工装备利用率,shi'gong'zhuang'bei'li'yong'lv
施工装备完好率,shi'gong'zhuang'bei'wan'hao'lv
施工总平面图,shi'gong'zong'ping'mian'tu
施工组织设计,shi'gong'zu'zhi'she'ji
实物工程量,shi'wu'gong'cheng'liang
竖井,shu'jing
水电管线,shui'dian'guan'xian
水利枢纽,shui'li'shu'niu
水文地质部队,shui'wen'di'zhi'bu'dui
水文地质普查,shui'wen'di'zhi'pu'cha
通风,tong'feng
通风亭,tong'feng'ting
卫生处理,wei'sheng'chu'li
斜井,xie'jing
选矿,xuan'kuang
样板工程,yang'ban'gong'cheng
艺术装饰,yi'shu'zhuang'shi
铀矿地质,you'kuang'di'zhi
铀矿地质勘探,you'kuang'di'zhi'kan'tan
铀矿地质矿山部队,you'kuang'di'zhi'kuang'shan'bu'dui
油漆,you'qi
凿岩爆破,zao'yan'bao'po
支队,zhi'dui
重大水利工程地质勘察,zhong'da'shui'li'gong'cheng'di'zhi'kan'cha
主体工程,zhu'ti'gong'cheng
装修工程,zhuang'xiu'gong'cheng
总库,zong'ku
钻眼爆破,zuan'yan'bao'po
