袄裙,ao'qun
白绢袜,bai'juan'wa
白绫袄,bai'ling'ao
白罗大带,bai'luo'da'dai
白罗方心曲领,bai'luo'fang'xin'qu'ling
白罗中单,bai'luo'zhong'dan
白衣,bai'yi
半臂,ban'bi
被体深遂,bei'ti'shen'sui
备于尧舜,bei'yu'yao'shun
棓子,bei'zi
褙子,bei'zi
比甲,bi'jia
薜萝汉服,bi'luo'han'fu
鷩冕,bi'mian
敝屣,bi'xi
蔽膝,bi'xi
弁服,bian'fu
宾礼,bin'li
薄罗衫子,bo'luo'shan'zi
布帛,bu'bo
布料,bu'liao
步摇,bu'yao
蚕丝,can'si
残夜阁,can'ye'ge
蝉衣,chan'yi
襜褕,chan'yu
长筒靴,chang'tong'xue
朝礼,chao'li
尘帽,chen'mao
成都裳仪文化汉服,cheng'du'shang'yi'wen'hua'han'fu
成人礼,cheng'ren'li
鸱角帽,chi'jiao'mao
絺冕,chi'mian
重华,chong'hua
重回汉唐,chong'hui'han'tang
楚服,chu'fu
楚绢,chu'juan
传统,chuan'tong
传统节日,chuan'tong'jie'ri
垂衣裳而治天下,chui'yi'shang'er'zhi'tian'xia
春拾记,chun'shi'ji
春下,chun'xia
毳冕,cui'mian
大袄,da'ao
大氅,da'chang
大袖衫,da'xiu'shan
大衣,da'yi
道袍,dao'pao
靛蓝,dian'lan
丁香绸直身,ding'xiang'chou'zhi'shen
洞庭汉风,dong'ting'han'feng
斗篷,dou'peng
犊鼻,du'bi
短后衣,duan'hou'yi
断襦,duan'ru
对襟,dui'jin
对襟齐腰襦裙,dui'jin'qi'yao'ru'qun
鹅黄,e'huang
发式,fa'shi
方巾,fang'jin
风兜帽,feng'dou'mao
逢掖袍,feng'ye'pao
佛伦,fo'lun
幞发,fu'fa
芙蓉軒,fu'rong'xuan
幞头,fu'tou
幞头帽子,fu'tou'mao'zi
黼秀长安,fu'xiu'chang'an
黻衣绣裳,fu'yi'xiu'shang
服章之美,fu'zhang'zhi'mei
高髻,gao'ji
