啊阿下萨嘛哈,a'a'xia'sa'ma'ha
阿比甲当嘎,a'bi'jia'dang'ga
八圣吉祥祈请文,ba'sheng'ji'xiang'qi'qing'wen
八圣吉祥颂,ba'sheng'ji'xiang'song
白文殊咒,bai'wen'shu'zhou
宝鼎赞,bao'ding'zan
报父母恩咒,bao'fu'mu'en'zhou
般若佛母心咒,bo're'fo'mu'xin'zhou
般若心咒,bo're'xin'zhou
财宝天王心咒,cai'bao'tian'wang'xin'zhou
操度心咒,cao'du'xin'zhou
禅聚,chan'ju
禅院钟声,chan'yuan'zhong'sheng
长寿佛咒,chang'shou'fo'zhou
除一切疾病咒,chu'yi'qie'ji'bing'zhou
大悲咒,da'bei'zhou
大吉祥天女咒,da'ji'xiang'tian'nv'zhou
大孔雀明王心咒,da'kong'que'ming'wang'xin'zhou
大势至菩萨心咒,da'shi'zhi'pu'sa'xin'zhou
大圆满中阴身闻即解脱成佛咒,da'yuan'man'zhong'yin'shen'wen'ji'jie'tuo'cheng'fo'zhou
大圆满中阴声闻解脱即成佛咒,da'yuan'man'zhong'yin'sheng'wen'jie'tuo'ji'cheng'fo'zhou
地藏菩萨灵感歌,di'zang'pu'sa'ling'gan'ge
地藏菩萨陀罗尼,di'zang'pu'sa'tuo'luo'ni
地藏菩萨心咒,di'zang'pu'sa'xin'zhou
地藏王菩薩超度心咒,di'zang'wang'pu'sa'chao'du'xin'zhou
断瘟咒,duan'wen'zhou
阿弥陀佛谢谢你,e'mi'tuo'fo'xie'xie'ni
阿弥陀佛心咒,e'mi'tuo'fo'xin'zhou
梵唱大悲咒,fan'chang'da'bei'zhou
梵文孔雀明王圣号,fan'wen'kong'que'ming'wang'sheng'hao
飞越地平线,fei'yue'di'ping'xian
风雪禅音,feng'xue'chan'yin
佛顶尊胜陀罗尼,fo'ding'zun'sheng'tuo'luo'ni
佛母准提神咒,fo'mu'zhun'ti'shen'zhou
感恩的心,gan'en'de'xin
咕噜咕列佛母心咒,gu'lu'gu'lie'fo'mu'xin'zhou
观世音菩萨发愿偈,guan'shi'yin'pu'sa'fa'yuan'ji
