阿童木,a'tong'mu
爱因斯坦,ai'yin'si'tan
按摩椅,an'mo'yi
奥迪,ao'di
奥林匹克,ao'lin'pi'ke
奥运,ao'yun
芭蕉扇,ba'jiao'shan
巴黎圣母院,ba'li'sheng'mu'yuan
白宫,bai'gong
百合花,bai'he'hua
白领,bai'ling
摆饰,bai'shi
白头翁,bai'tou'weng
白雪公主,bai'xue'gong'zhu
白蚁,bai'yi
板栗,ban'li
棒球棒,bang'qiu'bang
棒球帽,bang'qiu'mao
宝岛,bao'dao
宝莲灯,bao'lian'deng
爆米花,bao'mi'hua
包青天,bao'qing'tian
宝石,bao'shi
包子,bao'zi
北斗星,bei'dou'xing
杯具,bei'ju
贝迷会,bei'mi'hui
背心,bei'xin
杯子,bei'zi
彼岸花,bi'an'hua
毕业证,bi'ye'zheng
蝙蝠侠,bian'fu'xia
鞭炮,bian'pao
宾馆,bin'guan
饼干,bing'gan
冰河世纪,bing'he'shi'ji
冰鞋,bing'xie
不好画,bu'hao'hua
布娃娃,bu'wa'wa
菜包,cai'bao
菜刀,cai'dao
草帽路飞,cao'mao'lu'fei
茶树,cha'shu
茶叶,cha'ye
叉子,cha'zi
长城,chang'cheng
长江,chang'jiang
长江七号,chang'jiang'qi'hao
唱片,chang'pian
超级玛丽,chao'ji'ma'li
超级马里奥,chao'ji'ma'li'ao
超级赛亚人,chao'ji'sai'ya'ren
赤壁,chi'bi
宠物,chong'wu
虫子,chong'zi
臭豆腐,chou'dou'fu
抽油烟机,chou'you'yan'ji
触摸屏,chu'mo'ping
传呼机,chuan'hu'ji
穿山甲,chuan'shan'jia
床单,chuang'dan
床罩,chuang'zhao
春联,chun'lian
春天,chun'tian
纯爷们,chun'ye'men
刺猬,ci'wei
大炮,da'pao
大蒜,da'suan
大头鱼,da'tou'yu
大熊座,da'xiong'zuo
打印机,da'yin'ji
打印纸,da'yin'zhi
袋鼠,dai'shu
单人床,dan'ren'chuang
刀叉,dao'cha
登山包,deng'shan'bao
登山鞋,deng'shan'xie
登山杖,deng'shan'zhang
地板,di'ban
电车,dian'che
电动剃须刀,dian'dong'ti'xu'dao
电饭锅,dian'fan'guo
电影,dian'ying
电影院,dian'ying'yuan
电子词典,dian'zi'ci'dian
电子辞典,dian'zi'ci'dian
电阻,dian'zu
叮当,ding'dang
动感超人,dong'gan'chao'ren
冬瓜,dong'gua
豆沙包,dou'sha'bao
多米诺骨牌,duo'mi'nuo'gu'pai
恶魔,e'mo
二郎神,er'lang'shen
二人转,er'ren'zhuan
发带,fa'dai
发动机,fa'dong'ji
阀门,fa'men
方便面,fang'bian'mian
非常六加一,fei'chang'liu'jia'yi
凤梨,feng'li
枫树,feng'shu
盖帽,gai'mao
干冰,gan'bing
干衣机,gan'yi'ji
高尔夫球杆,gao'er'fu'qiu'gan
鸽子,ge'zi
公安,gong'an
公牛,gong'niu
公文包,gong'wen'bao
工资,gong'zi
狗尾巴草,gou'wei'ba'cao
股票,gu'piao
古筝,gu'zheng
拐杖,guai'zhang
观音,guan'yin
关羽,guan'yu
广告,guang'gao
广告牌,guang'gao'pai
贵妃椅,gui'fei'yi
国画,guo'hua
国家大剧院,guo'jia'da'ju'yuan
国王,guo'wang
哈利波特,ha'li'bo'te
海底总动员,hai'di'zong'dong'yuan
海浪,hai'lang
海豚,hai'tun
海象,hai'xiang
海藻,hai'zao
含羞草,han'xiu'cao
贺年卡,he'nian'ka
和尚,he'shang
黑板,hei'ban
黑猫,hei'mao
黑眼圈,hei'yan'quan
红楼梦,hong'lou'meng
红绿灯,hong'lv'deng
红色警戒,hong'se'jing'jie
呼啦圈,hu'la'quan
湖南卫视,hu'nan'wei'shi
胡子,hu'zi
花架,hua'jia
画廊,hua'lang
画龙点睛,hua'long'dian'jing
画蛇添足,hua'she'tian'zu
滑雪,hua'xue
魂斗罗,hun'dou'luo
火鸡,huo'ji
火炉,huo'lu
火腿肠,huo'tui'chang
鸡脆骨,ji'cui'gu
济南,ji'nan
纪念帽,ji'nian'mao
纪念品,ji'nian'pin
计算机,ji'suan'ji
加勒比,jia'le'bi
剑道,jian'dao
剪刀石头布,jian'dao'shi'tou'bu
键盘,jian'pan
江南,jiang'nan
交通警察,jiao'tong'jing'cha
脚趾甲,jiao'zhi'jia
接力棒,jie'li'bang
界面,jie'mian
金饭碗,jin'fan'wan
进化论,jin'hua'lun
金丝猴,jin'si'hou
金鱼,jin'yu
酒店,jiu'dian
菊花,ju'hua
狙击步枪,ju'ji'bu'qiang
狙击枪,ju'ji'qiang
举重,ju'zhong
卷纸,juan'zhi
绝世好剑,jue'shi'hao'jian
卡通,ka'tong
凯迪拉克,kai'di'la'ke
康乃馨,kang'nai'xin
烤鱿鱼,kao'you'yu
科学馆,ke'xue'guan
刻舟求剑,ke'zhou'qiu'jian
课桌,ke'zhuo
空格键,kong'ge'jian
空气,kong'qi
空调,kong'tiao
空调遥控器,kong'tiao'yao'kong'qi
口红,kou'hong
苦瓜,ku'gua
会计,kuai'ji
快乐大本营,kuai'le'da'ben'ying
快乐女生,kuai'le'nv'sheng
葵花宝典,kui'hua'bao'dian
蜡笔,la'bi
蜡烛,la'zhu
蓝精灵,lan'jing'ling
狼牙山五壮士,lang'ya'shan'wu'zhuang'shi
狼牙山壮士,lang'ya'shan'zhuang'shi
老夫子,lao'fu'zi
老婆饼,lao'po'bing
老鼠,lao'shu
礼服,li'fu
礼帽,li'mao
李宁,li'ning
量角器,liang'jiao'qi
刘德华,liu'de'hua
榴莲,liu'lian
六神花露水,liu'shen'hua'lu'shui
龙虾,long'xia
漏水,lou'shui
录音机,lu'yin'ji
轮船,lun'chuan
轮椅,lun'yi
落地窗,luo'di'chuang
罗汉果,luo'han'guo
罗盘,luo'pan
绿巨人,lv'ju'ren
律师,lv'shi
旅游鞋,lv'you'xie
迈克尔杰克逊,mai'ke'er'jie'ke'xun
漫画,man'hua
毛豆,mao'dou
毛毛虫,mao'mao'chong
毛皮,mao'pi
玫瑰花,mei'gui'hua
梅花鹿,mei'hua'lu
煤气炉,mei'qi'lu
美人痣,mei'ren'zhi
美少女战士,mei'shao'nv'zhan'shi
美术,mei'shu
猛男,meng'nan
米饭,mi'fan
面板,mian'ban
面包,mian'bao
绵羊,mian'yang
灭绝师太,mie'jue'shi'tai
名片,ming'pian
明信片,ming'xin'pian
名字,ming'zi
魔羯座,mo'jie'zuo
墨镜,mo'jing
牧场,mu'chang
木耳,mu'er
木乃伊,mu'nai'yi
母亲,mu'qin
沐浴露,mu'yu'lu
纽扣,niu'kou
牛仔裤,niu'zai'ku
农村,nong'cun
排骨,pai'gu
排山倒海,pai'shan'dao'hai
泡沫,pao'mo
泡泡,pao'pao
跑跑卡丁车,pao'pao'ka'ding'che
皮带,pi'dai
披风,pi'feng
屏风,ping'feng
乒乓球,ping'pang'qiu
瓶子,ping'zi
气歩枪,qi'bu'qiang
气球,qi'qiu
七夕,qi'xi
签字笔,qian'zi'bi
芹菜,qin'cai
秦始皇兵马俑,qin'shi'huang'bing'ma'yong
青春痘,qing'chun'dou
晴天娃娃,qing'tian'wa'wa
蜻蜓点水,qing'ting'dian'shui
青藏高原,qing'zang'gao'yuan
丘比特,qiu'bi'te
热带鱼,re'dai'yu
热气球,re'qi'qiu
人马座,ren'ma'zuo
日全食,ri'quan'shi
日式风铃,ri'shi'feng'ling
日月潭,ri'yue'tan
三角架,san'jiao'jia
三文治,san'wen'zhi
扫帚,sao'zhou
色眼,se'yan
沙漠,sha'mo
山丘,shan'qiu
扇子,shan'zi
上网本,shang'wang'ben
上衣,shang'yi
摄像头,she'xiang'tou
神笔马良,shen'bi'ma'liang
神话,shen'hua
圣诞树,sheng'dan'shu
升旗,sheng'qi
生物,sheng'wu
世界,shi'jie
史莱克,shi'lai'ke
史努比,shi'nu'bi
史瑞克,shi'rui'ke
史泰龙,shi'tai'long
石头,shi'tou
石头剪刀布,shi'tou'jian'dao'bu
食物,shi'wu
手铐,shou'kao
手提袋,shou'ti'dai
守株待兔,shou'zhu'dai'tu
鼠标垫,shu'biao'dian
书房,shu'fang
树木,shu'mu
薯片,shu'pian
书生,shu'sheng
数学,shu'xue
双杠,shuang'gang
水表,shui'biao
水饺,shui'jiao
水蜜桃,shui'mi'tao
水仙花,shui'xian'hua
斯巴达勇士,si'ba'da'yong'shi
四不像,si'bu'xiang
私家车,si'jia'che
死亡骑士,si'wang'qi'shi
宿舍,su'she
算盘,suan'pan
索尼,suo'ni
台球,tai'qiu
泰山,tai'shan
太上老君,tai'shang'lao'jun
泰坦尼克号,tai'tan'ni'ke'hao
台湾岛,tai'wan'dao
弹簧,tan'huang
汤勺,tang'shao
天花板,tian'hua'ban
天上人间,tian'shang'ren'jian
天线,tian'xian
天线宝宝,tian'xian'bao'bao
跳伞,tiao'san
调色盘,tiao'se'pan
跳绳,tiao'sheng
调味品,tiao'wei'pin
跳舞,tiao'wu
铁观音,tie'guan'yin
铁锹,tie'qiao
秃顶,tu'ding
屠龙刀,tu'long'dao
拖把,tuo'ba
鸵鸟,tuo'niao
娃娃鱼,wa'wa'yu
丸子,wan'zi
网络,wang'luo
伪娘,wei'niang
围棋,wei'qi
蚊帐,wen'zhang
乌龟,wu'gui
乌纱帽,wu'sha'mao
五行山,wu'xing'shan
乌鸦喝水,wu'ya'he'shui
五指山,wu'zhi'shan
西班牙语,xi'ban'ya'yu
嘻哈猴,xi'ha'hou
西红柿,xi'hong'shi
犀牛,xi'niu
下载,xia'zai
咸蛋超人,xian'dan'chao'ren
仙剑奇侠传,xian'jian'qi'xia'zhuan
仙女座,xian'nv'zuo
仙人球,xian'ren'qiu
显示屏,xian'shi'ping
显示器,xian'shi'qi
香格里拉,xiang'ge'li'la
香菇,xiang'gu
香蕉皮,xiang'jiao'pi
相框,xiang'kuang
橡皮檫,xiang'pi'cha
小霸王学习机,xiao'ba'wang'xue'xi'ji
鞋架,xie'jia
信鸽,xin'ge
新浪,xin'lang
心若止水,xin'ruo'zhi'shui
性感,xing'gan
星星,xing'xing
猩猩,xing'xing
熊猫眼,xiong'mao'yan
熊掌,xiong'zhang
漩涡,xuan'wo
巡洋舰,xun'yang'jian
衙门,ya'men
牙套,ya'tao
