凹槽,ao'cao
拔模斜度,ba'mo'xie'du
半径尺寸,ban'jing'chi'cun
背景视图,bei'jing'shi'tu
背景图纸,bei'jing'tu'zhi
标题块,biao'ti'kuai
标注,biao'zhu
标准,biao'zhun
标准元素,biao'zhun'yuan'su
不确定中断,bu'que'ding'zhong'duan
裁剪轮廓,cai'jian'lun'kuo
裁剪视图,cai'jian'shi'tu
草图,cao'tu
超限,chao'xian
尺寸标注,chi'cun'biao'zhu
重叠,chong'die
重新排序,chong'xin'pai'xu
创成式视图样式,chuang'cheng'shi'shi'tu'yang'shi
粗糙度符号,cu'cao'du'fu'hao
倒角,dao'jiao
倒角尺寸,dao'jiao'chi'cun
等轴测视图,deng'zhou'ce'shi'tu
第三角,di'san'jiao
第三角投影法,di'san'jiao'tou'ying'fa
第一角投影方法,di'yi'jiao'tou'ying'fang'fa
对称,dui'chen
对象,dui'xiang
分割,fen'ge
副本,fu'ben
复合标记,fu'he'biao'ji
父级,fu'ji
父视图,fu'shi'tu
辅助视图,fu'zhu'shi'tu
跟踪,gen'zong
工程图,gong'cheng'tu
工程图库,gong'cheng'tu'ku
构造元素,gou'zao'yuan'su
关联,guan'lian
关联的详细,guan'lian'de'xiang'xi
光栅模式,guang'shan'mo'shi
过滤器,guo'lv'qi
焊接符号,han'jie'fu'hao
盒体,he'ti
活动视图,huo'dong'shi'tu
几何体,ji'he'ti
基准目标,ji'zhun'mu'biao
基准特征,ji'zhun'te'zheng
极坐标,ji'zuo'biao
加强肋,jia'qiang'lei
简单中断,jian'dan'zhong'duan
角度尺寸,jiao'du'chi'cun
截面分割,jie'mian'fen'ge
截面线,jie'mian'xian
近似模式,jin'si'mo'shi
精确视图,jing'que'shi'tu
镜像,jing'xiang
局部视图,ju'bu'shi'tu
聚集,ju'ji
距离尺寸,ju'li'chi'cun
绝对位置,jue'dui'wei'zhi
绝对坐标,jue'dui'zuo'biao
开槽,kai'cao
控制点,kong'zhi'dian
快速详细视图,kuai'su'xiang'xi'shi'tu
链式尺寸,lian'shi'chi'cun
零件,ling'jian
零件几何体,ling'jian'ji'he'ti
轮廓,lun'kuo
模板,mu'ban
内部约束,nei'bu'yue'shu
偏移,pian'yi
偏移剖视图,pian'yi'pou'shi'tu
平移,ping'yi
剖面,pou'mian
剖面线,pou'mian'xian
剖视图,pou'shi'tu
切除轮廓,qie'chu'lun'kuo
切除区域,qie'chu'qu'yu
驱动约束,qu'dong'yue'shu
区域填充,qu'yu'tian'chong
设计树,she'ji'shu
实体,shi'ti
视图,shi'tu
视图框,shi'tu'kuang
视图框架,shi'tu'kuang'jia
使用边线,shi'yong'bian'xian
属性,shu'xing
数字,shu'zi
锁定,suo'ding
缩放,suo'fang
特征,te'zheng
停用,ting'yong
投影视图,tou'ying'shi'tu
凸台,tu'tai
图纸,tu'zhi
外部约束,wai'bu'yue'shu
文本模板,wen'ben'mu'ban
文档,wen'dang
物料清单,wu'liao'qing'dan
向导,xiang'dao
详图,xiang'tu
详细视图,xiang'xi'shi'tu
消隐,xiao'yin
修饰,xiu'shi
旋转,xuan'zhuan
旋转槽,xuan'zhuan'cao
旋转剖视图,xuan'zhuan'pou'shi'tu
旋转体,xuan'zhuan'ti
原点,yuan'dian
远端截取,yuan'duan'jie'qu
圆角,yuan'jiao
约束,yue'shu
展开视图,zhan'kai'shi'tu
阵列,zhen'lie
正平面,zheng'ping'mian
正视图,zheng'shi'tu
直角坐标,zhi'jiao'zuo'biao
直径尺寸,zhi'jing'chi'cun
智能拾取,zhi'neng'shi'qu
重心,zhong'xin
主视图,zhu'shi'tu
自动检测,zi'dong'jian'ce
自动约束,zi'dong'yue'shu
子级,zi'ji
子视图,zi'shi'tu
