阿茂,a'mao
阿嫂,a'sao
阿生鬼人,a'sheng'gui'ren
矮脚白菜,ai'jiao'bai'cai
挨屏,ai'ping
矮仔,ai'zai
暗疮,an'chuang
八婆,ba'po
霸王花,ba'wang'hua
霸王树,ba'wang'shu
八爪鱼,ba'zhua'yu
白菜,bai'cai
白菜仔,bai'cai'zai
白鲳,bai'chang
白带鱼,bai'dai'yu
白饭鱼,bai'fan'yu
白粉,bai'fen
白兰,bai'lan
白鳝,bai'shan
白蚀,bai'shi
白翼,bai'yi
白鲊,bai'zha
百足,bai'zu
钣蕊,ban'rui
爆拆,bao'chai
饱到上心口,bao'dao'shang'xin'kou
菢窦,bao'dou
剥皮牛,bao'pi'niu
龅牙,bao'ya
鲍鱼制,bao'yu'zhi
被袋,bei'dai
被铺,bei'pu
本地鸡,ben'di'ji
笨屎虫,ben'shi'chong
崩口,beng'kou
崩沙,beng'sha
壁橱,bi'chu
鼻哥,bi'ge
鼻哥尖,bi'ge'jian
鼻哥窿,bi'ge'long
鼻塞,bi'se
鼻屎,bi'shi
鼻水,bi'shui
笔錔,bi'ta
髀罅,bi'xia
笔嘴,bi'zui
边炉气,bian'lu'qi
边判,bian'pan
边旗,bian'qi
扁鱼,bian'yu
表盖,biao'gai
表链,biao'lian
表面,biao'mian
表肉,biao'rou
表士,biao'shi
标芽,biao'ya
病君,bing'jun
槟榔薯,bing'lang'shu
槟榔芋,bing'lang'yu
病猫,bing'mao
薄笠,bo'li
波罗盖,bo'luo'gai
膊头,bo'tou
钵头,bo'tou
波裇,bo'xu
伯爷公,bo'ye'gong
伯爷婆,bo'ye'po
玻珠,bo'zhu
布冧,bu'lin
簿仔,bu'zai
布障,bu'zhang
财神咭,cai'shen'ji
菜薳,cai'wei
菜心,cai'xin
蚕虫,can'chong
伧鸡婆,cang'ji'po
曹白,cao'bai
草龟,cao'gui
草龙,cao'long
草苺,cao'mei
草蜢,cao'meng
草皮,cao'pi
草纸,cao'zhi
茶杯碟,cha'bei'die
插苏,cha'su
茶仔,cha'zai
拆家,chai'jia
柴鱼,chai'yu
潺菜,chan'cai
唱碟,chang'die
长脚蜢,chang'jiao'meng
长毛贼,chang'mao'zei
长生板,chang'sheng'ban
长鱼,chang'yu
炒友,chao'you
扯哈,che'ha
车厘子,che'li'zi
车牌,che'pai
扯线公仔,che'xian'gong'zai
埕埕塔塔,cheng'cheng'ta'ta
匙羹,chi'geng
匙羹白,chi'geng'bai
黐脷根,chi'li'gen
黐孖筋,chi'ma'jin
黐头婆,chi'tou'po
黐线,chi'xian
池鱼,chi'yu
黐总掣,chi'zong'che
虫虫蚁蚁,chong'chong'yi'yi
臭草,chou'cao
臭狐,chou'hu
臭花,chou'hua
抽筋菜,chou'jin'cai
臭丸,chou'wan
出痘,chu'dou
出生证明,chu'sheng'zheng'ming
出世,chu'shi
出水纸,chu'shui'zhi
串女,chuan'nv
串仔,chuan'zai
床荐,chuang'jian
床铺被席,chuang'pu'bei'xi
春袋,chun'dai
慈姑椗,ci'gu'ding
祠堂,ci'tang
瓷罂,ci'ying
凑仔婆,cou'zai'po
打靶鬼,da'ba'gui
大白菜,da'bai'cai
大被冚过头,da'bei'kan'guo'tou
大髀,da'bi
打鼻鼾,da'bi'han
大脖子,da'bo'zi
大床,da'chuang
搭错线,da'cuo'xian
大地鱼,da'di'yu
大碟,da'die
大豆芽菜,da'dou'ya'cai
大肚,da'du
大肚腩,da'du'nan
大肚婆,da'du'po
大番薯,da'fan'shu
大哥大,da'ge'da
大姑,da'gu
大柜,da'gui
大鬼,da'gui
打喊露,da'han'lu
打横,da'heng
大偈,da'ji
大蕉,da'jiao
大觉昏,da'jiao'hun
大芥菜,da'jie'cai
大襟衫,da'jin'shan
大旧衰,da'jiu'shuai
大佬,da'lao
大老倌,da'lao'guan
大粒癦,da'li'me
大粒野,da'li'ye
大辘木,da'lu'mu
大辘竹,da'lu'zhu
大褛,da'lv
大孖疮,da'ma'chuang
大泡禾,da'pao'he
大声公,da'sheng'gong
大食,da'shi
大食懒,da'shi'lan
大水喉,da'shui'hou
大头佛,da'tou'fo
大头狗,da'tou'gou
大头轰,da'tou'hong
耷头佬,da'tou'lao
大头鱼,da'tou'yu
大团结,da'tuan'jie
大笑姑婆,da'xiao'gu'po
大牙,da'ya
打牙骹,da'ya'qiao
大眼鸡,da'yan'ji
大烟筒,da'yan'tong
大眼贼,da'yan'zei
大姨妈纸,da'yi'ma'zhi
大鱼,da'yu
大闸蟹,da'zha'xie
打针纸,da'zhen'zhi
大制,da'zhi
大种鸡,da'zhong'ji
带子,dai'zi
弹叉,dan'cha
单车,dan'che
单车泵,dan'che'beng
单吊西,dan'diao'xi
弹弓,dan'gong
疍家,dan'jia
胆生石,dan'sheng'shi
单位,dan'wei
稻草,dao'cao
倒刺,dao'ci
倒汗水,dao'han'shui
倒米寿星,dao'mi'shou'xing
倒瓤,dao'rang
灯筒,deng'tong
凳仔,deng'zai
啲打佬,di'da'lao
滴哒钟,di'da'zhong
弟弟,di'di
底裤,di'ku
底衫,di'shan
地拖,di'tuo
地线,di'xian
哋醒,di'xing
电表,dian'biao
电灯胆,dian'deng'dan
电灯杉,dian'deng'shan
电饭煲,dian'fan'bao
腍佛,dian'fo
垫肩,dian'jian
癫佬,dian'lao
垫褥,dian'ru
电筒,dian'tong
电芯,dian'xin
吊钟,diao'zhong
顶夹,ding'jia
定螺,ding'luo
丁屋,ding'wu
东风螺,dong'feng'luo
冬菇,dong'gu
冻紧,dong'jin
戙企水鱼,dong'qi'shui'yu
豆丁,dou'ding
斗鸡眼,dou'ji'yan
豆皮,dou'pi
痘纸,dou'zhi
肚煲,du'bao
肚耽,du'dan
肚饿,du'e
肚腩,du'nan
肚脐泵,du'qi'beng
度叔,du'shu
独睡,du'shui
短命种,duan'ming'zhong
对时水,dui'shi'shui
对胸衫,dui'xiong'shan
炖盅,dun'zhong
屙肚,e'du
屙啡啡,e'fei'fei
饿过饥,e'guo'ji
恶昏,e'hun
鳄鱼头,e'yu'tou
奀妹,en'mei
二花面,er'hua'mian
耳窿,er'long
耳屎,er'shi
耳仔,er'zai
耳珠,er'zhu
发大水,fa'da'shui
发风,fa'feng
发花癫,fa'hua'dian
发鸡盲,fa'ji'mang
发脚,fa'jiao
发开口梦,fa'kai'kou'meng
发冷,fa'leng
发梦,fa'meng
发青光,fa'qing'guang
发尾,fa'wei
发瘟鸡,fa'wen'ji
发噏疯,fa'xi'feng
发夜游梦,fa'ye'you'meng
饭铲,fan'chan
饭铲头,fan'chan'tou
番狗,fan'gou
番鬼妹,fan'gui'mei
番鬼婆,fan'gui'po
番鬼仔,fan'gui'zai
反昏,fan'hun
番枧,fan'jian
反领,fan'ling
翻生,fan'sheng
返生,fan'sheng
番鸭,fan'ya
放光虫,fang'guang'chong
飞公,fei'gong
飞机裇,fei'ji'xu
肥佬,fei'lao
肺痨,fei'lao
菲林,fei'lin
肥妹,fei'mei
肥奶奶,fei'nai'nai
肥婆,fei'po
飞翼,fei'yi
肥仔,fei'zai
肥仔唛,fei'zai'mai
粉擦,fen'ca
粉底,fen'di
粉蕉,fen'jiao
风栗,feng'li
风炉,feng'lu
风赧,feng'nan
风扇,feng'shan
风鳝,feng'shan
风筒,feng'tong
凤尾鱼,feng'wei'yu
浮薸,fu'piao
浮荞,fu'qiao
甫士咭,fu'shi'ji
福寿膏,fu'shou'gao
福寿鱼,fu'shou'yu
福头,fu'tou
复写纸,fu'xie'zhi
干包,gan'bao
干湿褛,gan'shi'lv
甘笋,gan'sun
杠床,gang'chuang
钢筋,gang'jin
缸瓦,gang'wa
钢线,gang'xian
港纸,gang'zhi
高柜,gao'gui
高佬,gao'lao
糕盘,gao'pan
膏蟹,gao'xie
篙竹,gao'zhu
格拉底,ge'la'di
蛤乸,ge'na
跟屁虫,gen'pi'chong
跟尾狗,gen'wei'gou
公文包,gong'wen'bao
工友,gong'you
公仔,gong'zai
公仔书,gong'zai'shu
狗棍,gou'gun
够喉,gou'hou
狗毛虫,gou'mao'chong
狗虱,gou'shi
狗尾靓,gou'wei'liang
骨痹,gu'bi
咕咕,gu'gu
孤寒铎度,gu'han'duo'du
蛊惑友,gu'huo'you
蛊惑仔,gu'huo'zai
古老石山,gu'lao'shi'shan
咕哩,gu'li
谷牛,gu'niu
姑婆,gu'po
鼓气,gu'qi
箍筍,gu'sun
姑仔,gu'zai
蛊胀,gu'zhang
瓜老亲,gua'lao'qin
瓜子菜,gua'zi'cai
拐子佬,guai'zi'lao
观音竹,guan'yin'zhu
光暗制,guang'an'zhi
光管,guang'guan
桂花鱼,gui'hua'yu
攰赖赖,gui'lai'lai
柜筒,gui'tong
鲑鱼,gui'yu
滚友,gun'you
过基峡,guo'ji'xia
过山风,guo'shan'feng
过身,guo'shen
过树溶,guo'shu'rong
过头笠,guo'tou'li
过云雨,guo'yun'yu
含笑,han'xiao
好昏,hao'hun
好人好姐,hao'ren'hao'jie
好仔,hao'zai
禾叉髀,he'cha'bi
河冲,he'chong
禾虫,he'chong
贺咭,he'ji
荷兰薯,he'lan'shu
荷兰水盖,he'lan'shui'gai
禾青,he'qing
合桃,he'tao
河鲜,he'xian
龁牙,he'ya
禾秧,he'yang
黑鲩,hei'huan
黑米,hei'mi
红虫,hong'chong
红番,hong'fan
烘紧,hong'jin
红萝卜,hong'luo'bo
红棉,hong'mian
红三,hong'san
红三鱼,hong'san'yu
红色炸弹,hong'se'zha'dan
红心番薯,hong'xin'fan'shu
鸿运扇,hong'yun'shan
后底乸,hou'di'na
后底爷,hou'di'ye
喉干颈涸,hou'gan'jing'he
喉管,hou'guan
喉核,hou'he
候镬,hou'huo
厚笠,hou'li
喉咙椗,hou'long'ding
后尾架,hou'wei'jia
后尾枕,hou'wei'zhen
喉嘴,hou'zui
胡鬑须,hu'lian'xu
花菇,hua'gu
滑蕨,hua'jue
花僆铿,hua'lian'keng
花僆仔,hua'lian'zai
花冧,hua'lin
花旗参,hua'qi'shen
花洒,hua'sa
花手巾,hua'shou'jin
花蟹,hua'xie
花心萝卜,hua'xin'luo'bo
花樽,hua'zun
淮山,huai'shan
鲩鱼,huan'yu
黄狗毛,huang'gou'mao
黄狗头,huang'gou'tou
黄花筒,huang'hua'tong
黄泡髧熟,huang'pao'dan'shu
蟥蜞,huang'qi
蟥犬,huang'quan
黄鳝,huang'shan
黄熟,huang'shu
黄丝蚁,huang'si'yi
黄粟,huang'su
黄线蚁,huang'xian'yi
黄芽白,huang'ya'bai
回形针,hui'xing'zhen
昏得好淰,hun'de'hao'shen
昏昏沌沌,hun'hun'dun'dun
魂精,hun'jing
昏觉,hun'jue
昏捩颈,hun'lie'jing
昏晏觉,hun'yan'jue
镬铲,huo'chan
火机,huo'ji
火簕秧,huo'le'yang
镬黸,huo'lu
火牛,huo'niu
火屎,huo'shi
火水,huo'shui
火水炉,huo'shui'lu
火燂煤,huo'tan'mei
火筒,huo'tong
伙头军,huo'tou'jun
火线,huo'xian
火钻,huo'zuan
鸡公花,ji'gong'hua
机灵鬼,ji'ling'gui
鸡毛,ji'mao
鸡乸婆,ji'na'po
积女倾,ji'nv'qing
鸡泡鱼,ji'pao'yu
鸡皮纸,ji'pi'zhi
稽钱,ji'qian
鸡屎果,ji'shi'guo
几十岁,ji'shi'sui
鸡屎藤,ji'shi'teng
基围虾,ji'wei'xia
吉屋,ji'wu
鸡项,ji'xiang
