板块运动,ban'kuai'yun'dong
北极星任意时角法,bei'ji'xing'ren'yi'shi'jiao'fa
贝塞尔大地主题解算公式,bei'sai'er'da'di'zhu'ti'jie'suan'gong'shi
贝塞尔椭球,bei'sai'er'tuo'qiu
本初子午线,ben'chu'zi'wu'xian
标高差改正,biao'gao'cha'gai'zheng
波茨坦重力系统,bo'ci'tan'zhong'li'xi'tong
布格改正,bu'ge'gai'zheng
布格异常,bu'ge'yi'chang
布隆斯公式,bu'long'si'gong'shi
布耶哈马问题,bu'ye'ha'ma'wen'ti
参考椭球,can'kao'tuo'qiu
参考椭球定位,can'kao'tuo'qiu'ding'wei
参数千差,can'shu'qian'cha
测,ce
测量误差,ce'liang'wu'cha
潮汐波,chao'xi'bo
潮汐频谱,chao'xi'pin'pu
潮汐摄动,chao'xi'she'dong
潮汐因子,chao'xi'yin'zi
尺度参数,chi'du'can'shu
垂线偏差,chui'xian'pian'cha
垂线偏差改正,chui'xian'pian'cha'gai'zheng
垂直折光差,chui'zhi'zhe'guang'cha
垂直折光系数,chui'zhi'zhe'guang'xi'shu
纯重力异常,chun'zhong'li'yi'chang
粗码,cu'ma
大地测量,da'di'ce'liang
大地测量边值问题,da'di'ce'liang'bian'zhi'wen'ti
大地测量参考系,da'di'ce'liang'can'kao'xi
大地测量卫星,da'di'ce'liang'wei'xing
大地方位角,da'di'fang'wei'jiao
大地高,da'di'gao
大地基准,da'di'ji'zhun
大地经度,da'di'jing'du
大地水准面,da'di'shui'zhun'mian
大地水准面高,da'di'shui'zhun'mian'gao
大地水准面起伏,da'di'shui'zhun'mian'qi'fu
大地天文学,da'di'tian'wen'xue
大地位,da'di'wei
大地纬度,da'di'wei'du
大地线,da'di'xian
大地线微分方程,da'di'xian'wei'fen'fang'cheng
大地重力学,da'di'zhong'li'xue
大地主题反解,da'di'zhu'ti'fan'jie
大地主题正解,da'di'zhu'ti'zheng'jie
大地坐标,da'di'zuo'biao
大地坐标系,da'di'zuo'biao'xi
大陆漂移,da'lu'piao'yi
大气阻力摄动,da'qi'zu'li'she'dong
带谐系数,dai'xie'xi'shu
单位权,dan'wei'quan
单位权方差,dan'wei'quan'fang'cha
等量纬度,deng'liang'wei'du
底点纬度,di'dian'wei'du
地固坐标系,di'gu'zuo'biao'xi
地极坐标,di'ji'zuo'biao
底片常数法,di'pian'chang'shu'fa
底片方位元素法,di'pian'fang'wei'yuan'su'fa
地壳均衡,di'qiao'jun'heng
地壳均衡改正,di'qiao'jun'heng'gai'zheng
地壳均衡说,di'qiao'jun'heng'shuo
地壳形变测量,di'qiao'xing'bian'ce'liang
地倾斜观测,di'qing'xie'guan'ce
地球扁率,di'qiu'bian'lv
地球长半径,di'qiu'chang'ban'jing
地球动力扁率,di'qiu'dong'li'bian'lv
地球动力因子,di'qiu'dong'li'yin'zi
地球位,di'qiu'wei
地球位数,di'qiu'wei'shu
地球位系数,di'qiu'wei'xi'shu
地球液核动力效应,di'qiu'ye'he'dong'li'xiao'ying
地球引力摄动,di'qiu'yin'li'she'dong
地球重力模型,di'qiu'zhong'li'mo'xing
地球自转参数,di'qiu'zi'zhuan'can'shu
地球自转角速度,di'qiu'zi'zhuan'jiao'su'du
地心经度,di'xin'jing'du
地心纬度,di'xin'wei'du
地心引力常数,di'xin'yin'li'chang'shu
地心直角坐标,di'xin'zhi'jiao'zuo'biao
地形改正,di'xing'gai'zheng
电离层折射改正,dian'li'ceng'zhe'she'gai'zheng
动力大地测量学,dong'li'da'di'ce'liang'xue
东西星等高测时法,dong'xi'xing'deng'gao'ce'shi'fa
杜德森常数,du'de'sen'chang'shu
对流层折射改正,dui'liu'ceng'zhe'she'gai'zheng
多普勒单点定位,duo'pu'le'dan'dian'ding'wei
多普勒短弧法定位,duo'pu'le'duan'hu'fa'ding'wei
多普勒计数,duo'pu'le'ji'shu
多普勒联测定位,duo'pu'le'lian'ce'ding'wei
多星等高法,duo'xing'deng'gao'fa
二阶摄动,er'jie'she'dong
法方程,fa'fang'cheng
法截面,fa'jie'mian
法伊改正,fa'yi'gai'zheng
方差一协方差传播律,fang'cha'yi'xie'fang'cha'chuan'bo'lv
方差一协方差阵,fang'cha'yi'xie'fang'cha'zhen
方差因子,fang'cha'yin'zi
方向观测法,fang'xiang'guan'ce'fa
菲列罗公式,fei'lie'luo'gong'shi
分带子午线,fen'dai'zi'wu'xian
附参数条件平差,fu'can'shu'tiao'jian'ping'cha
附加位,fu'jia'wei
附条件参数平差,fu'tiao'jian'can'shu'ping'cha
附条件的间接手差,fu'tiao'jian'de'jian'jie'shou'cha
高程,gao'cheng
高程异常,gao'cheng'yi'chang
高度角,gao'du'jiao
高斯平面子午线收敛角,gao'si'ping'mian'zi'wu'xian'shou'lian'jiao
高斯平面坐标,gao'si'ping'mian'zuo'biao
高斯投影,gao'si'tou'ying
高斯投影方向改正,gao'si'tou'ying'fang'xiang'gai'zheng
高斯投影距离改正,gao'si'tou'ying'ju'li'gai'zheng
高斯一克吕格投影,gao'si'yi'ke'lv'ge'tou'ying
高斯约化法,gao'si'yue'hua'fa
高斯中纬度公式,gao'si'zhong'wei'du'gong'shi
共大地水准面,gong'da'di'shui'zhun'mian
固定平极,gu'ding'ping'ji
固体潮,gu'ti'chao
固体潮观测,gu'ti'chao'guan'ce
观测方程,guan'ce'fang'cheng
惯性坐标系,guan'xing'zuo'biao'xi
广播星历,guang'bo'xing'li
轨道周期,gui'dao'zhou'qi
轨道坐标系,gui'dao'zuo'biao'xi
归化纬度,gui'hua'wei'du
归心改正,gui'xin'gai'zheng
归心元素,gui'xin'yuan'su
国际协议原点,guo'ji'xie'yi'yuan'dian
国家大地网,guo'jia'da'di'wang
国家水准网,guo'jia'shui'zhun'wang
海福德椭球,hai'fu'de'tuo'qiu
海洋大地测量学,hai'yang'da'di'ce'liang'xue
航空重力测量,hang'kong'zhong'li'ce'liang
恒星时,heng'xing'shi
恒星中天测时法,heng'xing'zhong'tian'ce'shi'fa
弧度测量,hu'du'ce'liang
回,hui
混合重力异常,hun'he'zhong'li'yi'chang
或然误差,huo'ran'wu'cha
基本天文点,ji'ben'tian'wen'dian
基本重力点,ji'ben'zhong'li'dian
积差阵,ji'cha'zhen
吉尔平面,ji'er'ping'mian
激光测月,ji'guang'ce'yue
几何大地测量学,ji'he'da'di'ce'liang'xue
基线,ji'xian
基线测量,ji'xian'ce'liang
基线网,ji'xian'wang
极限误差,ji'xian'wu'cha
极移,ji'yi
监测网,jian'ce'wang
间接平差,jian'jie'ping'cha
截断误差,jie'duan'wu'cha
截面差改正,jie'mian'cha'gai'zheng
近地点高度,jin'di'dian'gao'du
仅函数,jin'han'shu
近似地形面,jin'si'di'xing'mian
经度起算点,jing'du'qi'suan'dian
精码,jing'ma
精密导线测量,jing'mi'dao'xian'ce'liang
精密水准测量,jing'mi'shui'zhun'ce'liang
精密星历,jing'mi'xing'li
绝对垂线偏差,jue'dui'chui'xian'pian'cha
绝对重力测量,jue'dui'zhong'li'ce'liang
慨然误差,kai'ran'wu'cha
抗差估计,kang'cha'gu'ji
克拉索夫斯基椭球,ke'la'suo'fu'si'ji'tuo'qiu
克莱罗定理,ke'lai'luo'ding'li
空间大地测量学,kong'jian'da'di'ce'liang'xue
空间改正,kong'jian'gai'zheng
空间异常,kong'jian'yi'chang
跨河水准测量,kua'he'shui'zhun'ce'liang
拉普拉斯点,la'pu'la'si'dian
拉普拉斯方位角,la'pu'la'si'fang'wei'jiao
力高,li'gao
离心力,li'xin'li
离心力位,li'xin'li'wei
历元平极,li'yuan'ping'ji
联系数,lian'xi'shu
