暗血双卫,an'xue'shuang'wei
暗夜鬼王,an'ye'gui'wang
暗影传人,an'ying'chuan'ren
暗影流光,an'ying'liu'guang
八宝,ba'bao
八大金刚,ba'da'jin'gang
八目鬼魈,ba'mu'gui'xiao
八兽猎仙阵,ba'shou'lie'xian'zhen
八转神,ba'zhuan'shen
百变二仙,bai'bian'er'xian
百变魔童,bai'bian'mo'tong
百变仙子,bai'bian'xian'zi
白长松,bai'chang'song
百毒蛇君,bai'du'she'jun
白光,bai'guang
百灵,bai'ling
百灵孔雀公主,bai'ling'kong'que'gong'zhu
百世先祖,bai'shi'xian'zu
百兽凌天,bai'shou'ling'tian
白云派,bai'yun'pai
白云天,bai'yun'tian
败者不哭,bai'zhe'bu'ku
败者苍茫,bai'zhe'cang'mang
报仇,bao'chou
北风,bei'feng
北海,bei'hai
北邙山,bei'mang'shan
悲喜忧愁,bei'xi'you'chou
本是缘由,ben'shi'yuan'you
本一,ben'yi
碧波烟霞,bi'bo'yan'xia
毕天,bi'tian
碧眼魔狼,bi'yan'mo'lang
变幻无常,bian'huan'wu'chang
波折起,bo'zhe'qi
不灭,bu'mie
不容逆天,bu'rong'ni'tian
不死血厉,bu'si'xue'li
不同的是别人的命运,bu'tong'de'shi'bie'ren'de'ming'yun
不越岭,bu'yue'ling
不再缥缈,bu'zai'piao'miao
彩凤仙子,cai'feng'xian'zi
残魂缺魄,can'hun'que'po
残魂碎心刃,can'hun'sui'xin'ren
残缺尽毁,can'que'jin'hui
残神诀,can'shen'jue
残神庙,can'shen'miao
残神庙灭神殿,can'shen'miao'mie'shen'dian
残天缺地法诀,can'tian'que'di'fa'jue
残心魔煞,can'xin'mo'sha
残阳子,can'yang'zi
苍风岭,cang'feng'ling
沧桑爱,cang'sang'ai
苍山血河,cang'shan'xue'he
藏尸江,cang'shi'jiang
沧月,cang'yue
苍云奇绝阵,cang'yun'qi'jue'zhen
超级高手,chao'ji'gao'shou
潮音岭,chao'yin'ling
尘俗怨念,chen'su'yuan'nian
陈玉鸾,chen'yu'luan
