安人村,an'ren'cun
岙里村,ao'li'cun
八万村,ba'wan'cun
白岭下村,bai'ling'xia'cun
柏台村,bai'tai'cun
白岩村,bai'yan'cun
百丈村,bai'zhang'cun
北岙村,bei'ao'cun
北山村,bei'shan'cun
北山头村,bei'shan'tou'cun
采桑村,cai'sang'cun
仓坑村,cang'keng'cun
草皮塘村,cao'pi'tang'cun
曾家村,ceng'jia'cun
茶头村,cha'tou'cun
长山咀村,chang'shan'ju'cun
长山嘴村,chang'shan'zui'cun
陈岙村,chen'ao'cun
陈岙里村,chen'ao'li'cun
陈北村,chen'bei'cun
陈南村,chen'nan'cun
城东村,cheng'dong'cun
城郊村,cheng'jiao'cun
吃水村,chi'shui'cun
楚门镇龙王村,chu'men'zhen'long'wang'cun
椿头村,chun'tou'cun
大岙村,da'ao'cun
大岙里村,da'ao'li'cun
大坑村,da'keng'cun
大雷头村,da'lei'tou'cun
大龙湾村,da'long'wan'cun
大麦屿街道陈南村,da'mai'yu'jie'dao'chen'nan'cun
大密溪村,da'mi'xi'cun
大青村,da'qing'cun
大沙村,da'sha'cun
大沙湾村,da'sha'wan'cun
大塘村,da'tang'cun
道头村,dao'tou'cun
丁岙村,ding'ao'cun
东安村,dong'an'cun
东里村,dong'li'cun
东门村,dong'men'cun
东青村,dong'qing'cun
东西村,dong'xi'cun
都墩村,dou'dun'cun
斗门头村,dou'men'tou'cun
陡门头村,dou'men'tou'cun
渡头村,du'tou'cun
墩头村,dun'tou'cun
法山头村,fa'shan'tou'cun
凡海村,fan'hai'cun
凡宏村,fan'hong'cun
翻身村,fan'shen'cun
芳斗村,fang'dou'cun
分水村,fen'shui'cun
枫水村,feng'shui'cun
峰源村,feng'yuan'cun
福昌基村,fu'chang'ji'cun
福杨村,fu'yang'cun
干家岙村,gan'jia'ao'cun
岗仔头村,gang'zai'tou'cun
高山头村,gao'shan'tou'cun
隔岭村,ge'ling'cun
隔门村,ge'men'cun
谷水村,gu'shui'cun
古顺村,gu'shun'cun
龟山村,gui'shan'cun
海边村,hai'bian'cun
海山乡茅坦村,hai'shan'xiang'mao'tan'cun
河桥村,he'qiao'cun
鹤新村,he'xin'cun
横床村,heng'chuang'cun
横坑村,heng'keng'cun
横培村,heng'pei'cun
洪家村,hong'jia'cun
红山村,hong'shan'cun
虹田村,hong'tian'cun
后岙村,hou'ao'cun
后峧村,hou'jiao'cun
后排村,hou'pai'cun
后塘垟村,hou'tang'yang'cun
后湾村,hou'wan'cun
后张村,hou'zhang'cun
胡新村,hu'xin'cun
华盛村,hua'sheng'cun
花岩礁村,hua'yan'jiao'cun
花岩浦村,hua'yan'pu'cun
环城村,huan'cheng'cun
环东村,huan'dong'cun
环海村,huan'hai'cun
环礁村,huan'jiao'cun
环西村,huan'xi'cun
黄家村,huang'jia'cun
黄门村,huang'men'cun
黄泥坎村,huang'ni'kan'cun
火叉口村,huo'cha'kou'cun
火车村,huo'che'cun
鸡北村,ji'bei'cun
鸡山乡鸡南村,ji'shan'xiang'ji'nan'cun
尖山村,jian'shan'cun
江家村,jiang'jia'cun
江岩村,jiang'yan'cun
礁头村,jiao'tou'cun
礁西村,jiao'xi'cun
金山村,jin'shan'cun
井头村,jing'tou'cun
九支田村,jiu'zhi'tian'cun
九子岙村,jiu'zi'ao'cun
筠岗村,jun'gang'cun
筠岭村,jun'ling'cun
壳业村,ke'ye'cun
坑郑村,keng'zheng'cun
冷水潭村,leng'shui'tan'cun
里墩村,li'dun'cun
李家村,li'jia'cun
里山村,li'shan'cun
犁头咀村,li'tou'ju'cun
连屿村,lian'yu'cun
岭岙村,ling'ao'cun
岭脚村,ling'jiao'cun
灵门村,ling'men'cun
灵山头村,ling'shan'tou'cun
岭头村,ling'tou'cun
龙攻门村,long'gong'men'cun
龙泉头村,long'quan'tou'cun
龙头村,long'tou'cun
龙湾村,long'wan'cun
龙溪乡邱家村,long'xi'xiang'qiu'jia'cun
芦岙坑村,lu'ao'keng'cun
芦浦镇漩门村,lu'pu'zhen'xuan'men'cun
路上村,lu'shang'cun
路丝礁村,lu'si'jiao'cun
鹭鸶礁村,lu'si'jiao'cun
马山村,ma'shan'cun
马头山村,ma'tou'shan'cun
梅岙村,mei'ao'cun
密杏村,mi'xing'cun
南大岙村,nan'da'ao'cun
南山岙村,nan'shan'ao'cun
南山村,nan'shan'cun
南滩村,nan'tan'cun
内马村,nei'ma'cun
抛西村,pao'xi'cun
彭宅村,peng'zhai'cun
披山村,pi'shan'cun
普南村,pu'nan'cun
浦田村,pu'tian'cun
七丘田村,qi'qiu'tian'cun
前路村,qian'lu'cun
前排村,qian'pai'cun
前塘垟村,qian'tang'yang'cun
前赵村,qian'zhao'cun
