阿巴罗皮萨罗,a'ba'luo'pi'sa'luo
阿碧斯,a'bi'si
阿比亚塔,a'bi'ya'ta
阿布撒罗姆,a'bu'sa'luo'mu
阿布萨罗姆,a'bu'sa'luo'mu
阿鹤,a'he
阿健,a'jian
阿键,a'jian
阿拉巴斯担王国公主,a'la'ba'si'dan'wang'guo'gong'zhu
阿拉巴斯坦,a'la'ba'si'tan
阿拉巴斯坦篇,a'la'ba'si'tan'pian
阿龙,a'long
阿龙海贼团,a'long'hai'zei'tuan
阿普,a'pu
阿山,a'shan
阿修罗,a'xiu'luo
爱德华纽盖特,ai'de'hua'niu'gai'te
爱德华纽歌特,ai'de'hua'niu'ge'te
爱德华纽捷特空岛,ai'de'hua'niu'jie'te'kong'dao
艾尔巴夫,ai'er'ba'fu
哀股,ai'gu
艾力克,ai'li'ke
艾门,ai'men
艾尼路,ai'ni'lu
艾涅尔,ai'nie'er
爱枪拉丝,ai'qiang'la'si
爱纱,ai'sha
爱莎,ai'sha
艾斯,ai'si
艾斯巴古,ai'si'ba'gu
艾索普,ai'suo'pu
安布里奥,an'bu'li'ao
安布里奥伊万科夫,an'bu'li'ao'yi'wan'ke'fu
暗雷,an'lei
奥比特号见习厨师,ao'bi'te'hao'jian'xi'chu'shi
奥哈拉,ao'ha'la
奥隆布斯,ao'long'bu'si
奥姆,ao'mu
奥兹,ao'zi
靶靶果实,ba'ba'guo'shi
八重垣剣,ba'chong'yuan'jian
巴法罗,ba'fa'luo
霸国,ba'guo
巴基,ba'ji
巴基尔霍金斯,ba'ji'er'huo'jin'si
巴基海贼团,ba'ji'hai'zei'tuan
巴基海贼团参谋长,ba'ji'hai'zei'tuan'can'mou'zhang
巴克斯乔特,ba'ke'si'qiao'te
巴拉,ba'la
巴拉巴特尔,ba'la'ba'te'er
巴拉蒂二厨,ba'la'di'er'chu
巴鲁巴鲁萨,ba'lu'ba'lu'sa
巴洛克工作社,ba'luo'ke'gong'zuo'she
巴那罗岛,ba'na'luo'dao
巴其,ba'qi
八岐大蛇,ba'qi'da'she
巴沙洛缪罗伯茨,ba'sha'luo'miu'luo'bo'ci
巴索洛米熊,ba'suo'luo'mi'xiong
巴索罗米熊,ba'suo'luo'mi'xiong
巴索罗缪大熊,ba'suo'luo'miu'da'xiong
巴托洛米奥,ba'tuo'luo'mi'ao
巴托洛米奥海贼团,ba'tuo'luo'mi'ao'hai'zei'tuan
霸王龙啃噬,ba'wang'long'ken'shi
霸王色,ba'wang'se
霸王色霸气,ba'wang'se'ba'qi
八仔,ba'zai
八爪鱼人,ba'zhua'yu'ren
巴兹尔霍金斯,ba'zi'er'huo'jin'si
百八烦恼凤,bai'ba'fan'nao'feng
百八烦恼风,bai'ba'fan'nao'feng
白胡子,bai'hu'zi
白胡子海贼团,bai'hu'zi'hai'zei'tuan
百花缭乱,bai'hua'liao'luan
白雷,bai'lei
白猎,bai'lie
白马卡文迪许,bai'ma'ka'wen'di'xu
白色城镇,bai'se'cheng'zhen
白色疾风,bai'se'ji'feng
百兽之王,bai'shou'zhi'wang
白铁海贼团,bai'tie'hai'zei'tuan
百万贝里,bai'wan'bei'li
白星,bai'xing
白星公主,bai'xing'gong'zhu
班巴克孟,ban'ba'ke'meng
班贝克曼,ban'bei'ke'man
斑纹猫,ban'wen'mao
棒术,bang'shu
暴君巴索罗缪熊,bao'jun'ba'suo'luo'miu'xiong
剥皮作业,bao'pi'zuo'ye
宝箱人,bao'xiang'ren
宝箱人艾门,bao'xiang'ren'ai'men
爆炸果实,bao'zha'guo'shi
贝尔,bei'er
贝尔梅尔,bei'er'mei'er
