岸冰,an'bing
白霜,bai'shuang
崩坍,beng'tan
边冰,bian'bing
冰坝,bing'ba
冰崩,bing'beng
冰层涌水,bing'ceng'yong'shui
冰川,bing'chuan
冰川冰,bing'chuan'bing
冰川洪水,bing'chuan'hong'shui
冰川净平衡,bing'chuan'jing'ping'heng
冰川裂隙,bing'chuan'lie'xi
冰川平衡线,bing'chuan'ping'heng'xian
冰川雪,bing'chuan'xue
冰川学,bing'chuan'xue
冰的升华,bing'de'sheng'hua
冰冻学,bing'dong'xue
冰封,bing'feng
冰盖,bing'gai
冰沟,bing'gou
冰谷,bing'gu
冰冠,bing'guan
冰河时代,bing'he'shi'dai
冰花,bing'hua
冰礁,bing'jiao
冰窟窿,bing'ku'long
冰垒,bing'lei
冰粒,bing'li
冰裂,bing'lie
冰垅形成,bing'long'xing'cheng
冰期,bing'qi
冰情阶段,bing'qing'jie'duan
冰情预报,bing'qing'yu'bao
冰山,bing'shan
冰上冰,bing'shang'bing
冰丸,bing'wan
冰隙,bing'xi
冰屑,bing'xie
冰穴,bing'xue
冰雪圈,bing'xue'quan
冰雪水文学,bing'xue'shui'wen'xue
饼状冰,bing'zhuang'bing
冰阻,bing'zu
薄冰膜,bo'bing'mo
波痕,bo'hen
波纹,bo'wen
测雪板,ce'xue'ban
测雪尺,ce'xue'chi
测雪垫,ce'xue'dian
测雪计,ce'xue'ji
测雪路线,ce'xue'lu'xian
陈雪,chen'xue
吹雪堆,chui'xue'dui
导航线,dao'hang'xian
等雪深线,deng'xue'shen'xian
底冰,di'bing
冻结,dong'jie
堆积,dui'ji
粉末雪,fen'mo'xue
封冰,feng'bing
封冻,feng'dong
封冻期,feng'dong'qi
峰窝冰,feng'wo'bing
浮冰群,fu'bing'qun
河谷冰川,he'gu'bing'chuan
洪泛,hong'fan
湖冰,hu'bing
脊形冰,ji'xing'bing
积雪,ji'xue
积雪产水量,ji'xue'chan'shui'liang
积雪场,ji'xue'chang
积雪调查,ji'xue'diao'cha
积雪覆盖层,ji'xue'fu'gai'ceng
积雪密度,ji'xue'mi'du
积雪水当量,ji'xue'shui'dang'liang
挤压冰,ji'ya'bing
坚冰,jian'bing
降雪,jiang'xue
降雪量,jiang'xue'liang
解冰,jie'bing
解冻,jie'dong
旧雪,jiu'xue
开冻,kai'dong
开河,kai'he
烂冰,lan'bing
累积,lei'ji
粒雪,li'xue
粒状冰,li'zhuang'bing
量雪计,liang'xue'ji
零星雪堆,ling'xing'xue'dui
流冰,liu'bing
内陆冰原,nei'lu'bing'yuan
漂冰,piao'bing
起伏冰,qi'fu'bing
潜冰,qian'bing
取雪管,qu'xue'guan
融化,rong'hua
融雪,rong'xue
融雪洪水,rong'xue'hong'shui
水坑,shui'keng
水内冰,shui'nei'bing
淌冰,tang'bing
淌凌,tang'ling
同取雪样器,tong'qu'xue'yang'qi
万年雪,wan'nian'xue
完全冻结,wan'quan'dong'jie
微波,wei'bo
雾淞,wu'song
消融,xiao'rong
屑冰,xie'bing
新降雪,xin'jiang'xue
新雪,xin'xue
朽冰,xiu'bing
雪被,xue'bei
雪崩,xue'beng
雪冰,xue'bing
雪尺,xue'chi
雪堆,xue'dui
雪覆盖率,xue'fu'gai'lv
雪盖,xue'gai
雪花,xue'hua
雪浆,xue'jiang
雪片,xue'pian
雪深,xue'shen
雪水,xue'shui
雪水当量,xue'shui'dang'liang
雪线,xue'xian
页冰,ye'bing
永久冰雪,yong'jiu'bing'xue
永久积雪,yong'jiu'ji'xue
永久雪界,yong'jiu'xue'jie
圆扁冰,yuan'bian'bing
