阿忽令,a'hu'ling
阿纳忽,a'na'hu
阿那忽,a'na'hu
哀愁动离情,ai'chou'dong'li'qing
爱而不敬禽犊之爱,ai'er'bu'jing'qin'du'zhi'ai
爱叫的麻雀不长肉,ai'jiao'de'ma'que'bu'zhang'rou
挨金似金挨玉似玉,ai'jin'si'jin'ai'yu'si'yu
艾克曼,ai'ke'man
艾妮可,ai'ni'ke
爱情的刽子手,ai'qing'de'gui'zi'shou
哀世,ai'shi
哀弦恰似愁人消瘦,ai'xian'qia'si'chou'ren'xiao'shou
矮檐之下出头难,ai'yan'zhi'xia'chu'tou'nan
爱月迟眠惜花早起,ai'yue'chi'mian'xi'hua'zao'qi
爱在心里狠在面皮,ai'zai'xin'li'hen'zai'mian'pi
爱之欲其生恶之欲其死,ai'zhi'yu'qi'sheng'wu'zhi'yu'qi'si
矮子看戏随人道好,ai'zi'kan'xi'sui'ren'dao'hao
矮子里选将军,ai'zi'li'xuan'jiang'jun
暗暗的添憔悴,an'an'de'tian'qiao'cui
安不忘危治不忘乱,an'bu'wang'wei'zhi'bu'wang'luan
鹌鹑儿,an'chun'er
安谷则昌绝谷则亡,an'gu'ze'chang'jue'gu'ze'wang
安民莫如择交,an'min'mo'ru'ze'jiao
按牛头吃不得草,an'niu'tou'chi'bu'de'cao
安仁双鬓已惊秋,an'ren'shuang'bin'yi'jing'qiu
暗室亏心神目如电,an'shi'kui'xin'shen'mu'ru'dian
安危相易祸福相生,an'wei'xiang'yi'huo'fu'xiang'sheng
按下葫芦浮起瓢,an'xia'hu'lu'fu'qi'piao
安心坐,an'xin'zuo
安员王将袖梢先卷,an'yuan'wang'jiang'xiu'shao'xian'juan
安坐看扬尘,an'zuo'kan'yang'chen
昂山素季,ang'shan'su'ji
熬过冬就是夏,ao'guo'dong'jiu'shi'xia
敖迷,ao'mi
懊恼伤怀抱,ao'nao'shang'huai'bao
傲杀人间万户候,ao'sha'ren'jian'wan'hu'hou
袄神急,ao'shen'ji
鳌头游赏,ao'tou'you'shang
八宝妆,ba'bao'zhuang
八竿子打不着,ba'gan'zi'da'bu'zhao
芭蕉延寿,ba'jiao'yan'shou
把酒观多稼,ba'jiu'guan'duo'jia
拔了毛的凤凰不如鸡,ba'le'mao'de'feng'huang'bu'ru'ji
把卖花人搧过桥东,ba'mai'hua'ren'shan'guo'qiao'dong
八千春,ba'qian'chun
把人间得失踏遍,ba'ren'jian'de'shi'ta'bian
巴瑞,ba'rui
八声甘州,ba'sheng'gan'zhou
把一扇鞋儿绣,ba'yi'shan'xie'er'xiu
百般巧计关防,bai'ban'qiao'ji'guan'fang
败兵之将不敢言勇,bai'bing'zhi'jiang'bu'gan'yan'yong
白草红叶黄花,bai'cao'hong'ye'huang'hua
白川芝山,bai'chuan'zhi'shan
白大夫的行头,bai'dai'fu'de'xing'tou
白发凋骚,bai'fa'diao'sao
白发儿孙羡康健,bai'fa'er'sun'xian'kang'jian
白发古人稀,bai'fa'gu'ren'xi
白发故人稀,bai'fa'gu'ren'xi
百官楼下拾金钱,bai'guan'lou'xia'shi'jin'qian
白鹤子,bai'he'zi
百壶春酒,bai'hu'chun'jiu
百花风味,bai'hua'feng'wei
百花时,bai'hua'shi
百家唐宋新话,bai'jia'tang'song'xin'hua
百来年,bai'lai'nian
百忙里铰甚鞋儿样,bai'mang'li'jiao'shen'xie'er'yang
百年留在,bai'nian'liu'zai
百年心事,bai'nian'xin'shi
白朴,bai'pu
百顷风潭,bai'qing'feng'tan
白色恐怖述奇,bai'se'kong'bu'shu'qi
百岁春风面,bai'sui'chun'feng'mian
百岁霎光间,bai'sui'sha'guang'jian
百岁指空弹,bai'sui'zhi'kong'dan
白无咎,bai'wu'jiu
白雪阳春,bai'xue'yang'chun
白雨斋词话,bai'yu'zhai'ci'hua
白云相伴闲,bai'yun'xiang'ban'xian
败子回头便作家,bai'zi'hui'tou'bian'zuo'jia
百字令,bai'zi'ling
百字折桂令,bai'zi'zhe'gui'ling
百字知秋令,bai'zi'zhi'qiu'ling
百足之虫死而不僵,bai'zu'zhi'chong'si'er'bu'jiang
半鹌鹑,ban'an'chun
伴读书,ban'du'shu
伴君如伴虎,ban'jun'ru'ban'hu
半欹单枕乞留乞良捱彻今宵,ban'qi'dan'zhen'qi'liu'qi'liang'ai'che'jin'xiao
般涉,ban'she
般涉调,ban'she'tiao
搬石头砸自己的脚,ban'shi'tou'za'zi'ji'de'jiao
班恕斋,ban'shu'zhai
半亭新月黄昏,ban'ting'xin'yue'huang'hun
伴夜月银筝凤闲,ban'ye'yue'yin'zheng'feng'xian
半纸功名百战身,ban'zhi'gong'ming'bai'zhan'shen
半桩小吃过老,ban'zhuang'xiao'chi'guo'lao
棒打鸳鸯两分离,bang'da'yuan'yang'liang'fen'li
棒过处飞星如箭,bang'guo'chu'fei'xing'ru'jian
膀宽腰细定有力,bang'kuan'yao'xi'ding'you'li
