白草,bai'cao
白宽,bai'kuan
赤城,chi'cheng
赤国人,chi'guo'ren
茨营子,ci'ying'zi
大海陀,da'hai'tuo
雕鹗,diao'e
东卯,dong'mao
东万口,dong'wan'kou
独石口,du'shi'kou
郭万忠,guo'wan'zhong
后城,hou'cheng
龙关,long'guan
龙门所,long'men'suo
马营,ma'ying
炮梁,pao'liang
屈军,qu'jun
三道川,san'dao'chuan
田家窑,tian'jia'yao
土翁,tu'weng
王海儒,wang'hai'ru
徐占元,xu'zhan'yuan
样田,yang'tian
云州,yun'zhou
张景伦,zhang'jing'lun
镇宁堡,zhen'ning'bao
