爱力所及,ai'li'suo'ji
哎呀,ai'ya
安得辞浮贱,an'de'ci'fu'jian
安得南征驰捷报,an'de'nan'zheng'chi'jie'bao
安得倚天抽宝剑,an'de'yi'tian'chou'bao'jian
傲霜雪,ao'shuang'xue
把酒酹滔滔,ba'jiu'lei'tao'tao
八连颂,ba'lian'song
把汝裁为三截,ba'ru'cai'wei'san'jie
白鸽连翩奋舞前,bai'ge'lian'pian'fen'wu'qian
百舸争流,bai'ge'zheng'liu
白浪滔天,bai'lang'tao'tian
百年魔怪舞翩跹,bai'nian'mo'guai'wu'pian'xian
百万雄师过大江,bai'wan'xiong'shi'guo'da'jiang
白云山头云欲立,bai'yun'shan'tou'yun'yu'li
白云山下呼声急,bai'yun'shan'xia'hu'sheng'ji
斑竹一枝千滴泪,ban'zhu'yi'zhi'qian'di'lei
保安人物一时新,bao'an'ren'wu'yi'shi'xin
报道敌军宵遁,bao'dao'di'jun'xiao'dun
报之何时,bao'zhi'he'shi
背负青天朝下看,bei'fu'qing'tian'chao'xia'kan
北国风光,bei'guo'feng'guang
备历险夷,bei'li'xian'yi
北山尽仇怨,bei'shan'jin'chou'yuan
悲叹有余哀,bei'tan'you'yu'ai
奔腾急,ben'teng'ji
必秉悃忧,bi'bing'kun'you
必补遗缺,bi'bu'yi'que
壁上红旗飘落照,bi'shang'hong'qi'piao'luo'zhao
遍地哀鸿满城血,bian'di'ai'hong'man'cheng'xue
遍地英雄下夕烟,bian'di'ying'xiong'xia'xi'yan
便有精生白骨堆,bian'you'jing'sheng'bai'gu'dui
别梦依稀咒逝川,bie'meng'yi'xi'zhou'shi'chuan
病时揽手,bing'shi'lan'shou
不爱红装爱武装,bu'ai'hong'zhuang'ai'wu'zhuang
不存欺心,bu'cun'qi'xin
不到长城非好汉,bu'dao'chang'cheng'fei'hao'han
不分贫富,bu'fen'pin'fu
不管风吹浪打,bu'guan'feng'chui'lang'da
不过是几千寒热,bu'guo'shi'ji'qian'han're
不见前年秋月朗,bu'jian'qian'nian'qiu'yue'lang
不可沽名学霸王,bu'ke'gu'ming'xue'ba'wang
不论军民,bu'lun'jun'min
不怕刀,bu'pa'dao
不怕帝,bu'pa'di
不怕鬼,bu'pa'gui
不怕戟,bu'pa'ji
不怕魅,bu'pa'mei
不怕迫,bu'pa'po
不怕压,bu'pa'ya
不怕贼,bu'pa'zei
不染一尘,bu'ran'yi'chen
不忍卒书,bu'ren'zu'shu
不是一人能领导,bu'shi'yi'ren'neng'ling'dao
不似,bu'si
卜算子,bu'suan'zi
不武如斯,bu'wu'ru'si
不须放屁,bu'xu'fang'pi
不要这多雪,bu'yao'zhe'duo'xue
不要这高,bu'yao'zhe'gao
不周山下红旗乱,bu'zhou'shan'xia'hong'qi'luan
不作诳言,bu'zuo'kuang'yan
采采余孤景,cai'cai'yu'gu'jing
采桑子,cai'sang'zi
才饮长沙水,cai'yin'chang'sha'shui
惨淡看铭旌,can'dan'kan'ming'jing
参天万木,can'tian'wan'mu
残阳如血,can'yang'ru'xue
沧海横流安足虑,cang'hai'heng'liu'an'zu'lv
苍山如海,cang'shan'ru'hai
涔泪侵双题,cen'lei'qin'shuang'ti
曾记否,ceng'ji'fou
层林尽染,ceng'lin'jin'ran
长岛人歌动地诗,chang'dao'ren'ge'dong'di'shi
长空雁叫霜晨月,chang'kong'yan'jiao'shuang'chen'yue
怅寥廓,chang'liao'kuo
长夜难明赤县天,chang'ye'nan'ming'chi'xian'tian
长征不是难堪日,chang'zheng'bu'shi'nan'kan'ri
车子飞如跃,che'zi'fei'ru'yue
沉沉一线穿南北,chen'chen'yi'xian'chuan'nan'bei
称第一,cheng'di'yi
成吉思汗,cheng'ji'si'han
城隈草萋萋,cheng'wei'cao'qi'qi
赤橙黄绿青蓝紫,chi'cheng'huang'lv'qing'lan'zi
艟艨巨舰直东指,chong'meng'ju'jian'zhi'dong'zhi
崇明对马衣带水,chong'ming'dui'ma'yi'dai'shui
重庆有官皆墨吏,chong'qing'you'guan'jie'mo'li
重上井冈山,chong'shang'jing'gang'shan
重阳,chong'yang
惆怅中何寄,chou'chang'zhong'he'ji
愁杀芳年友,chou'sha'fang'nian'you
传遍戚里,chuan'bian'qi'li
春风杨柳万千条,chun'feng'yang'liu'wan'qian'tiao
春光,chun'guang
春晖朝霭,chun'hui'chao'ai
春江浩荡暂徘徊,chun'jiang'hao'dang'zan'pai'huai
春来我不先开口,chun'lai'wo'bu'xian'kai'kou
此编之作,ci'bian'zhi'zuo
刺破青天锷未残,ci'po'qing'tian'e'wei'can
此时家奠,ci'shi'jia'dian
此物此志,ci'wu'ci'zhi
此心不越,ci'xin'bu'yue
此行何去,ci'xing'he'qu
次则儿辈,ci'ze'er'bei
从此天涯孤旅,cong'ci'tian'ya'gu'lv
从来急,cong'lai'ji
聪明睿智,cong'ming'rui'zhi
从头越,cong'tou'yue
摧折作磨,cui'zhe'zuo'mo
大柏地,da'bai'di
大地微微暖气吹,da'di'wei'wei'nuan'qi'chui
大渡桥横铁索寒,da'du'qiao'heng'tie'suo'han
大河上下,da'he'shang'xia
大军纵横驰奔,da'jun'zong'heng'chi'ben
答李淑一,da'li'shu'yi
大小亲疏,da'xiao'qin'shu
答友人,da'you'ren
大有益,da'you'yi
大雨落幽燕,da'yu'luo'you'yan
戴爱莲女士导演兼饰主角,dai'ai'lian'nv'shi'dao'yan'jian'shi'zhu'jue
待到山花烂漫时,dai'dao'shan'hua'lan'man'shi
待徐温吐,dai'xu'wen'tu
但悲不见五洲同,dan'bei'bu'jian'wu'zhou'tong
弹洞前村壁,dan'dong'qian'cun'bi
弹痕遍地,dan'hen'bian'di
但呼儿辈,dan'hu'er'bei
但记得斑斑点点,dan'ji'de'ban'ban'dian'dian
荡涤谁家子,dang'di'shui'jia'zi
当惊世界殊,dang'jing'shi'jie'shu
当年鏖战急,dang'nian'ao'zhan'ji
到处莺歌燕舞,dao'chu'ying'ge'yan'wu
倒海翻江卷巨澜,dao'hai'fan'jiang'juan'ju'lan
到韶山,dao'shao'shan
到之之法,dao'zhi'zhi'fa
盗跖庄足乔流誉后,dao'zhi'zhuang'zu'qiao'liu'yu'hou
到中流击水,dao'zhong'liu'ji'shui
登庐山,deng'lu'shan
地动三河铁譬摇,di'dong'san'he'tie'pi'yao
敌人围困万千重,di'ren'wei'kun'wan'qian'zhong
弟兄姊妹舞翩跹,di'xiong'zi'mei'wu'pian'xian
敌欲岂足,di'yu'qi'zu
地主重重压迫,di'zhu'chong'chong'ya'po
帝子乘风下翠微,di'zi'cheng'feng'xia'cui'wei
颠连直接东溟,dian'lian'zhi'jie'dong'ming
吊罗荣桓同志,diao'luo'rong'huan'tong'zhi
蝶恋花,die'lian'hua
订了三家条约,ding'le'san'jia'tiao'yue
东等不才,dong'deng'bu'cai
东方白,dong'fang'bai
东方欲晓,dong'fang'yu'xiao
东海有岛夷,dong'hai'you'dao'yi
东临碣石有遗篇,dong'lin'jie'shi'you'yi'pian
冻死苍蝇未足奇,dong'si'cang'ying'wei'zu'qi
洞庭波涌连天雪,dong'ting'bo'yong'lian'tian'xue
洞庭湘水涨连天,dong'ting'xiang'shui'zhang'lian'tian
东瀛濯剑有书还,dong'ying'zhuo'jian'you'shu'hai
冬云,dong'yun
洞中开宴会,dong'zhong'kai'yan'hui
都是人间城郭,dou'shi'ren'jian'cheng'guo
独立寒秋,du'li'han'qiu
读六月三日人民日报,du'liu'yue'san'ri'ren'min'ri'bao
读陆游咏梅词反其意而用之,du'lu'you'yong'mei'ci'fan'qi'yi'er'yong'zhi
读史,du'shi
独有豪情,du'you'hao'qing
独有英雄驱虎豹,du'you'ying'xiong'qu'hu'bao
独坐池塘如虎踞,du'zuo'chi'tang'ru'hu'ju
对此不抛眼泪也无由,dui'ci'bu'pao'yan'lei'ye'wu'you
对敌慈悲对友刁,dui'di'ci'bei'dui'you'diao
堆来枕上愁何状,dui'lai'zhen'shang'chou'he'zhuang
顿失滔滔,dun'shi'tao'tao
夺地争城是斗争,duo'di'zheng'cheng'shi'dou'zheng
多了楼台亭阁,duo'le'lou'tai'ting'ge
多年矛盾廓无边,duo'nian'mao'dun'kuo'wu'bian
多少事,duo'shao'shi
夺席谈经非五鹿,duo'xi'tan'jing'fei'wu'lu
而今迈步从头越,er'jin'mai'bu'cong'tou'yue
而今我谓昆仑,er'jin'wo'wei'kun'lun
而今一扫纪新元,er'jin'yi'sao'ji'xin'yuan
二女二男,er'nv'er'nan
二十万军重入赣,er'shi'wan'jun'chong'ru'gan
而致词曰,er'zhi'ci'yue
反第二次大围剿,fan'di'er'ci'da'wei'jiao
反第一次大围剿,fan'di'yi'ci'da'wei'jiao
翻动扶摇羊角,fan'dong'fu'yao'yang'jiao
翻身跃入七人房,fan'shen'yue'ru'qi'ren'fang
放歌依列嶂,fang'ge'yi'lie'zhang
仿陆放翁诗,fang'lu'fang'weng'shi
方期沆养游,fang'qi'hang'yang'you
飞飚拂灵帐,fei'biao'fu'ling'zhang
飞凤亭边树,fei'feng'ting'bian'shu
飞将军自重霄入,fei'jiang'jun'zi'zhong'xiao'ru
飞鸣镝,fei'ming'di
飞起玉龙三百万,fei'qi'yu'long'san'bai'wan
飞上南天奇岳,fei'shang'nan'tian'qi'yue
飞雪迎春到,fei'xue'ying'chun'dao
奋发为雄,fen'fa'wei'xiong
分湖便是子陵滩,fen'hu'bian'shi'zi'ling'tan
分田分地真忙,fen'tian'fen'di'zhen'mang
粪土当年万户候,fen'tu'dang'nian'wan'hu'hou
分外妖娆,fen'wai'yao'rao
分析好,fen'xi'hao
风驰又已到钱塘,feng'chi'you'yi'dao'qian'tang
风华正茂,feng'hua'zheng'mao
风景这边独好,feng'jing'zhe'bian'du'hao
风卷红旗过大关,feng'juan'hong'qi'guo'da'guan
风雷动,feng'lei'dong
风雷磅礴,feng'lei'pang'bo
风起绿洲吹浪去,feng'qi'lv'zhou'chui'lang'qu
风樯动,feng'qiang'dong
风物长宜放眼量,feng'wu'chang'yi'fang'yan'liang
风烟滚滚来天半,feng'yan'gun'gun'lai'tian'ban
风雨送春归,feng'yu'song'chun'gui
风云突变,feng'yun'tu'bian
风展红旗如画,feng'zhan'hong'qi'ru'hua
妇女解放,fu'nv'jie'fang
芙蓉国里尽朝晖,fu'rong'guo'li'jin'zhao'hui
浮想联翩,fu'xiang'lian'pian
改革内政,gai'ge'nei'zheng
肝胆宁忘一寸丹,gan'dan'ning'wang'yi'cun'dan
感动庶汇,gan'dong'shu'hui
赣江风雪迷漫处,gan'jiang'feng'xue'mi'man'chu
敢教日月换新天,gan'jiao'ri'yue'huan'xin'tian
赣水苍茫闽山碧,gan'shui'cang'mang'min'shan'bi
感物念所欢,gan'wu'nian'suo'huan
高路入云端,gao'lu'ru'yun'duan
高天滚滚寒流急,gao'tian'gun'gun'han'liu'ji
高峡出平湖,gao'xia'chu'ping'hu
各党各界,ge'dang'ge'jie
歌声唱彻月儿圆,ge'sheng'chang'che'yue'er'yuan
歌未竟,ge'wei'jing
各务为良,ge'wu'wei'liang
更陈王奋起挥钹黄越,geng'chen'wang'fen'qi'hui'bo'huang'yue
更加郁郁葱葱,geng'jia'yu'yu'cong'cong
更加重志成城,geng'jia'zhong'zhi'cheng'cheng
更立西江石壁,geng'li'xi'jiang'shi'bi
更那堪凄然相向,geng'na'kan'qi'ran'xiang'xiang
更无豪杰怕熊罴,geng'wu'hao'jie'pa'xiong'pi
更喜岷山千里雪,geng'xi'min'shan'qian'li'xue
更有潺潺流水,geng'you'chan'chan'liu'shui
公祭无忘告马翁,gong'ji'wu'wang'gao'ma'weng
工农大众力无边,gong'nong'da'zhong'li'wu'bian
古代曾云海缘,gu'dai'ceng'yun'hai'yuan
故地重来何所见,gu'di'chong'lai'he'suo'jian
故园三十二年前,gu'yuan'san'shi'er'nian'qian
管却自家身与心,guan'que'zi'jia'shen'yu'xin
关山骞骥足,guan'shan'qian'ji'zu
关山阵阵苍,guan'shan'zhen'zhen'cang
观鱼胜过富春江,guan'yu'sheng'guo'fu'chun'jiang
广昌路上,guang'chang'lu'shang
光明迫,guang'ming'po
光披遐荒,guang'pi'xia'huang
归化,gui'hua
