哀仗,ai'zhang
俺都,an'dou
白脖,bai'bo
白淌雨,bai'tang'yu
扳跌,ban'die
半片,ban'pian
板闼,ban'ta
北瓜,bei'gua
背亏,bei'kui
扁食,bian'shi
不缠,bu'chan
不践,bu'jian
不郎,bu'lang
擦黑儿,ca'hei'er
材坏,cai'huai
才一个儿,cai'yi'ge'er
长虫,chang'chong
扯活,che'huo
吃闹,chi'nao
出菜,chu'cai
炊炊,chui'chui
捶棚,chui'peng
戳盲,chuo'mang
粗展,cu'zhan
搭老晌,da'lao'shang
大喷儿,da'pen'er
大样,da'yang
戴见,dai'jian
单门儿,dan'men'er
当意儿,dang'yi'er
叨树梆梆,dao'shu'bang'bang
刀头,dao'tou
的帘,de'lian
灯卦椅,deng'gua'yi
地动,di'dong
地张儿,di'zhang'er
东傍个,dong'bang'ge
冬凌,dong'ling
东幎儿,dong'mi'er
锻磨,duan'mo
恶水,e'shui
耳安儿,er'an'er
二百五,er'bai'wu
风门,feng'men
盖地,gai'di
赶菜,gan'cai
圪巴皮,ge'ba'pi
疙瘩汤,ge'da'tang
圪档,ge'dang
圪兜儿,ge'dou'er
圪牢儿,ge'lao'er
圪里缝线儿,ge'li'feng'xian'er
圪伶,ge'ling
圪闹,ge'nao
割煞,ge'sha
圪星,ge'xing
胳直,ge'zhi
供享,gong'xiang
钩担,gou'dan
骨蹙,gu'cu
骨堆,gu'dui
咕咕喵,gu'gu'miao
骨敛,gu'lian
骨略,gu'lue
骨女,gu'nv
古气,gu'qi
骨踊,gu'yong
滚水,gun'shui
锅盔,guo'kui
聒噪,guo'zao
海菜,hai'cai
汉们,han'men
薅稻,hao'dao
好面,hao'mian
黑家白儿,hei'jia'bai'er
后儿个,hou'er'ge
护脖,hu'bo
忽雷,hu'lei
忽闪,hu'shan
黄黄儿,huang'huang'er
黄芽,huang'ya
伙计,huo'ji
即个,ji'ge
急骨,ji'gu
鲫火,ji'huo
即甲草儿,ji'jia'cao'er
积默,ji'mo
夹板儿,jia'ban'er
夹底,jia'di
家伙,jia'huo
江江籽,jiang'jiang'zi
叫叫,jiao'jiao
叫叫蚰,jiao'jiao'you
筋杈,jin'cha
金鱼,jin'yu
酒素,jiu'su
撅独棉袄,jue'du'mian'ao
砍刀,kan'dao
克烦,ke'fan
颗利,ke'li
坷娄碗,ke'lou'wan
腊礓,la'jiang
拦粪,lan'fen
拦头,lan'tou
捞饭,lao'fan
老爷儿,lao'ye'er
老冤,lao'yuan
冷蛋儿,leng'dan'er
胧明,long'ming
搂地,lou'di
罗面雨,luo'mian'yu
箩头,luo'tou
麻唧了,ma'ji'le
麻糖,ma'tang
马虾,ma'xia
马野鹊,ma'ye'que
漫烟地,man'yan'di
牤牛,mang'niu
牤牛杈,mang'niu'cha
帽盔儿,mao'kui'er
门鼻儿,men'bi'er
门插儿,men'cha'er
门搭儿,men'da'er
米羹,mi'geng
明个,ming'ge
粘滞,nian'zhi
娘儿们,niang'er'men
捏格,nie'ge
您都,nin'dou
牛抽,niu'chou
牛格,niu'ge
牛屁虱,niu'pi'shi
拍麦,pai'mai
皮脸,pi'lian
平车儿,ping'che'er
泼爽,po'shuang
铺地,pu'di
前麻儿,qian'ma'er
将将儿,qiang'qiang'er
清起,qing'qi
取灯,qu'deng
泉眼,quan'yan
桡盆,rao'pen
扔了,reng'le
扫谷,sao'gu
煞旱地,sha'han'di
煞绳,sha'sheng
杀玉蜀黍,sha'yu'shu'shu
烧霞,shao'xia
涉意,she'yi
生红砖,sheng'hong'zhuan
胜腥油,sheng'xing'you
失明,shi'ming
厮跟,si'gen
他都,ta'dou
堂屋,tang'wu
甜饭,tian'fan
甜圪档,tian'ge'dang
填憨,tian'han
条干,tiao'gan
头复,tou'fu
透转,tou'zhuan
屯向媳妇儿,tun'xiang'xi'fu'er
娃娃儿云,wa'wa'er'yun
围脖儿,wei'bo'er
围跟帕,wei'gen'pa
屋笃水,wu'du'shui
五月单五儿,wu'yue'dan'wu'er
西傍个,xi'bang'ge
西幎儿,xi'mi'er
先儿,xian'er
响午,xiang'wu
响午错,xiang'wu'cuo
小车儿,xiao'che'er
小虫,xiao'chong
小小儿,xiao'xiao'er
血巴,xue'ba
檐鳖虎,yan'bie'hu
羊肚手中,yang'du'shou'zhong
杨骨须,yang'gu'xu
阳麻儿,yang'ma'er
爷儿,ye'er
夜儿个,ye'er'ge
爷儿们,ye'er'men
噎面,ye'mian
一划正北,yi'hua'zheng'bei
呓怔,yi'zheng
胰子,yi'zi
油馍,you'mo
雨磨,yu'mo
玉蜀黍,yu'shu'shu
月奶奶,yue'nai'nai
咱都,zan'dou
灶火,zao'huo
渣头,zha'tou
战带,zhan'dai
栈门,zhan'men
照子葵,zhao'zi'kui
正正儿,zheng'zheng'er
纸扎,zhi'zha
筑地,zhu'di
